"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"QEP Energy Company","Diamondback Energy","$1,207,800","$0","$1,207,800","2012","20120930","government-contracting-related offenses","federal leasing royalty violation","data submission deficiencies","Company knowingly maintained inaccurate oil and gas volume information pertaining to 953 royalty and/or production reports on 35 leases for as many as 22 months.","federal","agency action","Interior Department Office of Natural Resources Revenue","civil","","","","","","","","","","","","USA","Texas","publicly traded","FANG","oil and gas","oil & gas","https://www.onrr.gov/compliance/PDFDocs/2012.pdf",""
"QEP Field Services","Diamondback Energy","$10,000","$0","$10,000","2014","20140219","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Texas","publicly traded","FANG","oil and gas","oil & gas","https://www.fra.dot.gov/eLib/details/L16190#p1_z5_gD_lEA",""
"QEP Field Services Co.","Diamondback Energy","$4,000,000","$0","$4,000,000","2012","20120516","environment-related offenses","environmental violation","","The Department of Justice and the U.S. Environmental Protection Agency announced a settlement with QEP Field Services Co., formerly Questar Gas Management Co., to resolve alleged violations of the Clean Air Act at five natural gas compressor stations on the Uintah and Ouray Reservation in Northeastern Utah. Four members of the Ute Indian Tribe intervened as co-plaintiffs. Under the proposed settlement, QEPFS will pay a $3.65 million civil penalty and pay $350,000 into a Tribal Clean Air Trust Fund to be established by the tribal member intervenors. The settlement also requires QEPFS to reduce its emissions by removing certain equipment, installing additional pollution controls, and replacing the natural gas powered instrument control systems with compressed air control systems.","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","Utah","","","","","","USA","Texas","publicly traded","FANG","oil and gas","oil & gas","http://www.justice.gov/opa/pr/colorado-based-qep-field-services-agrees-pay-4-million-and-install-pollution-controls-resolve",""
"QEP Resources, Inc.","Diamondback Energy","$5,667","$0","$5,667","2018","20180927","environment-related offenses","environmental violation","","","state","agency action","Utah Department of Environmental Quality","civil","","","","","","Utah","","","","","","USA","Texas","publicly traded","FANG","oil and gas","oil & gas","https://documents.deq.utah.gov/water-quality/facilities/qep-resources/DWQ-2018-008157.pdf",""
"QEP Energy Co.","Diamondback Energy","$7,000","$0","$7,000","2013","20130617","environment-related offenses","environmental violation","","Air","state","agency action","Wyoming Department of Environmental Quality","civil","","","","","","Wyoming","","","","","","USA","Texas","publicly traded","FANG","oil and gas","oil & gas","https://drive.google.com/file/d/1y-v5SiKasO3soQpg7pHCgFrVsS0zH8-m/view",""
"QEP Resources","Diamondback Energy","$35,000","$0","$35,000","2011","20110506","environment-related offenses","environmental violation","","Air","state","agency action","Wyoming Department of Environmental Quality","civil","","","","","","Wyoming","","","","","","USA","Texas","publicly traded","FANG","oil and gas","oil & gas","https://drive.google.com/file/d/15tQzQju3Amgsu0WQfPKQJjiUDBiVbvm1/view","Penalty includes a $17,500 supplemental environmental project"
"Q.E.P. Inc.","Diamondback Energy","$40,000","$0","$40,000","2019","20190627","environment-related offenses","environmental violation","","air pollution","local","agency action","South Coast (CA) Air Quality Management District ","civil","","","","","","California","","","","","","USA","Texas","publicly traded","FANG","oil and gas","oil & gas","http://www.aqmd.gov/docs/default-source/Agendas/Governing-Board/2019/2019-sep6-011.pdf?sfvrsn=2",""
"QEP ENERGY COMPANY","Diamondback Energy","$7,000","$0","$7,000","2011","20110106","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wyoming","BOULDER","MESA 8C2-19, S19,T32N,R109W","82923","211111","211111: Crude Petroleum and Natural Gas Extraction","USA","Texas","publicly traded","FANG","oil and gas","oil & gas","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"QEP ENERGY COMPANY","Diamondback Energy","$6,000","$0","$6,000","2016","20160606","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wyoming","PINEDALE","MESA 16C-20D SEC20 T32N R109W","82941","211111","211111: Crude Petroleum and Natural Gas Extraction","USA","Texas","publicly traded","FANG","oil and gas","oil & gas","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"QEP CO., INC.","Diamondback Energy","$5,543","$0","$5,543","2017","20171011","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Georgia","DALTON","300 CROSS PLAINS BLVD.","30721","325520","325520: Adhesive Manufacturing","USA","Texas","publicly traded","FANG","oil and gas","oil & gas","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
