"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"DICK'S SPORTING GOODS","Dick's Sporting Goods","$40,000","$0","$40,000","2011","20110128","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","QUEENSBURY","578 AVIATION RD.","12804","451110","451110: Sporting Goods Stores","USA","Pennsylvania","publicly traded","DKS","retailing","retail-sporting goods","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"THE SPORTS AUTHORITY, INC.","Dick's Sporting Goods","$27,001","$0","$27,001","2009","20091113","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","BURLINGTON","200 RICHARDS RUN","08016","493110","493110: General Warehousing and Storage","USA","Pennsylvania","publicly traded","DKS","retailing","retail-sporting goods","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TSA STORES, INC.","Dick's Sporting Goods","$15,000","$0","$15,000","2009","20090112","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Colorado","LITTLETON","7848 COUNTY LINE ROAD","80124","451110","451110: Sporting Goods Stores","USA","Pennsylvania","publicly traded","DKS","retailing","retail-sporting goods","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"DICKS SPORTING GOODS","Dick's Sporting Goods","$7,500","$0","$7,500","2010","20100316","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","MELVILLE","870 WALT WHITMAN ROAD","11747","423910","423910: Sporting and Recreational Goods and Supplies Merchant Wholesalers","USA","Pennsylvania","publicly traded","DKS","retailing","retail-sporting goods","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"THE SPORTS AUTHORITY, STORE 603","Dick's Sporting Goods","$18,010","$0","$18,010","2001","20010220","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","LANSDALE","751 HORSHAM RD, WATER TOWER SQUARE","19446","000000","","USA","Pennsylvania","publicly traded","DKS","retailing","retail-sporting goods","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SPORTS AUTHORITY","Dick's Sporting Goods","$18,300","$0","$18,300","2005","20050304","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","FONTANA","13053 SAN BERNARDINO AVE","92337","493110","493110: General Warehousing and Storage","USA","Pennsylvania","publicly traded","DKS","retailing","retail-sporting goods","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SPORTS AUTHORITY INC","Dick's Sporting Goods","$26,000","$0","$26,000","2012","20120127","safety-related offenses","aviation safety violation","","hazardous materials shipping","federal","agency action","Federal Aviation Administration","civil","","","2011NM730042","","","","","","","","","USA","Pennsylvania","publicly traded","DKS","retailing","retail-sporting goods","from a spreadsheet posted on the FAA website at https://www.faa.gov/about/office_org/headquarters_offices/ash/ash_programs/hazmat/compliance_enforcement/",""
"Dick's Sporting Goods","Dick's Sporting Goods","$10,000,000","$0","$10,000,000","2016","20160419","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","District of Massachusetts","13-cv-11390","Lapan et al v. Dicks Sporting Goods, Inc.","settlement","","","","","","","USA","Pennsylvania","publicly traded","DKS","retailing","retail-sporting goods","https://www.law360.com/articles/735906",""
"TSA Stores Inc.","Dick's Sporting Goods","$2,500,000","$0","$2,500,000","2014","20140123","employment-related offenses","wage and hour violation","","meal/rest break violation","federal","private litigation","","civil","","Northern District of California","11-cv-4724","Nielson v. TSA Stores Inc. et al","settlement","","","","","","","USA","Pennsylvania","publicly traded","DKS","retailing","retail-sporting goods","10-7 Mealey's Litig. Rep. Employ. L. 11 (2014)",""
"TSA Stores Inc.","Dick's Sporting Goods","$990,000","$0","$990,000","2011","20110930","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","Eastern District of New York","09-cv-2224","Jenkins v. TSA Stores, Inc.","settlement","","","","","","","USA","Pennsylvania","publicly traded","DKS","retailing","retail-sporting goods","https://www.law360.com/retail/articles/272583/sports-authority-co-managers-strike-deal-in-ot-action",""
