"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Dolgencorp LLC","Dollar General","$277,565","$0","$277,565","2016","20160919","employment-related offenses","employment discrimination","Americans with Disabilities Act","Disabilities","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","","","","","","","USA","Tennessee","publicly traded","DG","retailing","retail-discount stores","https://www.eeoc.gov/eeoc/newsroom/release/9-19-16a.cfm","Description field shows type of discrimination that EEOC had alleged."
"Dolgencorp, LLC","Dollar General","$50,000","$0","$50,000","2011","20110628","employment-related offenses","employment discrimination","","sexual harassment","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","North Carolina","","","","","","USA","Tennessee","publicly traded","DG","retailing","retail-discount stores","https://www.eeoc.gov/eeoc/newsroom/release/6-28-11.cfm","Description field shows type of discrimination that EEOC had alleged."
"Dolgencorp, LLC","Dollar General","$47,500","$0","$47,500","2013","20131023","employment-related offenses","employment discrimination","Americans with Disabilities Act","disability","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Indiana","","","","","","USA","Tennessee","publicly traded","DG","retailing","retail-discount stores","https://www.eeoc.gov/eeoc/newsroom/release/10-23-13.cfm","Description field shows type of discrimination that EEOC had alleged."
"Dolgencorp, LLC","Dollar General","$27,500","$0","$27,500","2014","20140204","employment-related offenses","employment discrimination","","sexual harassment","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Arkansas","","","","","","USA","Tennessee","publicly traded","DG","retailing","retail-discount stores","https://www.eeoc.gov/eeoc/newsroom/release/2-4-14.cfm","Description field shows type of discrimination that EEOC had alleged."
"Dolgencorp,LLC","Dollar General","$13,863","$0","$13,863","2013","20131214","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1710718","","","Mississippi","Meridian","","39305","452112","452112: Discount Department Stores","USA","Tennessee","publicly traded","DG","retailing","retail-discount stores","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Dolgencorp,LLC","Dollar General","$8,379","$0","$8,379","2015","20150904","employment-related offenses","wage and hour violation","child labor or youth employment violation","child labor penalties included","federal","agency action","Labor Department Wage and Hour Division","civil","","","1770145","","","Florida","Clewiston","","33440","452990","452990: All Other General Merchandise Stores","USA","Tennessee","publicly traded","DG","retailing","retail-discount stores","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Dolgencorp of Texas, Inc","Dollar General","$5,277","$0","$5,277","2014","20140805","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1726659","","","Texas","Tyler","","75702","44511","44511: Supermarkets and Other Grocery (except Convenience) Stores","USA","Tennessee","publicly traded","DG","retailing","retail-discount stores","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Dollar General  Corporation, LLC","Dollar General","$5,673","$0","$5,673","2013","20130119","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1680072","","","Alabama","Pinson","","35126","453998","453998: All Other Miscellaneous Store Retailers (except Tobacco Stores)","USA","Tennessee","publicly traded","DG","retailing","retail-discount stores","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Dollar General Corp.","Dollar General","$100,000","$0","$100,000","2009","20090707","safety-related offenses","product safety violation","","The U.S. Consumer Product Safety Commission announced that nine children's product manufacturers, importers and sellers agreed to pay a total of more than $500,000 in civil penalties for allegedly violating the federal lead paint ban.","federal","agency action","Consumer Product Safety Commission","civil","","","","","","","","","","","","USA","Tennessee","publicly traded","DG","retailing","retail-discount stores","https://www.cpsc.gov/Newsroom/News-Releases/2009/Nine-Companies-Penalized-for-Selling-Childrens-Products-that-Violated-the-Federal-Lead-Paint-Ban",""
"Dollar General Corporation","Dollar General","$10,000,000","$0","$10,000,000","2005","20050407","financial offenses","accounting fraud or deficiencies","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","Tennessee","publicly traded","DG","retailing","retail-discount stores","https://www.sec.gov/litigation/litreleases/lr19174.htm",""
"Dollar General Corporation","Dollar General","$32,500","$0","$32,500","2015","20150608","employment-related offenses","employment discrimination","","race","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Mississippi","","","","","","USA","Tennessee","publicly traded","DG","retailing","retail-discount stores","https://www.eeoc.gov/eeoc/newsroom/release/6-8-15a.cfm","Description field shows type of discrimination that EEOC had alleged."
"DOLLAR GENERAL STORE #4329","Dollar General","$10,000","$0","$10,000","2010","20100716","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Delaware","BETHANY BEACH","33266 COASTAL HIGHWAY","19930","452990","452990: All Other General Merchandise Stores","USA","Tennessee","publicly traded","DG","retailing","retail-discount stores","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"DOLLAR GENERAL","Dollar General","$9,250","$0","$9,250","2007","20070607","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Oklahoma","ARDMORE","401 GENERAL DRIVE","73401","493110","493110: General Warehousing and Storage","USA","Tennessee","publicly traded","DG","retailing","retail-discount stores","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"DG RETAIL, LLC","Dollar General","$6,300","$0","$6,300","2008","20080131","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","HAVANA","305 EAST MAIN STREET","62644","452990","452990: All Other General Merchandise Stores","USA","Tennessee","publicly traded","DG","retailing","retail-discount stores","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"DOLLAR GENERAL CORPORATION","Dollar General","$12,300","$0","$12,300","2005","20050706","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","CARRABELLE","310 S.E. AVENUE B","32322","452990","452990: All Other General Merchandise Stores","USA","Tennessee","publicly traded","DG","retailing","retail-discount stores","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"DOLLAR GENERAL STORE","Dollar General","$27,120","$0","$27,120","2004","20040512","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","BELOIT","18668 W 5TH STREET","44609","452112","452112: Discount Department Stores","USA","Tennessee","publicly traded","DG","retailing","retail-discount stores","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"DOLLAR GENERAL #4536","Dollar General","$10,000","$0","$10,000","2004","20040524","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Missouri","ST. LOUIS","1060 LEMAY FERRY RD.","63125","452990","452990: All Other General Merchandise Stores","USA","Tennessee","publicly traded","DG","retailing","retail-discount stores","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"DOLLAR GENERAL STORE","Dollar General","$5,940","$0","$5,940","2004","20040107","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","WARREN","2727 W. MARKET STREET N.W.","44485","452990","452990: All Other General Merchandise Stores","USA","Tennessee","publicly traded","DG","retailing","retail-discount stores","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"DOLLAR GENERAL","Dollar General","$11,000","$0","$11,000","2003","20030924","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","CLEARWATER","422 BELCHER RD.","33765","452990","452990: All Other General Merchandise Stores","USA","Tennessee","publicly traded","DG","retailing","retail-discount stores","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"DOLLAR GENERAL STORE","Dollar General","$5,440","$0","$5,440","2003","20031210","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","South Carolina","FLORENCE","CASHUA & DARLINGTON STREET","29501","452990","452990: All Other General Merchandise Stores","USA","Tennessee","publicly traded","DG","retailing","retail-discount stores","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
