"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"DOMINION CAROLINA GAS TRANSMISSION LLC","Dominion Energy","$46,400","$0","$46,400","2016","20160217","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Virginia","publicly traded","D","utilities and power generation","utilities","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_220141006.html?nocache=930",""
"Dominion Energy","Dominion Energy","$13,200,000","$0","$13,200,000","2013","20130401","environment-related offenses","environmental violation","","The Department of Justice and the U.S. Environmental Protection Agency (EPA) announced that Dominion Energy agreed to pay a $3.4 million civil penalty and spend approximately $9.8 million on environmental mitigation projects to resolve Clean Air Act (CAA) violations. The settlement was expected to result in reductions of nitrogen oxides, sulfur dioxide and particulate matter by more than 70,000 tons per year, across three of the utility's coal-fired power plants, located in Kincaid, Ill., State Line, Ind., and Somerset, Mass.","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","","","","","","","USA","Virginia","publicly traded","D","utilities and power generation","utilities","http://www.justice.gov/opa/pr/settlement-dominion-energy-reduces-harmful-pollution-three-states-and-downwind-communities",""
"Dominion Energy Kewaunee, Inc","Dominion Energy","$17,500","$0","$17,500","2015","20150401","safety-related offenses","nuclear safety violation","","The Nuclear Regulatory Commission has proposed a $17,500 civil penalty against Dominion Energy Kewaunee, Inc. for the Kewaunee nuclear power plant, for a security-related violation stemming from routine agency security inspections. The NRC conducted the inspections between June and December of last year. Agency inspectors looked at the security requirements for the permanently shut down plant, conducted onsite inspections and reviewed plant documents. Once the issue was identified the plant took corrective actions to address the security violations before the NRC inspectors left the site. To emphasize the importance of security awareness as well as the need for prompt identification of a violation the NRC has proposed a $17,500 civil penalty. Details about security-related violations are not made public","federal","agency action","Nuclear Regulatory Commission","civil","","","","","","","","","","","","USA","Virginia","publicly traded","D","utilities and power generation","utilities","http://pbadupws.nrc.gov/docs/ML1509/ML15096A373.pdf",""
"Dominion Energy Kewaunee, Inc.","Dominion Energy","$70,000","$0","$70,000","2013","20130430","safety-related offenses","nuclear safety violation","","On April 30, 2013, the NRC issued a Notice of Violation to Dominion Energy Kewaunee, Inc. (licensee) for a Severity Level III problem with a proposed civil penalty of $70,000, and a White Significance Determination Process finding for an associated performance deficiency. The violations were based on the licensee's failure to follow License Condition 2.C.(3), ""Fire Protection"" and 10 CFR 50.9(a), ""Completeness and Accuracy of Information."" Specifically, from at least August 19, 2009 to December 20, 2011, a Kewaunee fire brigade trainer willfully failed to conduct announced fire drills in accordance with the Kewaunee license condition and implementing procedure and falsified fire drill evaluation/critique forms.","federal","agency action","Nuclear Regulatory Commission","civil","","","","","","","","","","","","USA","Virginia","publicly traded","D","utilities and power generation","utilities","http://www.nrc.gov/about-nrc/regulatory/enforcement/current/reactor-actions/2013.html",""
"Dominion Energy Management, Inc.","Dominion Energy","$32,000","$0","$32,000","2012","20121205","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","05-CA-061429","","","Virginia","Ashland","","","","","USA","Virginia","publicly traded","D","utilities and power generation","utilities","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.",""
"Dominion Nuclear Connecticut, Inc.","Dominion Energy","$88,000","$0","$88,000","2002","20020625","safety-related offenses","nuclear safety violation","","On June 25, 2002, a Notice of Violation and Proposed Imposition of Civil Penalty in the amount of $288,000 was issued for a Severity Level II violation involving the failure to: (1) keep adequate records of special nuclear material (SNM), (2) establish adequate procedures for control and accounting of SNM, and (3) conduct adequate physical inventories of SNM.","federal","agency action","Nuclear Regulatory Commission","civil","","","","","","Connecticut","","","","","","USA","Virginia","publicly traded","D","utilities and power generation","utilities","https://www.nrc.gov/docs/ML0217/ML021760787.pdf",""
"Dominion Oklahoma Texas Exploration & Production Inc.","Dominion Energy","$2,219,974","$0","$2,219,974","2010","20100820","government-contracting-related offenses","False Claims Act and related","federal leasing royalty violation","Dominion Oklahoma Texas Exploration & Production Inc. and Marathon Oil Company agreed to pay the United States $2,219,974.98 and $4,697,476.57, respectively, to resolve claims that the two companies separately violated the False Claims Act by knowingly underpaying royalties owed on natural gas produced from federal and Indian leases.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Virginia","publicly traded","D","utilities and power generation","utilities","https://www.justice.gov/opa/pr/dominion-marathon-oil-pay-69-million-resolve-allegations-royalty-underpayments-american",""
"Dominion Cove Point","Dominion Energy","$365,000","$0","$365,000","2015","20150317","environment-related offenses","environmental violation","","Dominion Cove Point, LNG will pay a $365,000 civil penalty to settle alleged violations of federal environmental regulations involving unreported releases of ammonia into the air from its liquefied natural gas distribution facility at 2100 Cove Point Road, Lusby, Md. EPA cited Dominion for failing to report 27 separate releases of more than 100 pounds of ammonia from its natural gas turbines while generating the site's electricity.","federal","agency action","Environmental Protection Agency","civil","","","","","","Maryland","Lusby","","","","","USA","Virginia","publicly traded","D","utilities and power generation","utilities","https://archive.epa.gov/epa/newsreleases/epa-and-dominion-cove-point-settle-violations-natural-gas-distribution-facility.html",""
"Dominion Resources, Inc.","Dominion Energy","$4,250,000","$0","$4,250,000","2006","20060927","miscellaneous offenses","data submission deficiencies","","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","USA","Virginia","publicly traded","D","utilities and power generation","utilities","http://www.cftc.gov/PressRoom/PressReleases/pr5233-06",""
"DOMINION TRANSMISSION INC","Dominion Energy","$182,500","$0","$182,500","2010","20101013","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Virginia","publicly traded","D","utilities and power generation","utilities","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_120101008.html?nocache=6664",""
