"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"STARKIST SAMOA, INC.","Dongwon Group","$6,250","$0","$6,250","2006","20061017","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","American Samoa","PAGO PAGO","ATU'U, MAIN RD.","96799","311711","311711: Seafood Canning","South Korea","","publicly traded","","food products","seafood","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"STARKIST SAMOA, INC.","Dongwon Group","$5,000","$0","$5,000","2005","20051216","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","American Samoa","PAGO PAGO","ATU'U, MAIN RD.","96799","311711","311711: Seafood Canning","South Korea","","publicly traded","","food products","seafood","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"StarKist Co.","Dongwon Group","$6,388,000","$6,388,000","$0","2017","20170912","environment-related offenses","environmental violation","","StarKist agreed to pay a civil penalty of $6.3 million to resolve allegations that it violated wastewater regulations at its facility in American Samoa.","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","","","","","","","South Korea","","publicly traded","","food products","seafood","https://www.epa.gov/enforcement/starkist-clean-water-act-clean-air-act-resource-conservation-and-recovery-and-emergency","Note: This penalty is a duplicate of an amount shown in another record (either because it applies to a multi-location settlement or because Violation Tracker contains an agency record and a settlement announcement for the same case)."
"StarKist Co.","Dongwon Group","$200,000","$0","$200,000","2017","20171226","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","","","","","","","South Korea","","publicly traded","","food products","seafood","https://www.epa.gov/newsreleases/us-epa-american-samoa-reach-revised-settlement-starkist",""
"StarKist Co.","Dongwon Group","$84,500","$0","$84,500","2019","20190415","environment-related offenses","environmental violation","","StarKist Co. and its subsidiary Starkist Samoa Co. were assessed $84,500 in penalties for violating the terms of a 2018 settlement designed to remedy deficiencies at their tuna processing facility in American Samoa.","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","American Samoa","","","","","","South Korea","","publicly traded","","food products","seafood","https://www.epa.gov/newsreleases/epa-fines-starkist-failing-comply-2018-settlement",""
"StarKist Co.","Dongwon Group","$100,000,000","$0","$100,000,000","2019","20190911","competition-related offenses","price-fixing or anti-competitive practices","","StarKist Co. was sentenced to pay a criminal fine of $100 million, the statutory maximum, for its role in a conspiracy to fix prices for canned tuna sold in the United States.  StarKist was also sentenced to a 13-month term of probation. ","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","South Korea","","publicly traded","","food products","seafood","https://www.justice.gov/opa/pr/starkist-ordered-pay-100-million-criminal-fine-antitrust-violation",""
"StarKist Co.","Dongwon Group","$1,100,000","$0","$1,100,000","2012","20120803","consumer-protection-related offenses","consumer protection violation","","Bumble Bee Foods, Tri-Union Seafoods (which markets Chicken of the Sea) and StarKist agreed to pay $3.3 million to District Attorneys in Marin, Riverside and San Diego counties to resolve allegations that they failed to meet federal standards relating to the amount of fish in their cans of tuna. The announcement did not specify how much each company would pay. Here we assume the total was divided equally among the three.","local","agency action","California Multi-Jurisdiction Case","civil","","","","","settlement","California","","","","","","South Korea","","publicly traded","","food products","seafood","https://www.reuters.com/article/us-usa-tunafish-california/tuna-companies-to-pay-3-3-million-to-settle-skimping-claims-idUSBRE87300U20120804",""
"Starkist Foods Inc.","Dongwon Group","$5,000","$0","$5,000","2000","20000601","environment-related offenses","environmental violation","","air pollution","local","agency action","South Coast (CA) Air Quality Management District ","civil","","","","","","California","","","","","","South Korea","","publicly traded","","food products","seafood","http://www3.aqmd.gov/hb/2000/September/000916a.html",""
"STARKIST SAMOA CO.","Dongwon Group","$8,485","$0","$8,485","2016","20160628","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","American Samoa","PAGO PAGO","ROUTE 1, SATALA","96799","311711","311711: Seafood Canning","South Korea","","publicly traded","","food products","seafood","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"STARKIST CARIBE, INC.","Dongwon Group","$58,500","$0","$58,500","2002","20020128","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","02-2001-3404","","","Puerto Rico","MAYAGUEZ","STATE RD 341, KM 5.8 MELECON WARD","681","311711","311711: Seafood Canning","South Korea","","publicly traded","","food products","seafood","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"StarKist Co.","Dongwon Group","$6,588,000","$0","$6,588,000","2018","20180307","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","09-2015-1517","","","American Samoa","PAGO PAGO","MAIN ROAD","96799","","","South Korea","","publicly traded","","food products","seafood","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
