"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Dow Benelux N.V.","Dow Inc.","$30,000","$0","$30,000","2001","20010504","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","USA","Michigan","publicly traded","DOW","chemicals","materials sciences","FOIA163","Source document obtained through a Freedom of Information Act request to the agency."
"Dow Chemical","Dow Inc.","$12,000","$0","$12,000","2003","20030130","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Michigan","publicly traded","DOW","chemicals","materials sciences","Taken from the Federal Railroad Administration's FY2003 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Dow Chemical","Dow Inc.","$11,000","$0","$11,000","2003","20030424","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Michigan","publicly traded","DOW","chemicals","materials sciences","Taken from the Federal Railroad Administration's FY2003 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Dow Chemical Company","Dow Inc.","$2,500,000","$0","$2,500,000","2011","20110729","environment-related offenses","environmental violation","","The Dow Chemical Company agreed to pay a $2.5 million civil penalty to settle alleged violations of the Clean Air Act, Clean Water Act and the Resource Conservation and Recovery Act at its chemical manufacturing and research complex in Midland, Michigan.","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","Michigan","Midland","","","","","USA","Michigan","publicly traded","DOW","chemicals","materials sciences","http://www.justice.gov/opa/pr/dow-chemical-agrees-pay-25-million-penalty-resolve-air-water-and-waste-violations-its-midland",""
"Dow Chemical Company","Dow Inc.","$325,000","$0","$325,000","2007","20070213","competition-related offenses","Foreign Corrupt Practices Act","","Dow agreed to settle allegations relating to an estimated $200,000 in improper payments made by a foreign subsidiary to Indian government officials from 1996 through 2001.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","Michigan","publicly traded","DOW","chemicals","materials sciences","https://www.sec.gov/litigation/litreleases/2007/lr20000.htm",""
"The DOW Chemical Company","Dow Inc.","$640,033","$0","$640,033","2007","20070630","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1456814","","","Texas","Freeport","","77541","32599","32599: All Other Chemical Product and Preparation Manufacturing","USA","Michigan","publicly traded","DOW","chemicals","materials sciences","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"The DOW Chemical Company","Dow Inc.","$221,615","$0","$221,615","2007","20070630","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1496263","","","Texas","Freeport","","77541","325998","325998: All Other Miscellaneous Chemical Product and Preparation Manufacturing","USA","Michigan","publicly traded","DOW","chemicals","materials sciences","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"The Dow Chemical Company","Dow Inc.","$16,000","$0","$16,000","2011","20110216","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Michigan","publicly traded","DOW","chemicals","materials sciences","https://www.fra.dot.gov/eLib/details/L01494#p1_z5_gD_lEA",""
"The Dow Chemical Company","Dow Inc.","$16,000","$0","$16,000","2008","20081216","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Michigan","publicly traded","DOW","chemicals","materials sciences","https://railroads.dot.gov/sites/fra.dot.gov/files/fra_net/282/Annual_Enforcement_Report_2009.pdf",""
"The Dow Chemical Company","Dow Inc.","$14,000","$0","$14,000","2014","20140205","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Michigan","publicly traded","DOW","chemicals","materials sciences","https://www.fra.dot.gov/eLib/details/L16190#p1_z5_gD_lEA",""
"The Dow Chemical Company","Dow Inc.","$11,250","$0","$11,250","2016","20160112","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Michigan","publicly traded","DOW","chemicals","materials sciences","https://www.fra.dot.gov/Elib/Document/16831","Year is fiscal year."
"The Dow Chemical Company","Dow Inc.","$9,200","$0","$9,200","2009","20090923","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Michigan","publicly traded","DOW","chemicals","materials sciences","https://www.fra.dot.gov/Elib/Document/282","Year is fiscal year."
"The Dow Chemical Company","Dow Inc.","$8,750","$0","$8,750","2016","20160112","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Michigan","publicly traded","DOW","chemicals","materials sciences","https://www.fra.dot.gov/Elib/Document/16831","Year is fiscal year."
"The Dow Chemical Company","Dow Inc.","$8,000","$0","$8,000","2014","20140205","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Michigan","publicly traded","DOW","chemicals","materials sciences","https://www.fra.dot.gov/eLib/details/L16190#p1_z5_gD_lEA",""
