"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Detroit Edison","DTE Energy","$46,093","$0","$46,093","2006","20061002","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","07-CA-49091-001","","","Michigan","Detroit","","48226","221121","221121: Electric Bulk Power Transmission and Control","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"DTE GAS COMPANY","DTE Energy","$31,800","$0","$31,800","2016","20160204","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_320151004.html?nocache=1609",""
"DTE GAS COMPANY","DTE Energy","$31,800","$0","$31,800","2015","20150511","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_320151004.html?nocache=9169",""
"DTE GAS COMPANY","DTE Energy","$25,000","$0","$25,000","2004","20040728","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_320020001.html?nocache=3445",""
"DTE Gas Company","DTE Energy","$15,000","$0","$15,000","2013","20130531","competition-related offenses","energy market violation","","","federal","agency action","Federal Energy Regulatory Commission","civil","","","","","","","","","","","","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","https://www.ferc.gov/enforcement/civil-penalties/actions/2013.asp",""
"SHENANGO LLC","DTE Energy","$300,000","$0","$300,000","2014","20140408","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"SHENANGO LLC","DTE Energy","$74,250","$0","$74,250","2014","20140207","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"SHENANGO LLC","DTE Energy","$24,725","$0","$24,725","2013","20131104","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"SHENANGO LLC","DTE Energy","$25,475","$0","$25,475","2013","20130830","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"SHENANGO LLC","DTE Energy","$16,250","$0","$16,250","2013","20130806","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"SHENANGO LLC","DTE Energy","$16,250","$0","$16,250","2013","20130430","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"SHENANGO LLC","DTE Energy","$625,000","$0","$625,000","2012","20121106","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"SHENANGO INC","DTE Energy","$328,700","$0","$328,700","2012","20121106","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"SHENANGO INC","DTE Energy","$110,000","$0","$110,000","2005","20050705","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"SHENANGO INC","DTE Energy","$200,000","$0","$200,000","2005","20050630","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"Shenango Inc.","DTE Energy","$1,750,000","$0","$1,750,000","2012","20120725","environment-related offenses","environmental violation","","The U.S. Environmental Protection Agency (EPA), the Pennsylvania Department of Environmental Protection (PADEP) and the Allegheny County Health Department (ACHD) have reached a settlement with Shenango Inc. (Shenango) resolving alleged air and water pollution violations at the company's coke manufacturing plant on Neville Island, Allegheny County, Pa. The consent decree requires the company to pay $1.75 million in civil penalties and make significant upgrades to the plant, which is located about five miles north of downtown Pittsburgh.","federal","agency action","Environmental Protection Agency","civil","","","","","","Pennsylvania","Neville Island","","","","","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/1c080d705e4be39385257a4600557a47.html",""
"Shenango Incorporated","DTE Energy","$15,570","$0","$15,570","2010","20100912","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1573366","","","Pennsylvania","Pittsburgh","","15225","3241","3241: Petroleum and Coal Products Manufacturing","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Washington 10 Storage Corporation","DTE Energy","$3,233,227","$0","$3,233,227","2013","20130531","competition-related offenses","energy market violation","","","federal","agency action","Federal Energy Regulatory Commission","civil","","","","","","","","","","","","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","https://www.ferc.gov/enforcement/civil-penalties/actions/2013.asp",""
"DTE PONTIAC SERVICE CTR","DTE Energy","$5,000","$0","$5,000","2009","20091218","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Michigan","SYLVAN LAKE","1970 ORCHARD LK RD","48320","238210","238210: Electrical Contractors","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"DTE ENERGY MONROE POWER PLT","DTE Energy","$8,590","$0","$8,590","2005","20050310","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Michigan","MONROE","3500 E FRONT ST","48161","221112","221112: Fossil Fuel Electric Power Generation","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"DETROIT EDISON CO","DTE Energy","$5,000","$0","$5,000","2001","20010607","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Michigan","MAYVILLE","SAGINAW RD","48744","000000","","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Detroit Edison","DTE Energy","$450,000","$450,000","$0","2001","20010123","environment-related offenses","environmental violation","","Detroit Edison agreed to pay $450,000 in penalties and costs as part of the settlement of allegations that it illegally restarted its coal-burning Conners Creek power plant located in downtown Detroit.  Detroit Edison also agreed to convert the plant from coal to cleaner burning natural gas fuel.","state","agency action","Michigan Attorney General","civil","","","","","","Michigan","","","","","","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","Michigan Announces Settlement With Detroit Edison Regarding Conners Creek Power Plant, PR Newswire, January 23, 2001 (via Nexis).",""
"DTE Energy","DTE Energy","$7,300,000","$0","$7,300,000","2020","20200514","environment-related offenses","environmental violation","","DTE Energy agreed to reduce pollution at five coal-fired power plants in southeast Michigan in a settlement with the EPA that also required the company to pay a $1.8 million civil penalty and to undertake a $5.5 million mitigation project to improve air quality in the region by replacing old buses in the area with newer, cleaner ones.","federal","agency action","Environmental Protection Agency","civil","","","","","","Michigan","","","","","","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","https://www.epa.gov/newsreleases/epa-settlement-dte-energy-reduce-air-pollution-southeast-michigan",""
"DTE Electric Company","DTE Energy","$16,619","$0","$16,619","2015","20150917","environment-related offenses","environmental violation","","air quality violation","state","agency action","Michigan Department of Environmental Quality","civil","","","","","","Michigan","Monroe","","","","","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","https://www.deq.state.mi.us/aps/downloads/SRN/B2816/B2816_ACO_20150918.pdf",""
"DETROIT EDISON CO","DTE Energy","$8,500","$0","$8,500","2009","20091209","environment-related offenses","environmental violation","","hazardous waste violation","state","agency action","Michigan Department of Environmental Quality","civil","","","392616","","","Michigan","Trenton","","","","","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","Contained in data received from the agency on January 28, 2021 in response to an open records request.",""
"MICHIGAN CONSOLIDATED GAS COMPANY","DTE Energy","$36,000","$0","$36,000","2003","20030326","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","Michigan Public Service Commission","civil","","","U-13706","","","Michigan","","","","","","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","https://mi-psc.force.com/sfc/servlet.shepherd/version/download/068t0000000vLRJAA2",""
"MICHIGAN CONSOLIDATED GAS COMPANY","DTE Energy","$5,000","$0","$5,000","2003","20030326","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","Michigan Public Service Commission","civil","","","U-13711","","","Michigan","","","","","","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","https://mi-psc.force.com/sfc/servlet.shepherd/version/download/068t0000000vLa1AAE",""
"MICHIGAN CONSOLIDATED GAS COMPANY","DTE Energy","$41,000","$0","$41,000","2003","20030326","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","Michigan Public Service Commission","civil","","","U-13706","","","Michigan","","","","","","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","https://mi-psc.force.com/sfc/servlet.shepherd/version/download/068t0000000vKtaAAE",""
"Detroit Edison","DTE Energy","$15,300","$0","$15,300","2004","20040220","consumer-protection-related offenses","consumer protection violation","","","state","agency action","Michigan Public Service Commission","civil","","","U-13808","","","Michigan","","","","","","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","https://mi-psc.force.com/sfc/servlet.shepherd/version/download/068t0000000vMxxAAE",""
"Detroit Edison","DTE Energy","$20,000","$0","$20,000","2005","20050329","miscellaneous offenses","utility administrative violation","business practice violation","","state","agency action","Michigan Public Service Commission","civil","","","U-14072","","","Michigan","","","","","","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","https://mi-psc.force.com/sfc/servlet.shepherd/version/download/068t0000000w5kNAAQ",""
"DTE","DTE Energy","$975,000","$0","$975,000","2005","20050428","miscellaneous offenses","utility administrative violation","","","state","agency action","Michigan Public Service Commission","civil","","","U-14025 / U-14054 / U-14070 / U-14025","","","Michigan","","","","","","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","https://mi-psc.force.com/s/",""
"Detroit Edison","DTE Energy","$95,000","$0","$95,000","2005","20051018","miscellaneous offenses","utility administrative violation","","","state","agency action","Michigan Public Service Commission","civil","","","U-14208","","","Michigan","","","","","","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","https://mi-psc.force.com/s/",""
"Detroit Edison","DTE Energy","$105,000","$0","$105,000","2006","20060627","consumer-protection-related offenses","consumer protection violation","","The settlement agreement follows an investigation by the MPSC into residential electric shut-offs that took place between Oct. 28, 2005 and March 14, 2006 that were not restored in accordance with MPSC rules.","state","agency action","Michigan Public Service Commission","civil","","","U-14822","","","Michigan","","","","","","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","https://mi-psc.force.com/sfc/servlet.shepherd/version/download/068t0000000wCvdAAE",""
"Detroit Edison","DTE Energy","$50,000","$0","$50,000","2007","20070705","consumer-protection-related offenses","utility service violation","regulated market violation","","state","agency action","Michigan Public Service Commission","civil","","","U-15223","","","Michigan","","","","","","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","https://mi-psc.force.com/sfc/servlet.shepherd/version/download/068t0000000wGOMAA2",""
"Detroit Edison","DTE Energy","$50,000","$0","$50,000","2007","20070705","miscellaneous offenses","utility administrative violation","business practice violation","","state","agency action","Michigan Public Service Commission","civil","","","U-15081","","","Michigan","","","","","","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","https://mi-psc.force.com/sfc/servlet.shepherd/version/download/068t0000000wFyyAAE",""
"DTE Gas Company","DTE Energy","$10,000","$0","$10,000","2017","20171026","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","Michigan Public Service Commission","civil","","","2225","","","Michigan","","","","","","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","Contained in data received from the agency on December 07, 2021 in response to an open records request.",""
"DTE Gas Company","DTE Energy","$10,000","$0","$10,000","2017","20171026","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","Michigan Public Service Commission","civil","","","2225","","","Michigan","","","","","","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","Contained in data received from the agency on December 07, 2021 in response to an open records request.",""
"DTE Gas Company","DTE Energy","$10,000","$0","$10,000","2017","20171208","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","Michigan Public Service Commission","civil","","","2320","","","Michigan","","","","","","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","Contained in data received from the agency on December 07, 2021 in response to an open records request.",""
"DTE Gas Company","DTE Energy","$10,000","$0","$10,000","2017","20171208","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","Michigan Public Service Commission","civil","","","2320","","","Michigan","","","","","","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","Contained in data received from the agency on December 07, 2021 in response to an open records request.",""
"DTE Gas Company","DTE Energy","$10,000","$0","$10,000","2018","20180131","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","Michigan Public Service Commission","civil","","","2341","","","Michigan","","","","","","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","Contained in data received from the agency on December 07, 2021 in response to an open records request.",""
"DTE Gas Company","DTE Energy","$10,000","$0","$10,000","2018","20180131","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","Michigan Public Service Commission","civil","","","2341","","","Michigan","","","","","","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","Contained in data received from the agency on December 07, 2021 in response to an open records request.",""
"DTE Gas Company","DTE Energy","$10,000","$0","$10,000","2018","20180627","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","Michigan Public Service Commission","civil","","","2439","","","Michigan","","","","","","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","Contained in data received from the agency on December 07, 2021 in response to an open records request.",""
"DTE Gas Company","DTE Energy","$15,000","$0","$15,000","2018","20181102","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","Michigan Public Service Commission","civil","","","2914","","","Michigan","","","","","","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","Contained in data received from the agency on December 07, 2021 in response to an open records request.",""
"DTE Energy Company","DTE Energy","$840,000","$0","$840,000","2018","20181220","consumer-protection-related offenses","consumer protection violation","","Improper billing and shutoff practices","state","agency action","Michigan Public Service Commission","civil","","","U-20084","","","Michigan","","","","","","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","https://mi-psc.force.com/sfc/servlet.shepherd/version/download/068t0000003HW1RAAW",""
"DTE Gas Company","DTE Energy","$10,000","$0","$10,000","2019","20190125","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","Michigan Public Service Commission","civil","","","2497","","","Michigan","","","","","","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","Contained in data received from the agency on December 07, 2021 in response to an open records request.",""
"DTE Gas Company","DTE Energy","$10,000","$0","$10,000","2019","20190125","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","Michigan Public Service Commission","civil","","","2497","","","Michigan","","","","","","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","Contained in data received from the agency on December 07, 2021 in response to an open records request.",""
"DTE Gas Company","DTE Energy","$10,000","$0","$10,000","2019","20190125","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","Michigan Public Service Commission","civil","","","2497","","","Michigan","","","","","","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","Contained in data received from the agency on December 07, 2021 in response to an open records request.",""
"DTE Gas Company","DTE Energy","$50,000","$0","$50,000","2019","20190125","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","Michigan Public Service Commission","civil","","","2497","","","Michigan","","","","","","USA","Michigan","publicly traded","DTE","utilities and power generation","utilities","Contained in data received from the agency on December 07, 2021 in response to an open records request.",""
