"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Ducommun AeroStructures","Ducommun","$786,196","$0","$786,196","2006","20061213","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","21-CA-34474-001","","","California","Gardena","","90247","336411","336411: Aircraft Manufacturing","USA","California","publicly traded","DCO","aerospace and military contracting","aerospace & military contracting","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"DUCOMMUN TECHNOLOGIES","Ducommun","$20,000","$0","$20,000","2011","20110926","safety-related offenses","aviation safety violation","","DRUG TESTING ","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","USA","California","publicly traded","DCO","aerospace and military contracting","aerospace & military contracting","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"DYNABIL INDUSTRIES, INC.","Ducommun","$10,000","$0","$10,000","2000","20000831","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","21-CA-32501-001","","","California","EL CAJON","","92020","336413","336413: Other Aircraft Parts and Auxiliary Equipment Manufacturing","USA","California","publicly traded","DCO","aerospace and military contracting","aerospace & military contracting","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"DUCOMMUN AEROSTRUCTURES INC","Ducommun","$6,750","$0","$6,750","2010","20100430","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","GARDENA","140 E. GARDENA BLVD.","90248","336411","336411: Aircraft Manufacturing","USA","California","publicly traded","DCO","aerospace and military contracting","aerospace & military contracting","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"AHF DUCOMMUN INC.","Ducommun","$6,370","$0","$6,370","2002","20020802","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","GARDENA","140 E. GARDENA BLVD.","90247","000000","","USA","California","publicly traded","DCO","aerospace and military contracting","aerospace & military contracting","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"AHF DUCOMMUN INC.","Ducommun","$5,100","$0","$5,100","2000","20001218","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","GARDENA","140 E. GARDENA BLVD.","90247","000000","","USA","California","publicly traded","DCO","aerospace and military contracting","aerospace & military contracting","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Ducommun AeroStructures, Inc.","Ducommun","$40,000","$0","$40,000","2020","20200902","environment-related offenses","environmental violation","","hazardous waste violations","state","agency action","California Department of Toxic Substances Control","civil","","","","","","California","El Mirage","","","","","USA","California","publicly traded","DCO","aerospace and military contracting","aerospace & military contracting","https://dtsc.ca.gov/wp-content/uploads/sites/31/2020/10/Ducommun_FCI2020_CO_090220.pdf",""
"Ducommun AeroStructures, Inc.","Ducommun","$27,440","$0","$27,440","2016","20161011","environment-related offenses","environmental violation","","hazardous waste violations","state","agency action","California Department of Toxic Substances Control","civil","","","","","","California","El Mirage","","","","","USA","California","publicly traded","DCO","aerospace and military contracting","aerospace & military contracting","https://dtsc.ca.gov/wp-content/uploads/sites/31/2018/01/Ducommun_CEI2016_StipOrder101116.pdf",""
"Ducommun Aerostructures Inc.","Ducommun","$37,400","$0","$37,400","2013","20130116","environment-related offenses","environmental violation","","air pollution","local","agency action","South Coast (CA) Air Quality Management District ","civil","","","","","","California","","","","","","USA","California","publicly traded","DCO","aerospace and military contracting","aerospace & military contracting","http://www.aqmd.gov/docs/default-source/Agendas/Governing-Board/2013/2013-mar1-013.pdf?sfvrsn=0",""
"DUCOMMUN AEROSTRUCTURES, INC.","Ducommun","$7,200","$0","$7,200","2010","20100209","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kansas","PARSONS","3333 MAIN ST.","67357","336413","336413: Other Aircraft Parts and Auxiliary Equipment Manufacturing","USA","California","publicly traded","DCO","aerospace and military contracting","aerospace & military contracting","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
