"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"DuPont","DuPont de Nemours","$70,125,000","$0","$70,125,000","2007","20070720","environment-related offenses","environmental violation","","Du Pont agreed to spend at least $66 million on air pollution controls at four sulfuric acid production plants in Louisiana, Virginia, Ohio and Kentucky and pay a civil penalty of $4.125 million under the Clean Air Act settlement.","federal","agency action","Justice Department Environment and Natural Resources Division","civil","","","","","","","","","","","","USA","Delaware","publicly traded","DD","chemicals","specialty materials","https://www.justice.gov/archive/opa/pr/2007/July/07_enrd_525.html",""
"DuPont","DuPont de Nemours","$3,300,000","$0","$3,300,000","2010","20101221","environment-related offenses","environmental violation","","The U.S. Environmental Protection Agency announced that DuPont agreed to pay a penalty of $3.3 million to resolve 57 Toxic Substances Control Act (TSCA) violations, including allegations that it failed to immediately notify EPA of research indicating substantial risk found during testing chemicals for possible use as surface protection, masonry protection, water repellants, sealants and paints.","federal","agency action","Environmental Protection Agency","civil","","","","","","","","","","","","USA","Delaware","publicly traded","DD","chemicals","specialty materials","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/a8d3c66531ef7712852577ff007d8ddd.html",""
"DuPont","DuPont de Nemours","$1,853,000","$0","$1,853,000","2014","20140915","environment-related offenses","environmental violation","","On September 15, 2014, EPA filed a Consent Agreement and Final Order (CAFO) which simultaneously commences and resolves an administrative proceeding against E.I. du Pont de Nemours and Company (DuPont) for alleged violations of the Federal Insecticide, Fungicide, and Rodenticide Act (FIFRA). ","federal","agency action","Environmental Protection Agency","civil","","","","","","","","","","","","USA","Delaware","publicly traded","DD","chemicals","specialty materials","http://www2.epa.gov/enforcement/ei-du-pont-de-nemours-and-company-settlement",""
"DuPont","DuPont de Nemours","$1,500,000","$0","$1,500,000","2000","20000801","environment-related offenses","environmental violation","","The Justice Department and the EPA reached a $1.5 million settlement with E.I. du Pont de Nemours related to a 1995 chemical release in eastern Kentucky that led to the evacuation of several communities surrounding the plant.","federal","agency action","Justice Department Environment and Natural Resources Division","civil","","","","","","Kentucky","","","","","","USA","Delaware","publicly traded","DD","chemicals","specialty materials","https://www.justice.gov/archive/opa/pr/2000/August/443enrd.htm",""
"DuPont","DuPont de Nemours","$22,200","$0","$22,200","2015","20150417","environment-related offenses","environmental violation","","EPA has reached three settlements with companies that produce and/or market pesticides, resolving EPA allegations that the companies or their agents distributed and sold pesticide products which lacked required labels or were missing critical information required by the EPA-approved labels, in violation of the federal law regulating pesticide use in the United States (the Federal Insecticide, Fungicide and Rodenticide Act, aka FIFRA).","federal","agency action","Environmental Protection Agency","civil","","","","","","","","","","","","USA","Delaware","publicly traded","DD","chemicals","specialty materials","https://archive.epa.gov/epa/newsreleases/settlements-emphasize-pesticides-need-be-labeled-correctly-protecting-public-and.html",""
"DUPONT","DuPont de Nemours","$10,000","$0","$10,000","2010","20101206","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Delaware","publicly traded","DD","chemicals","specialty materials","https://www.fra.dot.gov/eLib/details/L01494#p1_z5_gD_lEA",""
"DuPont","DuPont de Nemours","$9,250","$0","$9,250","2003","20031223","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Delaware","publicly traded","DD","chemicals","specialty materials","Taken from the Federal Railroad Administration's FY2004 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"DUPONT","DuPont de Nemours","$8,000","$0","$8,000","2009","20091005","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Delaware","publicly traded","DD","chemicals","specialty materials","https://www.fra.dot.gov/eLib/details/L01493#p1_z5_gD_lEA",""
"DuPont","DuPont de Nemours","$7,500","$0","$7,500","2008","20080117","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Delaware","publicly traded","DD","chemicals","specialty materials","Taken from the Federal Railroad Administration's FY2008 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"DuPont","DuPont de Nemours","$7,500","$0","$7,500","2008","20080117","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Delaware","publicly traded","DD","chemicals","specialty materials","Taken from the Federal Railroad Administration's FY2008 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"DuPont","DuPont de Nemours","$7,500","$0","$7,500","2008","20080117","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Delaware","publicly traded","DD","chemicals","specialty materials","Taken from the Federal Railroad Administration's FY2008 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"DuPont","DuPont de Nemours","$7,500","$0","$7,500","2008","20080117","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Delaware","publicly traded","DD","chemicals","specialty materials","Taken from the Federal Railroad Administration's FY2008 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"DuPont","DuPont de Nemours","$6,500","$0","$6,500","2003","20031223","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Delaware","publicly traded","DD","chemicals","specialty materials","Taken from the Federal Railroad Administration's FY2004 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"DuPont","DuPont de Nemours","$6,500","$0","$6,500","2003","20031223","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Delaware","publicly traded","DD","chemicals","specialty materials","Taken from the Federal Railroad Administration's FY2004 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"DuPont","DuPont de Nemours","$5,625","$0","$5,625","2002","20020128","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Delaware","publicly traded","DD","chemicals","specialty materials","Taken from the Federal Railroad Administration's FY2002 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"DuPont","DuPont de Nemours","$5,250","$0","$5,250","2008","20080117","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Delaware","publicly traded","DD","chemicals","specialty materials","Taken from the Federal Railroad Administration's FY2008 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
