"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"EAST PENN MFG CO","East Penn Manufacturing","$18,000","$0","$18,000","2010","20100423","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Pennsylvania","privately held","","miscellaneous energy products and systems","batteries","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"EAST PENN MFG CO","East Penn Manufacturing","$9,000","$0","$9,000","2008","20080825","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Pennsylvania","privately held","","miscellaneous energy products and systems","batteries","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"EAST PENN MANUFACTURING COMPANY, INCORPORATED","East Penn Manufacturing","$40,960","$0","$40,960","2009","20090721","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","LYON STATION","DEKA ROAD","19536","335911","335911: Storage Battery Manufacturing","USA","Pennsylvania","privately held","","miscellaneous energy products and systems","batteries","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"EAST PENN MANUFACTURING","East Penn Manufacturing","$9,000","$0","$9,000","2007","20071227","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","WEST BABYLON","790 SOUTH RAIL ROAD AVE","11704","325998","325998: All Other Miscellaneous Chemical Product and Preparation Manufacturing","USA","Pennsylvania","privately held","","miscellaneous energy products and systems","batteries","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"EAST PENN MANUFACTURING COMPANY, INCORPORATED","East Penn Manufacturing","$20,540","$0","$20,540","2009","20090721","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","LYON STATION","DEKA ROAD","19536","335911","335911: Storage Battery Manufacturing","USA","Pennsylvania","privately held","","miscellaneous energy products and systems","batteries","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"EAST PENN MANUFACTURING COMPANY, INCORPORATED","East Penn Manufacturing","$13,200","$0","$13,200","2013","20130304","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","LYON STATION","DEKA ROAD","19536","335912","335912: Primary Battery Manufacturing","USA","Pennsylvania","privately held","","miscellaneous energy products and systems","batteries","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"EAST PENN MANUFACTURING COMPANY, INC.","East Penn Manufacturing","$5,250","$0","$5,250","2014","20140221","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","LYON STATION","DEKA ROADBUILDING A1","19536","335911","335911: Storage Battery Manufacturing","USA","Pennsylvania","privately held","","miscellaneous energy products and systems","batteries","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"EAST PENN MANUFACTURING COMPANY, INCORPORATED","East Penn Manufacturing","$5,775","$0","$5,775","2015","20150422","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","LYON STATION","INDUSTRIAL BUILDING102 DEKA ROAD","19536","335911","335911: Storage Battery Manufacturing","USA","Pennsylvania","privately held","","miscellaneous energy products and systems","batteries","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"EAST PENN MANUFACTURING CO. INC.","East Penn Manufacturing","$5,000","$0","$5,000","2015","20150928","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Iowa","CORYDON","2185 HIGHWAY 2","50060","335912","335912: Primary Battery Manufacturing","USA","Pennsylvania","privately held","","miscellaneous energy products and systems","batteries","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"EAST PENN MANUFACTURING CO","East Penn Manufacturing","$12,960","$0","$12,960","2015","20151231","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Hawaii","WAIPAHU","94-1388 MOANIANI ST #224","96797","335911","335911: Storage Battery Manufacturing","USA","Pennsylvania","privately held","","miscellaneous energy products and systems","batteries","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
