"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Eastman Kodak Company","Eastman Kodak","$5,000","$0","$5,000","2003","20031029","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","New York","publicly traded","KODK","electrical and electronic equipment","imaging products","Taken from the Federal Railroad Administration's FY2004 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"EASTMAN KODAK CO. KODAK COLORADO DIV.","Eastman Kodak","$5,000","$0","$5,000","2008","20080310","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Colorado","WINDSOR","9952 EASTMAN PARK DRIVE","80551","339999","339999: All Other Miscellaneous Manufacturing","USA","New York","publicly traded","KODK","electrical and electronic equipment","imaging products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Eastman Kodak","Eastman Kodak","$53,000,000","$0","$53,000,000","2014","20140312","environment-related offenses","environmental violation","","Eastman Kodak agreed to pay at least $53 million for environmental cleanup at the Eastman Business Park in Rochester and the Genesee River.","federal","agency action","U.S. Attorney-Southern District of New York","civil","","","","","","New York","","","","","","USA","New York","publicly traded","KODK","electrical and electronic equipment","imaging products","https://www.justice.gov/usao-sdny/pr/manhattan-us-attorney-and-epa-announce-agreement-eastman-kodak-company-clean-rochester",""
"Eastman Kodak","Eastman Kodak","$21,376,500","$0","$21,376,500","2010","20101001","employment-related offenses","employment discrimination","","Racial discrimination. ","federal","private litigation","","civil","","Western District of New York","6:04-cv-06098","Davis v. Eastman Kodak","settlement","","","","","","","USA","New York","publicly traded","KODK","electrical and electronic equipment","imaging products","https://www.clearinghouse.net/detail.php?id=11540&search=source%7Cgeneral%3BcaseName%7Cdavis%20v.%20eastman%3Borderby%7CfilingYear%3B",""
"Eastman Kodak","Eastman Kodak","$9,700,000","$0","$9,700,000","2016","20161004","employment-related offenses","benefit plan administrator violation","pension ERISA violation","","federal","private litigation","","civil","","Western District of New York","6:12-cv-6051","In re: Eastman Kodak ERISA Litigation","settlement","","","","","","","USA","New York","publicly traded","KODK","electrical and electronic equipment","imaging products","https://www.plansponsor.com/kodak-settles-stock-drop-suit-for-nearly-10m/",""
"Eastman Kodak Co.","Eastman Kodak","$5,400","$0","$5,400","2001","20010518","environment-related offenses","environmental violation","","air quality violation","state","agency action","Colorado Department of Public Health & Environment","civil","","","","","","Colorado","","","","","","USA","New York","publicly traded","KODK","electrical and electronic equipment","imaging products","Contained in data received from the agency on October 20, 2020 in response to an open records request.",""
"EASTMAN KODAK COMPANY","Eastman Kodak","$24,000","$0","$24,000","2018","20180508","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","ROCHESTER","200 RIDGE ROAD WEST","14652","325992","325992: Photographic Film, Paper, Plate, and Chemical Manufacturing","USA","New York","publicly traded","KODK","electrical and electronic equipment","imaging products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"EASTMAN KODAK COMPANY","Eastman Kodak","$51,491","$0","$51,491","2000","20000427","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","02-2000-4202","","","New York","ROCHESTER","1669 LAKE AVE.","14652-3615","325992","325992: Photographic Film, Paper, Plate, and Chemical Manufacturing","USA","New York","publicly traded","KODK","electrical and electronic equipment","imaging products","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"EASTMAN KODAK COMPANY","Eastman Kodak","$175,000","$0","$175,000","2001","20010629","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","02-2000-7109","","","New York","ROCHESTER","1669 LAKE AVE","14652","325992","325992: Photographic Film, Paper, Plate, and Chemical Manufacturing","USA","New York","publicly traded","KODK","electrical and electronic equipment","imaging products","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"Eastman Koday Company","Eastman Kodak","$20,625","$0","$20,625","2005","20050613","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","02-2005-9228","","","","","","","","","USA","New York","publicly traded","KODK","electrical and electronic equipment","imaging products","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"Nexpress Solutions, Inc.","Eastman Kodak","$53,000","$0","$53,000","2006","20060717","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","02-2006-9227","","","New York","ROCHESTER","2600 MANITOU RD","14624","","","USA","New York","publicly traded","KODK","electrical and electronic equipment","imaging products","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"Eastman Kodak Company","Eastman Kodak","$63,792","$0","$63,792","2009","20090916","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","02-2009-1212","","","","","","","","","USA","New York","publicly traded","KODK","electrical and electronic equipment","imaging products","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"Eastman Kodak Company","Eastman Kodak","$179,775","$0","$179,775","2011","20111109","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","02-2011-1209","","","New York","ROCHESTER","1999 LAKE AVE","14652","325992","325992: Photographic Film, Paper, Plate, and Chemical Manufacturing","USA","New York","publicly traded","KODK","electrical and electronic equipment","imaging products","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"Eastman Kodak Company","Eastman Kodak","$59,290","$0","$59,290","2017","20170925","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","02-2017-4202","","","","","","","","","USA","New York","publicly traded","KODK","electrical and electronic equipment","imaging products","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"EASTMAN KODAK COMPANY","Eastman Kodak","$10,100","$0","$10,100","2016","20160929","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","04-2016-4020","","","","","","","","","USA","New York","publicly traded","KODK","electrical and electronic equipment","imaging products","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"EASTMAN KODAK COMPANY","Eastman Kodak","$5,000","$0","$5,000","2000","20001220","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","HQ-2001-3075","","","","","","","","","USA","New York","publicly traded","KODK","electrical and electronic equipment","imaging products","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"Eastman Kodak Company","Eastman Kodak","$41,748","$0","$41,748","2011","20111019","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","HQ-2011-5004","","","","","","","","","USA","New York","publicly traded","KODK","electrical and electronic equipment","imaging products","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
