"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"AREVA NP, Inc.","EDF-Electricite de France","$10,000","$0","$10,000","2007","20070409","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","10-CA-36701-001","","","Tennessee","Erwin","","37650","325920","325920: Explosives Manufacturing","France","","publicly traded","","utilities and power generation","utilities","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Framatome ANP Richland, Inc.","EDF-Electricite de France","$15,000","$0","$15,000","2002","20020828","safety-related offenses","nuclear safety violation","","On August 28, 2002, a Notice of Violation and Proposed Imposition of Civil Penalty in the amount of $15,000 was issued for a Severity Level III problem involving multiple failures related to a loss of criticality safety control event.","federal","agency action","Nuclear Regulatory Commission","civil","","","","","","Washington","","","","","","France","","publicly traded","","utilities and power generation","utilities","https://www.nrc.gov/reading-rm/doc-collections/enforcement/actions/materials/ea02099.html",""
"ENXCO DEVELOPMENT CORPORATION","EDF-Electricite de France","$8,775","$0","$8,775","2010","20100415","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Colorado","GROVER","59550 COUNTY ROAD 105","80729","221119","221119: Other Electric Power Generation","France","","publicly traded","","utilities and power generation","utilities","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"EDF Trading North America","EDF-Electricite de France","$30,000","$0","$30,000","2013","20131104","consumer-protection-related offenses","utility service violation","regulated market violation","","state","agency action","Texas Public Utility Commission","civil","","","41897","","","Texas","","","","","","France","","publicly traded","","utilities and power generation","utilities","https://www.puc.texas.gov/agency/resources/reports/Default.aspx",""
"EDF Trading","EDF-Electricite de France","$57,000","$0","$57,000","2014","20141114","consumer-protection-related offenses","utility service violation","regulated market violation","","state","agency action","Texas Public Utility Commission","civil","","","43576","","","Texas","","","","","","France","","publicly traded","","utilities and power generation","utilities","https://www.puc.texas.gov/agency/resources/reports/Default.aspx",""
"EDF Trading","EDF-Electricite de France","$50,000","$0","$50,000","2015","20150310","consumer-protection-related offenses","utility service violation","regulated market violation","","state","agency action","Texas Public Utility Commission","civil","","","44338","","","Texas","","","","","","France","","publicly traded","","utilities and power generation","utilities","https://www.puc.texas.gov/agency/resources/reports/Default.aspx",""
"EDF Energy Trading","EDF-Electricite de France","$100,000","$0","$100,000","2017","20170519","consumer-protection-related offenses","utility service violation","regulated market violation","The company set prices in a manner that violated the protocol of the commission.","state","agency action","Texas Public Utility Commission","civil","","","47094","","","Texas","","","","","","France","","publicly traded","","utilities and power generation","utilities","https://www.puc.texas.gov/agency/resources/reports/Default.aspx",""
"EDF Energy Services, LLC","EDF-Electricite de France","$190,000","$0","$190,000","2017","20170929","consumer-protection-related offenses","utility service violation","reliability of service violation","Violations related to the reliability and continuity of service","state","agency action","Texas Public Utility Commission","civil","","","47526","","","Texas","","","","","","France","","publicly traded","","utilities and power generation","utilities","https://www.puc.texas.gov/agency/resources/reports/Default.aspx",""
"EDF","EDF-Electricite de France","$475,000","$0","$475,000","2020","20200214","consumer-protection-related offenses","utility service violation","reliability of service violation","Violations relating to the reliability and continuity of service.","state","agency action","Texas Public Utility Commission","civil","","","50304","","","Texas","","","","","","France","","publicly traded","","utilities and power generation","utilities","https://www.puc.texas.gov/agency/resources/reports/Default.aspx",""
"EDF Industrial Power Services","EDF-Electricite de France","$92,974","$0","$92,974","2021","20210101","miscellaneous offenses","utility administrative violation","","","state","agency action","California Public Utilities Commission","civil","","","","","","California","","","","","","France","","publicly traded","","utilities and power generation","utilities","https://www.cpuc.ca.gov/regulatory-services/enforcement-and-citations/utility-enforcement-branch","The source provides only the year, so the date is listed here as January 1."
"AREVA INC","EDF-Electricite de France","$18,108","$0","$18,108","2016","20161021","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","BRACEVILLE","35100 ILLINOIS 53","60407","541330","541330: Engineering Services","France","","publicly traded","","utilities and power generation","utilities","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
