"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"ENERGIZER PERSONAL CARE","Edgewell Personal Care","$30,000","$0","$30,000","2011","20111018","safety-related offenses","aviation safety violation","","hazardous materials shipping","federal","agency action","Federal Aviation Administration","civil","","","2010GL700240","","","","","","","","","USA","Missouri","publicly traded","EPC","household and personal care products","household and personal care products","from a spreadsheet posted on the FAA website at https://www.faa.gov/about/office_org/headquarters_offices/ash/ash_programs/hazmat/compliance_enforcement/",""
"Energizer Personal Care LLC","Edgewell Personal Care","$22,500","$0","$22,500","2015","20150513","environment-related offenses","environmental violation","","pesticide violation","state","agency action","California Department of Pesticide Regulation","civil","","","","","","California","","","","","","USA","Missouri","publicly traded","EPC","household and personal care products","household and personal care products","https://www.cdpr.ca.gov/docs/mill/actions/fines.htm",""
"Playtex Products, Inc.","Edgewell Personal Care","$11,500","$0","$11,500","2009","20090519","environment-related offenses","environmental violation","","","state","agency action","Delaware Department of Natural Resources and Environmental Control","civil","","","","","","Delaware","Dover","","","","","USA","Missouri","publicly traded","EPC","household and personal care products","household and personal care products","http://www.dnrec.delaware.gov/Info/Documents/Playtex%20_Order_2009-A-0017.pdf",""
"PLAYTEX MANUFACTURING, INC.","Edgewell Personal Care","$10,500","$0","$10,500","2015","20150727","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","SIDNEY","1905 PROGRESS WAY","45365","322291","322291: Sanitary Paper Product Manufacturing","USA","Missouri","publicly traded","EPC","household and personal care products","household and personal care products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SCHICK MANUFACTURING, INC. DIVISION OF EDGEWELL PERSONAL CARE","Edgewell Personal Care","$9,500","$0","$9,500","2016","20160217","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Connecticut","MILFORD","10 LEIGHTON ROAD","06460","332212","332212: Hand and Edge Tool Manufacturing","USA","Missouri","publicly traded","EPC","household and personal care products","household and personal care products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"EDGEWELL PERSONAL CARE, LLC.","Edgewell Personal Care","$41,828","$0","$41,828","2017","20170206","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","ORMOND BEACH","1190 US HWY 1 NORTH","32174","325620","325620: Toilet Preparation Manufacturing","USA","Missouri","publicly traded","EPC","household and personal care products","household and personal care products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"EDGEWELL PERSONAL CARE, LLC","Edgewell Personal Care","$7,800","$0","$7,800","2018","20181012","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Connecticut","MILFORD","10 LEIGHTON ROAD","06460","332212","332212: Hand and Edge Tool Manufacturing","USA","Missouri","publicly traded","EPC","household and personal care products","household and personal care products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"EDGEWELL PERSONAL CARE, LLC","Edgewell Personal Care","$9,557","$0","$9,557","2020","20200813","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Connecticut","MILFORD","10 LEIGHTON ROAD","06460","332215","332215: Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing","USA","Missouri","publicly traded","EPC","household and personal care products","household and personal care products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"PLAYTEX MANUFACTURING, INC.","Edgewell Personal Care","$13,653","$0","$13,653","2020","20201215","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","SIDNEY","1810 PROGRESS WAY","45365","322291","322291: Sanitary Paper Product Manufacturing","USA","Missouri","publicly traded","EPC","household and personal care products","household and personal care products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"EDGEWELL PERSONAL CARE, LLC","Edgewell Personal Care","$6,827","$0","$6,827","2021","20210203","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Connecticut","MILFORD","10 LEIGHTON ROAD","06460","424990","424990: Other Miscellaneous Nondurable Goods Merchant Wholesalers","USA","Missouri","publicly traded","EPC","household and personal care products","household and personal care products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
