"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Elementis Chromium Inc.","Elementis","$11,625","$0","$11,625","2003","20030520","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","United Kingdom","","publicly traded","","chemicals","chemicals","Taken from the Federal Railroad Administration's FY2003 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Elementis Chromium Inc.","Elementis","$5,760","$0","$5,760","2013","20131210","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","United Kingdom","","publicly traded","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L16190#p1_z5_gD_lEA",""
"Elementis Chromium, Inc.","Elementis","$2,571,800","$0","$2,571,800","2013","20131114","environment-related offenses","environmental violation","","In an administrative decision issued earlier this week, Elementis Chromium, Inc., one of the largest manufacturers of chromium chemicals in the world, was ordered to pay a penalty of $2,571,800 for failing to disclose information about substantial risk of injury to human health from exposure to hexavalent chromium, a known carcinogen, on workers in modern chemical production plants, as required by the Toxic Substances Control Act (TSCA).","federal","agency action","Environmental Protection Agency","civil","","","","","","","","","","","","United Kingdom","","publicly traded","","chemicals","chemicals","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/4b8eb302194a1d5e85257c23006e747c.html",""
"Elementis Specialities Inc.","Elementis","$9,647","$0","$9,647","2009","20090626","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1549338","","","New Jersey","Hightstown","","08520","3255","3255: Paint, Coating, and Adhesive Manufacturing","United Kingdom","","publicly traded","","chemicals","chemicals","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Elementis Chromium LP","Elementis","$20,625","$0","$20,625","2006","20060220","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","United Kingdom","","publicly traded","","chemicals","chemicals","https://www.tceq.texas.gov/assets/public/compliance/enforcement/enf_reports/AER/historical/Annual-Enforcement-Report-FY2006.pdf",""
"ELEMENTIS SPECIALTIES, INC.","Elementis","$76,000","$0","$76,000","2017","20170321","environment-related offenses","environmental violation","","air pollution violation","state","agency action","West Virginia Department of Environmental Protection","civil","","","","","","West Virginia","","","","","","United Kingdom","","publicly traded","","chemicals","chemicals","https://documents.dep.wv.gov/AppXtender",""
"ELEMENTIS SPECIALTIES, INC.","Elementis","$76,000","$0","$76,000","2014","20141210","environment-related offenses","environmental violation","","air pollution violation","state","agency action","West Virginia Department of Environmental Protection","civil","","","","","","West Virginia","","","","","","United Kingdom","","publicly traded","","chemicals","chemicals","https://documents.dep.wv.gov/AppXtender",""
"Elementis Chromium Inc.","Elementis","$5,000","$0","$5,000","2019","20191107","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","ZELEM 2019-001(HMT)","","","","","","","","","United Kingdom","","publicly traded","","chemicals","chemicals","https://railroads.dot.gov/elibrary/fiscal-year-2020-enforcement-report",""
"ELEMENTIS CHROMIUM INC.","Elementis","$5,250","$0","$5,250","2014","20140708","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","North Carolina","CASTLE HAYNE","5408 HOLLY SHELTER RD","28429","325188","325188: All Other Basic Inorganic Chemical Manufacturing","United Kingdom","","publicly traded","","chemicals","chemicals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ELEMENTIS SPECIALTIES","Elementis","$15,725","$0","$15,725","2012","20120314","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Missouri","SAINT LOUIS","5548 MANCHESTER AVENUE","63110","325131","325131: Inorganic Dye and Pigment Manufacturing","United Kingdom","","publicly traded","","chemicals","chemicals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Elementis Chromium, LP","Elementis","$2,571,800","$2,571,800","$0","2013","20131112","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","HQ-2010-5022","","","New Jersey","HIGHTSTOWN","329 WYCKOFFS MILL ROAD","08520","","","United Kingdom","","publicly traded","","chemicals","chemicals","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads","Note: This penalty is a duplicate of an amount shown in another record (either because it applies to a multi-location settlement or because Violation Tracker contains an agency record and a settlement announcement for the same case)."
