"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"EMBRAER AIRCRAFT MAINTENANCE SERVICES INC","Embraer","$45,000","$0","$45,000","2008","20081001","safety-related offenses","aviation safety violation","","HAZ MAT ","federal","agency action","Federal Aviation Administration","civil","","","2008WP700007 ","","","","","","","","","Brazil","","publicly traded","NYSE: ERJ","aerospace and military contracting","aerospace & military contracting","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"EMBRAER AIRCRAFT MAINTENANCE SERVICES INC","Embraer","$44,000","$0","$44,000","2007","20070503","safety-related offenses","aviation safety violation","","MAINTENANCE ","federal","agency action","Federal Aviation Administration","civil","","","2007SO030007 ","","","","","","","","","Brazil","","publicly traded","NYSE: ERJ","aerospace and military contracting","aerospace & military contracting","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"EMBRAER AIRCRAFT MAINTENANCE SERVICES INC","Embraer","$8,750","$0","$8,750","2009","20091119","safety-related offenses","aviation safety violation","","MAINTENANCE ","federal","agency action","Federal Aviation Administration","civil","","","2008CE190023 ","","","","","","","","","Brazil","","publicly traded","NYSE: ERJ","aerospace and military contracting","aerospace & military contracting","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"Embraer S.A.","Embraer","$107,285,090","$0","$107,285,090","2016","20161024","competition-related offenses","Foreign Corrupt Practices Act","","Brazilian aircraft manufacturer Embraer S.A. entered into an agreement to resolve criminal charges and agreed to pay a penalty of more than $107 million in connection with schemes involving the bribery of government officials in the Dominican Republic, Saudi Arabia and Mozambique, and to pay millions more in falsely recorded payments in India via a sham agency agreement.","federal","agency action","Justice Department Criminal Division","criminal","deferred prosecution agreement","","","","","","","","","","","Brazil","","publicly traded","NYSE: ERJ","aerospace and military contracting","aerospace & military contracting","https://www.justice.gov/opa/pr/embraer-agrees-pay-more-107-million-resolve-foreign-corrupt-practices-act-charges",""
"Embraer S.A.","Embraer","$98,000,000","$0","$98,000,000","2016","20161024","competition-related offenses","Foreign Corrupt Practices Act","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","Brazil","","publicly traded","NYSE: ERJ","aerospace and military contracting","aerospace & military contracting","https://www.sec.gov/news/pressrelease/2016-224.html",""
"EMBRAER AIRCRAFT MAINTENANCE SERVICES INC","Embraer","$19,200","$0","$19,200","2003","20030520","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Tennessee","NASHVILLE","10 AIRWAYS BOULEVARD","37217","488190","488190: Other Support Activities for Air Transportation","Brazil","","publicly traded","NYSE: ERJ","aerospace and military contracting","aerospace & military contracting","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"EMBRAER AVIATION INTERNATIONAL","Embraer","$35,000","$0","$35,000","2013","20130619","safety-related offenses","aviation safety violation","","hazardous materials shipping","federal","agency action","Federal Aviation Administration","civil","","","2012WP700047","","","","","","","","","Brazil","","publicly traded","NYSE: ERJ","aerospace and military contracting","aerospace & military contracting","from a spreadsheet posted on the FAA website at https://www.faa.gov/about/office_org/headquarters_offices/ash/ash_programs/hazmat/compliance_enforcement/",""
"EMBRAER AIRCRAFT CUSTOMER SE","Embraer","$120,000","$0","$120,000","2016","20160824","safety-related offenses","aviation safety violation","","hazardous materials shipping","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","Brazil","","publicly traded","NYSE: ERJ","aerospace and military contracting","aerospace & military contracting","Contained in data obtained on May 23, 2018 in response to a Freedom of Information Act request. ",""
"EMBRAER AVIATION INTERNATION","Embraer","$75,000","$0","$75,000","2016","20161024","safety-related offenses","aviation safety violation","","hazardous materials shipping","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","Brazil","","publicly traded","NYSE: ERJ","aerospace and military contracting","aerospace & military contracting","Contained in data obtained on May 23, 2018 in response to a Freedom of Information Act request. ",""
"EMBRAER AIRCRAFT MAINTENANCE SERVICES, LLC","Embraer","$10,080","$0","$10,080","2021","20210525","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Tennessee","LA VERGNE","295 TECH PARK DRSUITE 300","37086","488190","488190: Other Support Activities for Air Transportation","Brazil","","publicly traded","NYSE: ERJ","aerospace and military contracting","aerospace & military contracting","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
