"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Tampa Electric Company","Emera","$16,500,000","$0","$16,500,000","2000","20000229","environment-related offenses","environmental violation","","To settle a Clean Air Act case Tempa Electric agreed to spend $3 million on emission controlks, pay a $3.5 million civil penalty and spend at least $10 million on environmental projects.","federal","agency action","Justice Department Environment and Natural Resources Division","civil","","","","","","","","","","","","Canada","","publicly traded","","utilities and power generation","power generation","https://www.justice.gov/archive/opa/pr/2000/February/085enrd.htm",""
"Tampa Electric Company","Emera","$269,518","$0","$269,518","2006","20060921","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","12-CA-22304-001","","","Florida","Tampa","","33602","221122","221122: Electric Power Distribution","Canada","","publicly traded","","utilities and power generation","power generation","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"TAMPA ELECTRIC COMPANY","Emera","$5,000","$0","$5,000","2003","20031103","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","TAMPA","820 S. 78TH STREET","33619","221122","221122: Electric Power Distribution","Canada","","publicly traded","","utilities and power generation","power generation","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TAMPA ELECTRIC COMPANY","Emera","$7,000","$0","$7,000","2000","20001102","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","TAMPA","11TH AVENUE","33601","000000","","Canada","","publicly traded","","utilities and power generation","power generation","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Tampa Electric Company, a wholly owned subsidiary of TECO Energy, Inc., d/b/a TECO People Gas","Emera","$28,458","$0","$28,458","2017","20170626","employment-related offenses","labor relations violation","","","federal","agency action","National Labor Relations Board","civil","","","12-CA-144359","","","Florida","Sarasota","","","","","Canada","","publicly traded","","utilities and power generation","power generation","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/28/2020.",""
"TAMPA ELECTRIC","Emera","$9,000","$0","$9,000","2020","20201215","environment-related offenses","environmental violation","","wastewater violation","state","agency action","Florida Department of Environmental Protection","civil","","","","","","Florida","","","","","","Canada","","publicly traded","","utilities and power generation","power generation","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.944042.1",""
"TAMPA ELECTRIC COMPANY","Emera","$5,000","$0","$5,000","2019","20190607","environment-related offenses","environmental violation","","industrial waste violation","state","agency action","Florida Department of Environmental Protection","civil","","","190343","","","Florida","","","","","","Canada","","publicly traded","","utilities and power generation","power generation","Contained in a spreadsheet received from the agency on October 2, 2020 in response to an open records request. The spreadsheet included data from  the agency's Oculus database, which can be searched at https://prodenv.dep.state.fl.us/DepNexus/public/searchPortal","Case number is the designation given by the DEP's Office of General Counsel."
"TAMPA ELECTRIC COMPANY","Emera","$13,000","$0","$13,000","2015","20150306","environment-related offenses","environmental violation","","dredge and fill violation","state","agency action","Florida Department of Environmental Protection","civil","","","140565","","","Florida","","","","","","Canada","","publicly traded","","utilities and power generation","power generation","Contained in a spreadsheet received from the agency on October 2, 2020 in response to an open records request. The spreadsheet included data from  the agency's Oculus database, which can be searched at https://prodenv.dep.state.fl.us/DepNexus/public/searchPortal","Case number is the designation given by the DEP's Office of General Counsel."
"TAMPA ELECTRIC COMPANY","Emera","$9,464","$0","$9,464","2011","20110421","environment-related offenses","environmental violation","","hazardous waste violation","state","agency action","Florida Department of Environmental Protection","civil","","","110542","","","Florida","","","","","","Canada","","publicly traded","","utilities and power generation","power generation","Contained in a spreadsheet received from the agency on October 2, 2020 in response to an open records request. The spreadsheet included data from  the agency's Oculus database, which can be searched at https://prodenv.dep.state.fl.us/DepNexus/public/searchPortal","Case number is the designation given by the DEP's Office of General Counsel."
"TAMPA ELECTRIC COMPANY","Emera","$88,000","$0","$88,000","2010","20100416","environment-related offenses","environmental violation","","industrial waste violation","state","agency action","Florida Department of Environmental Protection","civil","","","982888","","","Florida","","","","","","Canada","","publicly traded","","utilities and power generation","power generation","Contained in a spreadsheet received from the agency on October 2, 2020 in response to an open records request. The spreadsheet included data from  the agency's Oculus database, which can be searched at https://prodenv.dep.state.fl.us/DepNexus/public/searchPortal","Case number is the designation given by the DEP's Office of General Counsel."
"TAMPA ELECTRIC COMPANY","Emera","$5,000","$0","$5,000","2009","20090611","environment-related offenses","environmental violation","","industrial waste violation","state","agency action","Florida Department of Environmental Protection","civil","","","90175","","","Florida","","","","","","Canada","","publicly traded","","utilities and power generation","power generation","Contained in a spreadsheet received from the agency on October 2, 2020 in response to an open records request. The spreadsheet included data from  the agency's Oculus database, which can be searched at https://prodenv.dep.state.fl.us/DepNexus/public/searchPortal","Case number is the designation given by the DEP's Office of General Counsel."
"TAMPA ELECTRIC COMPANY","Emera","$5,000","$0","$5,000","2008","20080725","environment-related offenses","environmental violation","","industrial waste violation","state","agency action","Florida Department of Environmental Protection","civil","","","81629","","","Florida","","","","","","Canada","","publicly traded","","utilities and power generation","power generation","Contained in a spreadsheet received from the agency on October 2, 2020 in response to an open records request. The spreadsheet included data from  the agency's Oculus database, which can be searched at https://prodenv.dep.state.fl.us/DepNexus/public/searchPortal","Case number is the designation given by the DEP's Office of General Counsel."
"TAMPA ELECTRIC COMPANY","Emera","$5,000","$0","$5,000","2007","20071012","environment-related offenses","environmental violation","","industrial waste violation","state","agency action","Florida Department of Environmental Protection","civil","","","71683","","","Florida","","","","","","Canada","","publicly traded","","utilities and power generation","power generation","Contained in a spreadsheet received from the agency on October 2, 2020 in response to an open records request. The spreadsheet included data from  the agency's Oculus database, which can be searched at https://prodenv.dep.state.fl.us/DepNexus/public/searchPortal","Case number is the designation given by the DEP's Office of General Counsel."
"TAMPA ELECTRIC COMPANY","Emera","$10,000","$0","$10,000","2007","20070417","environment-related offenses","environmental violation","","industrial waste violation","state","agency action","Florida Department of Environmental Protection","civil","","","70097","","","Florida","","","","","","Canada","","publicly traded","","utilities and power generation","power generation","Contained in a spreadsheet received from the agency on October 2, 2020 in response to an open records request. The spreadsheet included data from  the agency's Oculus database, which can be searched at https://prodenv.dep.state.fl.us/DepNexus/public/searchPortal","Case number is the designation given by the DEP's Office of General Counsel."
"TAMPA ELECTRIC COMPANY","Emera","$8,000","$0","$8,000","2003","20030305","environment-related offenses","environmental violation","","air quality violation","state","agency action","Florida Department of Environmental Protection","civil","","","30276","","","Florida","","","","","","Canada","","publicly traded","","utilities and power generation","power generation","Contained in a spreadsheet received from the agency on October 2, 2020 in response to an open records request. The spreadsheet included data from  the agency's Oculus database, which can be searched at https://prodenv.dep.state.fl.us/DepNexus/public/searchPortal","Case number is the designation given by the DEP's Office of General Counsel."
"TAMPA ELECTRIC COMPANY","Emera","$8,599","$0","$8,599","2003","20030226","environment-related offenses","environmental violation","","industrial waste violation","state","agency action","Florida Department of Environmental Protection","civil","","","30209","","","Florida","","","","","","Canada","","publicly traded","","utilities and power generation","power generation","Contained in a spreadsheet received from the agency on October 2, 2020 in response to an open records request. The spreadsheet included data from  the agency's Oculus database, which can be searched at https://prodenv.dep.state.fl.us/DepNexus/public/searchPortal","Case number is the designation given by the DEP's Office of General Counsel."
"TAMPA ELECTRIC COMPANY","Emera","$10,000","$0","$10,000","2003","20030219","environment-related offenses","environmental violation","","industrial waste violation","state","agency action","Florida Department of Environmental Protection","civil","","","30002","","","Florida","","","","","","Canada","","publicly traded","","utilities and power generation","power generation","Contained in a spreadsheet received from the agency on October 2, 2020 in response to an open records request. The spreadsheet included data from  the agency's Oculus database, which can be searched at https://prodenv.dep.state.fl.us/DepNexus/public/searchPortal","Case number is the designation given by the DEP's Office of General Counsel."
"TAMPA ELECTRIC COMPANY","Emera","$15,998","$0","$15,998","2002","20020419","environment-related offenses","environmental violation","","industrial waste violation","state","agency action","Florida Department of Environmental Protection","civil","","","20415","","","Florida","","","","","","Canada","","publicly traded","","utilities and power generation","power generation","Contained in a spreadsheet received from the agency on October 2, 2020 in response to an open records request. The spreadsheet included data from  the agency's Oculus database, which can be searched at https://prodenv.dep.state.fl.us/DepNexus/public/searchPortal","Case number is the designation given by the DEP's Office of General Counsel."
"TAMPA ELECTRIC COMPANY","Emera","$330,600","$0","$330,600","2001","20011023","environment-related offenses","environmental violation","","solid waste violation","state","agency action","Florida Department of Environmental Protection","civil","","","10122","","","Florida","","","","","","Canada","","publicly traded","","utilities and power generation","power generation","Contained in a spreadsheet received from the agency on October 2, 2020 in response to an open records request. The spreadsheet included data from  the agency's Oculus database, which can be searched at https://prodenv.dep.state.fl.us/DepNexus/public/searchPortal","Case number is the designation given by the DEP's Office of General Counsel."
"TAMPA ELECTRIC COMPANY","Emera","$104,000","$0","$104,000","2001","20010807","environment-related offenses","environmental violation","","solid waste violation","state","agency action","Florida Department of Environmental Protection","civil","","","1275","","","Florida","","","","","","Canada","","publicly traded","","utilities and power generation","power generation","Contained in a spreadsheet received from the agency on October 2, 2020 in response to an open records request. The spreadsheet included data from  the agency's Oculus database, which can be searched at https://prodenv.dep.state.fl.us/DepNexus/public/searchPortal","Case number is the designation given by the DEP's Office of General Counsel."
"TAMPA ELECTRIC COMPANY","Emera","$43,998","$0","$43,998","2000","20000711","environment-related offenses","environmental violation","","industrial waste violation","state","agency action","Florida Department of Environmental Protection","civil","","","991720","","","Florida","","","","","","Canada","","publicly traded","","utilities and power generation","power generation","Contained in a spreadsheet received from the agency on October 2, 2020 in response to an open records request. The spreadsheet included data from  the agency's Oculus database, which can be searched at https://prodenv.dep.state.fl.us/DepNexus/public/searchPortal","Case number is the designation given by the DEP's Office of General Counsel."
"TAMPA ELECTRIC COMPANY","Emera","$40,000","$0","$40,000","2000","20000621","environment-related offenses","environmental violation","","industrial waste violation","state","agency action","Florida Department of Environmental Protection","civil","","","992220","","","Florida","","","","","","Canada","","publicly traded","","utilities and power generation","power generation","Contained in a spreadsheet received from the agency on October 2, 2020 in response to an open records request. The spreadsheet included data from  the agency's Oculus database, which can be searched at https://prodenv.dep.state.fl.us/DepNexus/public/searchPortal","Case number is the designation given by the DEP's Office of General Counsel."
"Peoples Gas Systems","Emera","$3,000,000","$0","$3,000,000","2016","20160519","safety-related offenses","utility safety violation","gas pipeline safety violation","Knowing noncompliance with gas safety standards ","state","agency action","Florida Public Service Commission","civil","","","PSC-16-0205-AS-GU","","","Florida","","","","","","Canada","","publicly traded","","utilities and power generation","power generation","http://www.floridapsc.com/library/Orders/2016/03075-2016.pdf#search=apparent%20violations",""
"MAINE PUBLIC SERICE COMPANY","Emera","$15,000","$0","$15,000","2010","20101012","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Maine","PRESQUE ISLE","10 PARKHURST SIDING ROAD","04769","221122","221122: Electric Power Distribution","Canada","","publicly traded","","utilities and power generation","power generation","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
