"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"ALGONQUIN GAS TRANSMISSION CO (SPECTRA ENERGY CORP)","Enbridge","$85,700","$0","$85,700","2010","20100810","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","Canada","","publicly traded","ENB","pipelines","pipelines","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_120101004.html?nocache=6299",""
"ALGONQUIN GAS TRANSMISSION CO (SPECTRA ENERGY CORP)","Enbridge","$69,000","$0","$69,000","2010","20100121","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","Canada","","publicly traded","ENB","pipelines","pipelines","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_120101001.html?nocache=4638",""
"ALGONQUIN GAS TRANSMISSION L.L.C. (SPECTRA ENERGY PARTNERS)","Enbridge","$26,200","$0","$26,200","2016","20160112","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","Canada","","publicly traded","ENB","pipelines","pipelines","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_120161002.html?nocache=4323",""
"CCPS TRANSPORTATION LLC","Enbridge","$5,500","$0","$5,500","2006","20060103","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","Canada","","publicly traded","ENB","pipelines","pipelines","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_320045014.html?nocache=3654",""
"Dauphin Island Gathering Partners","Enbridge","$25,000","$0","$25,000","2008","20080805","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","Canada","","publicly traded","ENB","pipelines","pipelines","https://www.bsee.gov/site-page/2008-civil-penalties",""
"DUFOUR PETROLEUM, LP","Enbridge","$18,010","$0","$18,010","2010","20101019","safety-related offenses","motor vehicle safety violation","","","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Mississippi","PETAL","","","","","Canada","","publicly traded","ENB","pipelines","pipelines","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2011-pdf",""
"Enbridge","Enbridge","$7,500","$0","$7,500","2014","20140204","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Canada","","publicly traded","ENB","pipelines","pipelines","https://www.fra.dot.gov/eLib/details/L16190#p1_z5_gD_lEA",""
"Enbridge","Enbridge","$5,000","$0","$5,000","2014","20140107","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Canada","","publicly traded","ENB","pipelines","pipelines","https://www.fra.dot.gov/eLib/details/L16190#p1_z5_gD_lEA",""
"Enbridge Energy Limited Partnership","Enbridge","$177,400,000","$0","$177,400,000","2016","20160720","environment-related offenses","environmental violation","","The Department of Justice and the U.S. Environmental Protection Agency announced a settlement with Enbridge Energy Limited Partnership and several related Enbridge companies to resolve claims stemming from its 2010 oil spills in Marshall, Michigan, and Romeoville, Illinois.  Enbridge agreed to spend at least $110 million on a series of measures to prevent spills and improve operations across nearly 2,000 miles of its pipeline system in the Great Lakes region.  Enbridge also agreed to pay civil penalties totaling $62 million for Clean Water Act violations. In addition, the settlement resolved Enbridge's liability under the Oil Pollution Act, based on the company's commitment to pay over $5.4 million in unreimbursed costs incurred by the government in connection with cleanup of the Marshall spill, as well as all future removal costs incurred by the government in connection with that spill.","federal","agency action","Environmental Protection Agency","civil","","","","","","","","","","","","Canada","","publicly traded","ENB","pipelines","pipelines","https://www.justice.gov/opa/pr/united-states-enbridge-reach-177-million-settlement-after-2010-oil-spills-michigan-and",""
"ENBRIDGE ENERGY LIMITED PARTNERSHIP","Enbridge","$3,699,200","$0","$3,699,200","2012","20120705","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","Canada","","publicly traded","ENB","pipelines","pipelines","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_320125013.html?nocache=9360",""
