"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"ENABLE GAS TRANSMISSION LLC","Energy Transfer","$177,500","$0","$177,500","2008","20080211","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Texas","publicly traded","ET","pipelines","pipelines","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_420051008.html?nocache=4089",""
"ENABLE GAS TRANSMISSION LLC","Energy Transfer","$131,600","$0","$131,600","2013","20130617","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Texas","publicly traded","ET","pipelines","pipelines","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_420131010.html?nocache=1454",""
"ENABLE GAS TRANSMISSION LLC","Energy Transfer","$118,200","$0","$118,200","2013","20131105","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Texas","publicly traded","ET","pipelines","pipelines","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_420131018.html?nocache=4208",""
"ENABLE GAS TRANSMISSION LLC","Energy Transfer","$34,000","$0","$34,000","2003","20030808","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Texas","publicly traded","ET","pipelines","pipelines","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_220031006.html?nocache=8336",""
"ENABLE GAS TRANSMISSION LLC","Energy Transfer","$18,800","$0","$18,800","2009","20091106","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Texas","publicly traded","ET","pipelines","pipelines","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_420091001.html?nocache=1091",""
"ENERGY TRANSFER COMPANY","Energy Transfer","$24,400","$0","$24,400","2016","20161207","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","420165009","","","","","","","","","USA","Texas","publicly traded","ET","pipelines","pipelines","https://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_420165009.html?nocache=884",""
"Energy Transfer Partners, L.P.","Energy Transfer","$30,000,000","$0","$30,000,000","2009","20090921","competition-related offenses","energy market manipulation","","ETP agreed to pay $30 million to settle allegations that it manipulated physical wholesale natural gas prices at Houston Ship Channel on specific dates from 2003 through 2005. ","federal","agency action","Federal Energy Regulatory Commission","civil","","","","","","","","","","","","USA","Texas","publicly traded","ET","pipelines","pipelines","https://web.archive.org/web/20150908112527/http://www.ferc.gov/media/news-releases/2009/2009-3/09-21-09.asp",""
"Energy Transfer Partners, L.P.","Energy Transfer","$10,000,000","$0","$10,000,000","2008","20080317","competition-related offenses","energy market manipulation","securities issuance or trading violation","The U.S. Commodity Futures Trading Commission announced that it obtained a $10 million civil monetary penalty in a consent order settling charges against Energy Transfer Partners, L.P., of Dallas, Texas, and three ETP subsidiaries: Energy Transfer Company, of San Antonio and Houston; Houston Pipeline Company, of Houston; and ETC Marketing, Ltd., located in San Antonio and Houston. The defendants were charged with attempting to manipulate natural gas prices at the Houston Ship Channel delivery hub.","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","USA","Texas","publicly traded","ET","pipelines","pipelines","http://www.cftc.gov/PressRoom/PressReleases/pr5471-08",""
"Epsilon Products Co.","Energy Transfer","$16,250","$0","$16,250","2006","20060503","safety-related offenses","nuclear safety violation","","On May 3, 2006, a Notice of Violation and Proposed Imposition of Civil Penalty in the amount of $16,250 was issued for a Severity Level III problem composed of six violations of NRC requirements involving the licensee's failure to conduct operations such that the dose in an unrestriced area from external sources, exceeded regulatory limits. The most significant of these violations involved the radiation exposure of five employees and contractors, who were not radiation workers (and therefore considered members of the public), who received radiation doses in excess of the regulatory limit of 100 millirem in a year, i.e., they received estimated doses ranging from 103 millirem to 197 millirem.","federal","agency action","Nuclear Regulatory Commission","civil","","","","","","Pennsylvania","","","","","","USA","Texas","publicly traded","ET","pipelines","pipelines","https://www.nrc.gov/docs/ML0612/ML061230053.pdf",""
"EXPLORER PIPELINE CO","Energy Transfer","$42,750","$0","$42,750","2007","20070109","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Texas","publicly traded","ET","pipelines","pipelines","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_320045010.html?nocache=8663",""
