"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"GDF SUEZ Energy Marketing NA, Inc.","Engie","$81,800,000","$0","$81,800,000","2017","20170201","competition-related offenses","energy market violation","","The Consent Agreement resolved an investigation into whether the company violated the Commission's Anti-Manipulation Rule by improperly targeting and increasing its receipt of lost opportunity cost credits in the PJM Interconnection, L.L.C. market.","federal","agency action","Federal Energy Regulatory Commission","civil","","","","","","","","","","","","France","","publicly traded","","utilities and power generation","utilities","https://www.ferc.gov/enforcement/civil-penalties/actions/2017/20170201.pdf",""
"GDF Suez Energy Marketing NA, Inc.","Engie","$8,730","$0","$8,730","2012","20120723","financial offenses","tax violations","","failure to pay out-of-state business registration fee","state","agency action","Connecticut Attorney General","civil","","","","","","Connecticut","","","","","","France","","publicly traded","","utilities and power generation","utilities","https://portal.ct.gov/AG/Press-Releases-Archived/2012-Press-Releases/Merrill--Jepsen-Collect-13-Million-in-Penalties-from-Companies-Transacting-Business-in-Connecticut-w",""
"Engie Services, Inc.","Engie","$125,000","$0","$125,000","2021","20210625","employment-related offenses","employment discrimination","","sex and race harassment","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Alabama","Birmingham","","","","","France","","publicly traded","","utilities and power generation","utilities","https://www.eeoc.gov/newsroom/engie-services-pay-125000-settle-eeoc-same-sex-and-race-harassment-lawsuit",""
"Suez Energy Marketing NA, Inc.","Engie","$73,375","$0","$73,375","2008","20081029","consumer-protection-related offenses","utility service violation","regulated market violation","AEP Texas North Company and AEP Texas Centra Company","state","agency action","Texas Public Utility Commission","civil","","","35650","","","Texas","","","","","","France","","publicly traded","","utilities and power generation","utilities","https://interchange.puc.texas.gov/Documents/35650_5_601093.PDF",""
"GDF Suez Energy Marketing NA, Inc.","Engie","$20,000","$0","$20,000","2012","20120427","consumer-protection-related offenses","utility service violation","regulated market violation","","state","agency action","Texas Public Utility Commission","civil","","","40320","","","Texas","","","","","","France","","publicly traded","","utilities and power generation","utilities","http://interchange.puc.texas.gov/Documents/40320_5_726591.PDF",""
"GDF Suez","Engie","$28,000","$0","$28,000","2014","20141023","consumer-protection-related offenses","utility service violation","regulated market violation","","state","agency action","Texas Public Utility Commission","civil","","","43162","","","Texas","","","","","","France","","publicly traded","","utilities and power generation","utilities","https://www.puc.texas.gov/agency/resources/reports/Default.aspx",""
"GDF Suez Energy Marketing NA,","Engie","$30,000","$0","$30,000","2016","20161101","consumer-protection-related offenses","utility service violation","regulated market violation","","state","agency action","Texas Public Utility Commission","civil","","","46360","","","Texas","","","","","","France","","publicly traded","","utilities and power generation","utilities","https://www.puc.texas.gov/agency/resources/reports/Default.aspx",""
"GDF Suez Energy Marketing N.A., Inc. GPSPS","Engie","$1,115,000","$0","$1,115,000","2017","20170126","consumer-protection-related offenses","utility service violation","reliability of service violation","Failure to adhere to Electric Reliability Council of Texas (ERCOT) Protocols related to non-spinning reserve service (NSRS) energy deployment criteria.","state","agency action","Texas Public Utility Commission","civil","","","46360","","","Texas","","","","","","France","","publicly traded","","utilities and power generation","utilities","https://www.puc.texas.gov/agency/resources/reports/Default.aspx",""
"Engie Retail","Engie","$40,000","$0","$40,000","2017","20171026","consumer-protection-related offenses","consumer protection violation","","","state","agency action","Texas Public Utility Commission","civil","","","47656","","","Texas","","","","","","France","","publicly traded","","utilities and power generation","utilities","https://www.puc.texas.gov/agency/resources/reports/Default.aspx",""
"GDF SUEZ NORTH AMERICA","Engie","$8,000","$0","$8,000","2016","20160204","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","POOLVILLE","800 BOONS CREEK LANE","76487","221112","221112: Fossil Fuel Electric Power Generation","France","","publicly traded","","utilities and power generation","utilities","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ENGIE NORTH AMERICA INC.","Engie","$11,500","$0","$11,500","2021","20210323","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Iowa","IOWA CITY","CORNER OF WEST BURLINGTON ST. & FRONT ST.","52242","221112","221112: Fossil Fuel Electric Power Generation","France","","publicly traded","","utilities and power generation","utilities","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ENGIE NORTH AMERICA INC.","Engie","$16,000","$0","$16,000","2021","20210331","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Iowa","IOWA CITY","200 HAWKINS DRIVE","52242","221112","221112: Fossil Fuel Electric Power Generation","France","","publicly traded","","utilities and power generation","utilities","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
