"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Enron Clean Fuels Company","Enron","$7,500","$0","$7,500","2005","20050421","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Texas","out of business","","utilities and power generation","power systems","Taken from the Federal Railroad Administration's FY2005 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Enron Clean Fuels Company","Enron","$7,000","$0","$7,000","2000","20000919","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Texas","out of business","","utilities and power generation","power systems","Taken from the Federal Railroad Administration's FY2000 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"ENRON LIQUID FUELS CO (EX. UPC INC)","Enron","$40,000","$0","$40,000","2003","20030404","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Texas","out of business","","utilities and power generation","power systems","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_319965025.html?nocache=3881",""
"Enron","Enron","$11,000,000","$0","$11,000,000","2003","20030723","competition-related offenses","energy market violation","","","federal","agency action","Federal Energy Regulatory Commission","civil","","","","","","","","","","","","USA","Texas","out of business","","utilities and power generation","power systems","https://web.archive.org/web/20150417055709/http://ferc.gov/media/news-releases/2003/2003-3/07-23-03-settlements1.pdf",""
"Enron Corp.","Enron","$35,000,000","$0","$35,000,000","2004","20040719","competition-related offenses","energy market manipulation","","The U.S. Commodity Futures Trading Commission announced a consent order of permanent injunction prohibiting violations of the Commodity Exchange Act and granting other relief against Enron Corp., including a $35 million civil penalty. The consent order resolved all charges brought by the CFTC against Enron.","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","USA","Texas","out of business","","utilities and power generation","power systems","http://www.cftc.gov/opa/enf04/opa4959-04.htm",""
"ENRON CORP.","Enron","$10,001","$0","$10,001","2008","20080208","employment-related offenses","benefit plan administrator violation","","Deficient Filer","federal","agency action","Employee Benefits Security Administration","civil","","","","","","Texas","","","","","","USA","Texas","out of business","","utilities and power generation","power systems","Included in a dataset downloaded at https://enforcedata.dol.gov/views/data_summary.php","Company is plan administrator. Penalty amount reported in range of $10,001 to $50,000. "
"ENRON CORP.","Enron","$10,001","$0","$10,001","2006","20060728","employment-related offenses","benefit plan administrator violation","","Deficient Filer","federal","agency action","Employee Benefits Security Administration","civil","","","","","","Texas","","","","","","USA","Texas","out of business","","utilities and power generation","power systems","Included in a dataset downloaded at https://enforcedata.dol.gov/views/data_summary.php","Company is plan administrator. Penalty amount reported in range of $10,001 to $50,000. "
"Enron Power Marketing Inc.","Enron","$400,000,000","$0","$400,000,000","2006","20060628","competition-related offenses","energy market manipulation","","","federal","agency action","Federal Energy Regulatory Commission","civil","","","","","","","","","","","","USA","Texas","out of business","","utilities and power generation","power systems","https://web.archive.org/web/20150318072356/http://ferc.gov/media/news-releases/2006/2006-2/06-28-06.asp",""
"Enron","Enron","$1,520,000,000","$0","$1,520,000,000","2005","20050715","competition-related offenses","energy market manipulation","","The attorneys general of California, Washington and Oregon announced a $1.52 billion settlement with Enron to resolve allegations of market manipulation and price gouging during the energy crisis of 2000-01.","state","agency action","Multistate Attorneys General Case","civil","","","","","","","","","","","","USA","Texas","out of business","","utilities and power generation","power systems","https://www.oag.ca.gov/news/press-releases/attorney-general-lockyer-announces-energy-crisis-settlement-enron-valued-152",""
"Enron Corp.","Enron","$111,200,000","$0","$111,200,000","2005","20050201","financial offenses","accounting fraud or deficiencies","","The Connecticut Resources Recovery Authority received a $111.2 million bankruptcy settlement, stemming from a deal the CRRA's former management made with Enron that was alleged to be an illegal loan camouflaged as an energy deal.","state","agency action","Connecticut Attorney General","civil","","","","","","Connecticut","","","","","","USA","Texas","out of business","","utilities and power generation","power systems","https://web.archive.org/web/20061219062942/http://www.ct.gov/ag/cwp/view.asp?A=1949&Q=290062",""
"Enron Corp.","Enron","$8,300,000","$0","$8,300,000","2005","20051207","financial offenses","tax violations","","","state","agency action","Texas Attorney General","civil","","","","","","Texas","","","","","","USA","Texas","out of business","","utilities and power generation","power systems","Attorney General Abbott Collects $8.3 Million in Back Taxes from Enron Companies, US States News, December 7, 2005 (via Nexis).",""
"Enron Corporation","Enron","$100,000","$0","$100,000","2003","20030717","miscellaneous offenses","campaign finance violation","","","state","agency action","New Jersey Attorney General","civil","","","","","","New Jersey","","","","","","USA","Texas","out of business","","utilities and power generation","power systems","https://web.archive.org/web/20050210050757/http://www.nj.gov/oag/newsreleases03/pr20030717b.html",""
"ENRON METHANOL COMPANY PASADENA PLANT","Enron","$20,325","$0","$20,325","2001","20010525","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","USA","Texas","out of business","","utilities and power generation","power systems","https://www.tceq.texas.gov/assets/public/compliance/enforcement/enf_reports/AER/historical/Annual-Enforcement-Report-FY2003.pdf",""
"Enron Power Marketing, Inc.","Enron","$6,500,000","$0","$6,500,000","2003","20030529","consumer-protection-related offenses","consumer protection violation","","The Staff alleges that EPMI violated the Protocols and compromised public policy and frustrated the regulatory scheme by engaging in anti-competitive behavior in the emerging ERCOT market.","state","agency action","Texas Public Utility Commission","civil","","","25968","","","Texas","","","","","","USA","Texas","out of business","","utilities and power generation","power systems","https://interchange.puc.texas.gov/search/filings/?ControlNumber=25968&UtilityType=A&ItemMatch=Equal&DocumentType=ALL&DateFiledFrom=01%2F01%2F2000%2000%3A00%3A00&DateFiledTo=12%2F31%2F2011%2000%3A00%3A00",""
