"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"ENSIGN UNITED STATES DRILLING (CALIFORNIA), INC.","Ensign Energy Services","$13,000","$0","$13,000","2013","20130423","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","LOST HILLS","EXXON-HILL LEASE-84BR ENSIGN RIG 504","93268","213111","213111: Drilling Oil and Gas Wells","Canada","","publicly traded","","oilfield services and supplies","oilfield services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ENSIGN U. S. DRILLING (CALIF.) INC.","Ensign Energy Services","$8,150","$0","$8,150","2013","20130109","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","MCKITTRICK","PXP WELL #513-10, SEC 9 29S 21E DELFERN RD.","93251","213111","213111: Drilling Oil and Gas Wells","Canada","","publicly traded","","oilfield services and supplies","oilfield services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ENSIGN UNITED STATES DRILLING, INC.","Ensign Energy Services","$5,000","$0","$5,000","2008","20081031","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Colorado","GILL","BUCKCHERRY USX AA 3-024","80624","213111","213111: Drilling Oil and Gas Wells","Canada","","publicly traded","","oilfield services and supplies","oilfield services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ENSIGN UNITED STATES DRILLING, RIG # 286","Ensign Energy Services","$5,000","$0","$5,000","2008","20080208","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Oklahoma","EUFAULA","DOVER 1-27H; SEC 27, 09N, 15E, IM","74432","213111","213111: Drilling Oil and Gas Wells","Canada","","publicly traded","","oilfield services and supplies","oilfield services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ENSIGN UNITED STATES DRILLING (CALIFORNIA), INC.","Ensign Energy Services","$5,000","$0","$5,000","2006","20061005","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","CORNING","1710 COPAY RD (GEORGE REED UNIT 13)","96021","213111","213111: Drilling Oil and Gas Wells","Canada","","publicly traded","","oilfield services and supplies","oilfield services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ENSIGN UNITED STATES DRILLING, INC.","Ensign Energy Services","$5,400","$0","$5,400","2008","20080517","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","MCKITTRICK","422' NLY ALONG W. SECT LINE 616' ELY","93251","211111","211111: Crude Petroleum and Natural Gas Extraction","Canada","","publicly traded","","oilfield services and supplies","oilfield services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ENSIGN UNITED STATES DRILLING CALIFORNIA INC.","Ensign Energy Services","$5,935","$0","$5,935","2007","20070313","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","LONG BEACH","THUMS ISLAND (WELL #C520RDI","90801","213111","213111: Drilling Oil and Gas Wells","Canada","","publicly traded","","oilfield services and supplies","oilfield services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ENSIGN WELL SERVICES INC.","Ensign Energy Services","$5,000","$0","$5,000","2008","20080724","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","ORLAND","I-5 & COUNTY ROAD 7","95963","213111","213111: Drilling Oil and Gas Wells","Canada","","publicly traded","","oilfield services and supplies","oilfield services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Ensign United States Drilling, Inc.","Ensign Energy Services","$1,800,000","$0","$1,800,000","2016","20161205","employment-related offenses","wage and hour violation","","","federal","private litigation","","civil","","District of Colorado","1:15-cv-2525","Demrow v. Ensign United States Drilling, Inc.","settlement","","","","","","","Canada","","publicly traded","","oilfield services and supplies","oilfield services","https://www.law360.com/articles/861949/drilling-co-reaches-1-8m-settlement-with-workers",""
"Ensign United States Drilling (California) Inc.","Ensign Energy Services","$19,125","$0","$19,125","2011","20110301","environment-related offenses","environmental violation","","air pollution violation","state","agency action","California Air Resources Board","civil","","","","","","California","","","","","","Canada","","publicly traded","","oilfield services and supplies","oilfield services","https://ww2.arb.ca.gov/ensign-united-states-drilling-inc-settlement",""
"ENSIGN UNITED STATES DRILLING INC","Ensign Energy Services","$6,375","$0","$6,375","2012","20120227","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wyoming","SHOSHONI","MARLIN # 29-21 WDW RIG 134","82649","211111","211111: Crude Petroleum and Natural Gas Extraction","Canada","","publicly traded","","oilfield services and supplies","oilfield services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ENSIGN UNITED STATES DRILLING INC.","Ensign Energy Services","$7,000","$0","$7,000","2010","20101020","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Colorado","GREELEY","RIG 14-306 RICKARDS WELL # 41-10H","80631","213111","213111: Drilling Oil and Gas Wells","Canada","","publicly traded","","oilfield services and supplies","oilfield services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ENSIGN US SOUTHERN DRILLING LLC","Ensign Energy Services","$7,700","$0","$7,700","2011","20111216","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","NIXON","HWY 108","78140","213111","213111: Drilling Oil and Gas Wells","Canada","","publicly traded","","oilfield services and supplies","oilfield services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ENSIGN UNITED STATES SOUTHERN, LLC","Ensign Energy Services","$13,600","$0","$13,600","2011","20111115","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","LUMBERTON","LAT: N 30.24599  LONG: W 94.15454","77657","213111","213111: Drilling Oil and Gas Wells","Canada","","publicly traded","","oilfield services and supplies","oilfield services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ENSIGN ENERGY USD, INC.","Ensign Energy Services","$5,500","$0","$5,500","2011","20111027","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","North Dakota","WATFORD CITY","SEC NW6, TWN 149N, RNG 93W","58854","211111","211111: Crude Petroleum and Natural Gas Extraction","Canada","","publicly traded","","oilfield services and supplies","oilfield services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ENSIGN DRILLING USD","Ensign Energy Services","$8,000","$0","$8,000","2013","20130403","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","North Dakota","BATTLEVIEW","L HOIBY 159-94-198-30-2H","58773","213111","213111: Drilling Oil and Gas Wells","Canada","","publicly traded","","oilfield services and supplies","oilfield services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ENSIGN UNITED STATES SOUTHERN, LLC","Ensign Energy Services","$7,480","$0","$7,480","2013","20130307","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","BRISCOE","HUNTER HEFLEY 34-7HRIG 733-BRISCOE","79011","211111","211111: Crude Petroleum and Natural Gas Extraction","Canada","","publicly traded","","oilfield services and supplies","oilfield services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ENSIGN UNITED STATES DRILLING, INC.","Ensign Energy Services","$5,302","$0","$5,302","2013","20130411","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Colorado","BRIGGSDALE","PRONGHORN TP4-HNB","80611","211111","211111: Crude Petroleum and Natural Gas Extraction","Canada","","publicly traded","","oilfield services and supplies","oilfield services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ENSIGN US DRILLING (SW) INC.","Ensign Energy Services","$6,800","$0","$6,800","2014","20140225","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","PECOS","WOLFBONE (TREND AREA) FIELD, REEVES TXL FEE T8-51-11 LEASE, WELL #1,ENSIGN US SOUTHERN DRILLING RIG #759, 19.08 MILES SE OF PECOS","79772","213111","213111: Drilling Oil and Gas Wells","Canada","","publicly traded","","oilfield services and supplies","oilfield services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
