"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Entergy","Entergy","$12,669","$0","$12,669","2012","20120312","employment-related offenses","employment discrimination","","gender","federal","agency action","Office of Federal Contract Compliance Programs","civil","","","","","","","","","","","","USA","Louisiana","publicly traded","ETR","utilities and power generation","utilities","https://www.dol.gov/ofccp/foia/files/Entergy_Waterford_Redacted.pdf",""
"Entergy New Orleans, Inc","Entergy","$400,000","$0","$400,000","2008","20080311","competition-related offenses","energy market violation","","","federal","agency action","Federal Energy Regulatory Commission","civil","","","","","","","","","","","","USA","Louisiana","publicly traded","ETR","utilities and power generation","utilities","https://www.ferc.gov/enforcement/civil-penalties/actions/civil-penalty-action-2008.asp",""
"Entergy Nuclear Operations, Inc.","Entergy","$650,000","$0","$650,000","2008","20080124","safety-related offenses","nuclear safety violation","","On January 24, 2008, a Notice of Violation and Proposed Imposition of Civil Penalty in the amount of $650,000 was issued to Entergy Nuclear Operations, Inc. This action was based on a continuing SL III violation of the NRC's January 31, 2006, Confirmatory Order to implement Section 651(b) of the Energy Policy Act (Act) of 2005. The Order required Entergy to install backup power for the Indian Point Alert and Notification System (ANS) by January 31, 2007. The NRC subsequently extended, at the licensee's request, the implementation date to April 15, 2007. On April 23, 2007, the staff issued a Notice of Violation and Proposed Imposition of Civil Penalty in the amount of $130,000 when Entergy failed to meet the April 15, 2007, implementation date. On July 30, 2007, the NRC issued an Order to supplement the requirements of the January 31, 2006, Confirmatory Order, based on Entergy's proposed corrective actions for noncompliance with the Confirmatory Order. On August 30, 2007, the staff issued a subsequent Notice of Violation for Entergy's failure to place the new ANS in service by August 24, 2007, as required by the July 30, 2007, Order. As of April 16, 2007, the licensee remains in violation of the Orders.","federal","agency action","Nuclear Regulatory Commission","civil","","","","","","New York","","","","","","USA","Louisiana","publicly traded","ETR","utilities and power generation","utilities","https://www.nrc.gov/docs/ML0802/ML080240005.pdf",""
"Entergy Nuclear Operations, Inc.","Entergy","$130,000","$0","$130,000","2007","20070423","safety-related offenses","nuclear safety violation","","On April 23, 2007, a Severity Level III Notice of Violation and Proposed Imposition of Civil Penalty in the amount of $130,000 was issued to Entergy Nuclear Operations, Inc. for failure to meet the requirements of a Confirmatory Order (EA-05-190) issued on January 31, 2006. The Order required that the licensee provide and maintain a backup power supply for the Indian Point Emergency Notification System (ENS). Specifically, the ""radio only activation"" feature, the portion of the ENS for which the backup power capability was provided, was required to meet its test acceptance criteria by April 15, 2007. The licensee did not meet its test acceptance criteria, resulting in the ENS not being fully operable by April 15, 2007.","federal","agency action","Nuclear Regulatory Commission","civil","","","","","","New York","","","","","","USA","Louisiana","publicly traded","ETR","utilities and power generation","utilities","https://www.nrc.gov/docs/ML0711/ML071140022.pdf",""
"Entergy Nuclear Operations, Inc.","Entergy","$70,000","$0","$70,000","2015","20151124","safety-related offenses","nuclear safety violation","","The NRC issued a Notice of Violation, characterized as Severity Level III, to Entergy Nuclear Operations, Inc. for a violation of 10 CFR Part 50.9, ""Completeness and accuracy of information.""","federal","agency action","Nuclear Regulatory Commission","civil","","","","","","","","","","","","USA","Louisiana","publicly traded","ETR","utilities and power generation","utilities","http://www.nrc.gov/docs/ML1532/ML15328A534.pdf",""
"Entergy Nuclear Operations, Inc.","Entergy","$70,000","$0","$70,000","2014","20141203","safety-related offenses","nuclear safety violation","","On December 3, 2014, the NRC issued a Confirmatory Order (CO) to Entergy Nuclear Operations, Inc. (Entergy), to formalize commitments made as a result of an alternative dispute mediation session held on September 22, 2014. Entergy agreed that a Notice of Violation (NOV) and a civil penalty of $70,000 will be included in the CO. The specific commitments that were made as part of the settlement agreement between Entergy and the NRC regarding the apparent violation of NRC security requirements are discussed in the non-public enclosures to the CO. The violation involved the willful actions of an unidentified security officer which occurred at Entergy's River Bend Station on March 18, 2012. The NRC and Entergy agree that the actions of an unidentified security officer constitute a willful violation of 10 CFR Part 73 requirements. However, the NRC and Entergy disagree on the specific aspects of the willful characterization of the violation. In light of the significant corrective actions Entergy has already taken and the additional actions they have committed to take to enhance their security program at River Bend and across the Entergy Nuclear Fleet, the NRC is exercising enforcement discretion to reduce the severity level of the escalated enforcement sanction that was initially proposed in our preliminary determination. The NRC's rationale behind its decision to exercise enforcement discretion in characterizing the violation is incorporated in an attachment to the CO. The attachment to the CO and the NOV will not be made publicly available because it contains security-related information.","federal","agency action","Nuclear Regulatory Commission","civil","","","","","","","","","","","","USA","Louisiana","publicly traded","ETR","utilities and power generation","utilities","http://www.nrc.gov/about-nrc/regulatory/enforcement/current/reactor-actions/2014.html",""
"Entergy Nuclear Operations, Inc.","Entergy","$60,000","$0","$60,000","2005","20050714","safety-related offenses","nuclear safety violation","","On July 14, 2005, a Notice of Violation and Proposed Imposition of Civil Penalty in the base amount of $60,000 for a Severity Level III problem consisting of three violations was issued. The violations involved the failure of the Control Room Supervisor (CRS), the Reactor Operator (RO), and the Shift Manager (SM) to follow the requirements in 10 CFR 26.20 and procedures in Technical Specification 5.4.1. The violations cited: (1) the CRS being asleep, and therefore, not in a condition to respond to plant conditions or emergencies (Violation A); (2) the RO observing the CRS asleep, but failing to take immediate actions to awaken the CRS, inform appropriate site personnel, and initiate a CR (Violation B.1) and the SM failing to inform appropriate site personnel and initiate a CR (Violation B.2); and (3) the CRS not being relieved of duty and for-cause FFD tested (Violation C).","federal","agency action","Nuclear Regulatory Commission","civil","","","","","","Massachusetts","","","","","","USA","Louisiana","publicly traded","ETR","utilities and power generation","utilities","https://www.nrc.gov/docs/ML0519/ML051960068.pdf",""
"Entergy Operations, Inc. (River Bend Station)","Entergy","$140,000","$0","$140,000","2012","20120105","safety-related offenses","nuclear safety violation","","On January 5, 2012, the NRC issued a Notice of Violation and Proposed Civil Penalty in the amount of $140,000 to Entergy Operations, Inc. (Entergy) for a Severity Level III violation as a result of an investigation at the River Bend Station. An investigation conducted by the NRC Office of Investigations determined that on multiple occasions multiple reactor operators willfully failed to follow an Entergy procedure that prohibited internet access in the At-the-Controls area of the control room, except as specifically authorized by the Operations Manager. These reactor operators put Entergy in violation of the River Bend Station Technical Specifications.","federal","agency action","Nuclear Regulatory Commission","civil","","","","","","","","","","","","USA","Louisiana","publicly traded","ETR","utilities and power generation","utilities","https://www.nrc.gov/docs/ML1200/ML12006A086.pdf",""
"Entergy Services, Inc.","Entergy","$3,000,000","$0","$3,000,000","2007","20070118","competition-related offenses","energy market violation","","","federal","agency action","Federal Energy Regulatory Commission","civil","","","","","","","","","","","","USA","Louisiana","publicly traded","ETR","utilities and power generation","utilities","https://www.ferc.gov/enforcement/civil-penalties/actions/civil-penalty-action-2007.asp",""
"Entergy Services, Inc.","Entergy","$975,000","$0","$975,000","2013","20130328","competition-related offenses","energy market violation","","","federal","agency action","Federal Energy Regulatory Commission","civil","","","","","","","","","","","","USA","Louisiana","publicly traded","ETR","utilities and power generation","utilities","https://www.ferc.gov/enforcement/civil-penalties/actions/2013.asp",""
