"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Alamo Rent-A-Car","Enterprise Holdings","$29,256","$0","$29,256","2009","20091029","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","20-CA-29022-001","","","California","Burlingame","","94010","532111","532111: Passenger Car Rental","USA","Missouri","privately held","","miscellaneous services","car rentals","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Alamo Rent-A-Car, Inc.","Enterprise Holdings","$14,517","$0","$14,517","2009","20091027","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","12-CA-18121-001","","","Florida","Orlando","","32812","532111","532111: Passenger Car Rental","USA","Missouri","privately held","","miscellaneous services","car rentals","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Alamo Rental Car","Enterprise Holdings","$18,990","$0","$18,990","2001","20010402","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","28-CA-16397-001","","","Arizona","Phoenix","","85034","532111","532111: Passenger Car Rental","USA","Missouri","privately held","","miscellaneous services","car rentals","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Alamo Rental Car","Enterprise Holdings","$5,000","$0","$5,000","2000","20000405","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","28-CA-15659-001","","","Nevada","Las Vegas","","89119","485999","485999: All Other Transit and Ground Passenger Transportation","USA","Missouri","privately held","","miscellaneous services","car rentals","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Enterprise Rent-A-Car Company of Los Angeles, LLC","Enterprise Holdings","$425,000","$0","$425,000","2015","20150714","employment-related offenses","employment discrimination","","age","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","California","","","","","","USA","Missouri","privately held","","miscellaneous services","car rentals","https://www.eeoc.gov/eeoc/newsroom/release/7-14-15.cfm","Description field shows type of discrimination that EEOC had alleged."
"Enterprise Rent-A-Car","Enterprise Holdings","$7,750,000","$0","$7,750,000","2013","20130828","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","Western District of Pennsylvania","09-mc-0210","Hickton et al v. Enterprise Rent-A-Car Company, Inc et al","settlement","","","","","","","USA","Missouri","privately held","","miscellaneous services","car rentals","https://www.law360.com/articles/432922/enterprise-branches-reach-8m-settlement-in-ot-pay-mdl",""
"Enterprise Rent-A-Car","Enterprise Holdings","$1,125,000","$0","$1,125,000","2012","20120716","employment-related offenses","wage and hour violation","","overtime violation","state","private litigation","","civil","","Superior Court of State of California, County of Los Angeles","BC456875","Whitney Edwwards v. Enterprise Holdings Inc. et al.","settlement","California","","","","","","USA","Missouri","privately held","","miscellaneous services","car rentals","https://www.law360.com/articles/379997/enterprise-pays-1m-to-end-wage-dispute-with-managers","The settlement also covered a related federal case: Gomez v. Enterprise Rent-A-Car Company of Los Angeles, LLC (Southern District of California, 10-cv-2373)."
"Enterprise Leasing","Enterprise Holdings","$2,325,000","$0","$2,325,000","2002","20020820","employment-related offenses","employment discrimination","","Racial discrimination. The settlement total includes $550,000 in legal fees.","federal","private litigation","","civil","","Eastern District of Missouri","4:00-cv-1693","Snow, et al v. Enterprise Leasing, et al","settlement","","","","","","","USA","Missouri","privately held","","miscellaneous services","car rentals","https://www.clearinghouse.net/detail.php?id=11414&search=source%7Cgeneral%3BcaseName%7Csnow%20v.%20enterprise%3Borderby%7CfilingYear%3B",""
"Enterprise Rent-A-Car Company","Enterprise Holdings","$2,200,000","$0","$2,200,000","2003","20030721","consumer-protection-related offenses","consumer protection violation","","Enterprise agreed to pay $2.2 million, including  $2 million in restitution, to settle allegations it deceived tens of thousands of customers into purchasing unnecessary liability insurance.","state","agency action","New York Attorney General","civil","","","","","","New York","","","","","","USA","Missouri","privately held","","miscellaneous services","car rentals","https://web.archive.org/web/20101119024814/http://www.ag.ny.gov/media_center/2003/jul/jul21b_03.html",""
"Enterprise Rent-A-Car Company of Texas, Inc.","Enterprise Holdings","$160,000","$0","$160,000","2003","20030407","employment-related offenses","employment discrimination","","age","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Texas","","","","","","USA","Missouri","privately held","","miscellaneous services","car rentals","https://web.archive.org/web/20090813021150/http://eeoc.gov/litigation/settlements/settlement04-03.html",""
"Enterprise Holdings, Inc.","Enterprise Holdings","$560,000","$0","$560,000","2014","20141101","environment-related offenses","environmental violation","","air pollution violation","state","agency action","California Air Resources Board","civil","","","","","","California","","","","","","USA","Missouri","privately held","","miscellaneous services","car rentals","https://ww2.arb.ca.gov/enterprise-holdings-inc-settlement",""
"ALAMO RENT-A-CAR LLC","Enterprise Holdings","$11,700","$0","$11,700","2001","20011025","environment-related offenses","environmental violation","","industrial waste violation","state","agency action","Florida Department of Environmental Protection","civil","","","11595","","","Florida","","","","","","USA","Missouri","privately held","","miscellaneous services","car rentals","Contained in a spreadsheet received from the agency on October 2, 2020 in response to an open records request. The spreadsheet included data from  the agency's Oculus database, which can be searched at https://prodenv.dep.state.fl.us/DepNexus/public/searchPortal","Case number is the designation given by the DEP's Office of General Counsel."
"Enterprise Rentacar","Enterprise Holdings","$17,520","$0","$17,520","2006","20060405","environment-related offenses","environmental violation","","air pollution","local","agency action","South Coast (CA) Air Quality Management District ","civil","","","","","","California","","","","","","USA","Missouri","privately held","","miscellaneous services","car rentals","http://www3.aqmd.gov/hb/2006/September/060921a.html",""
"ENTERPRISE RENT-A-CAR","Enterprise Holdings","$5,700","$0","$5,700","2011","20110209","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","COLUMBUS","4701 WEST BROAD ST","43228","532111","532111: Passenger Car Rental","USA","Missouri","privately held","","miscellaneous services","car rentals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ENTERPRISE HOLDINGS","Enterprise Holdings","$5,400","$0","$5,400","2011","20111003","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","INGLEWOOD","9020 AVIATION BLVD.","90301","532111","532111: Passenger Car Rental","USA","Missouri","privately held","","miscellaneous services","car rentals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ENTERPRISE RENT-A-CAR","Enterprise Holdings","$26,988","$0","$26,988","2020","20200729","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alaska","JUNEAU","1873 SHELL SIMMONS DR STE 104","99801","532111","532111: Passenger Car Rental","USA","Missouri","privately held","","miscellaneous services","car rentals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
