"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"EOG Resources, Inc.","EOG Resources","$29,200","$0","$29,200","2012","20120221","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Texas","publicly traded","EOG","oil and gas","oil & gas","https://www.fra.dot.gov/eLib/details/L04190#p1_z5_gD_lEA",""
"EOG Resources, Inc.","EOG Resources","$12,750","$0","$12,750","2014","20140515","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Texas","publicly traded","EOG","oil and gas","oil & gas","https://www.fra.dot.gov/eLib/details/L16190#p1_z5_gD_lEA",""
"EOG Resources, Inc.","EOG Resources","$7,300","$0","$7,300","2014","20140318","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Texas","publicly traded","EOG","oil and gas","oil & gas","https://www.fra.dot.gov/eLib/details/L16190#p1_z5_gD_lEA",""
"EOG Resources, Inc.","EOG Resources","$5,000","$0","$5,000","2013","20130219","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Texas","publicly traded","EOG","oil and gas","oil & gas","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"EOG Resources, Inc.","EOG Resources","$5,000","$0","$5,000","2013","20130219","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Texas","publicly traded","EOG","oil and gas","oil & gas","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"EOG RESOURCES INC","EOG Resources","$99,999","$0","$99,999","2019","20190905","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Texas","publicly traded","EOG","oil and gas","oil & gas","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"EOG RESOURCES INC","EOG Resources","$31,363","$0","$31,363","2012","20120412","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Texas","publicly traded","EOG","oil and gas","oil & gas","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"EOG RESOURCES INC","EOG Resources","$13,270","$0","$13,270","2011","20111108","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Texas","publicly traded","EOG","oil and gas","oil & gas","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"EOG RESOURCES INC","EOG Resources","$21,335","$0","$21,335","2011","20110726","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Texas","publicly traded","EOG","oil and gas","oil & gas","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"EOG RESOURCES INC","EOG Resources","$22,300","$0","$22,300","2011","20110208","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Texas","publicly traded","EOG","oil and gas","oil & gas","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"EOG RESOURCES INC","EOG Resources","$73,776","$0","$73,776","2010","20101215","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Texas","publicly traded","EOG","oil and gas","oil & gas","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"EOG RESOURCES INC","EOG Resources","$40,000","$0","$40,000","2010","20100909","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Texas","publicly traded","EOG","oil and gas","oil & gas","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"EOG RESOURCES INC","EOG Resources","$353,419","$0","$353,419","2010","20100604","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Texas","publicly traded","EOG","oil and gas","oil & gas","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"EOG RESOURCES INC","EOG Resources","$30,000","$0","$30,000","2009","20090904","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Texas","publicly traded","EOG","oil and gas","oil & gas","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"EOG RESOURCES INC","EOG Resources","$8,413","$0","$8,413","2002","20020105","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Texas","publicly traded","EOG","oil and gas","oil & gas","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"EOG Resources, Inc.","EOG Resources","$5,200","$0","$5,200","2016","20161207","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","ZEOR 2016-1(HMT)","","","","","","","","","USA","Texas","publicly traded","EOG","oil and gas","oil & gas","https://www.fra.dot.gov/Elib/Document/17839",""
"EOG Resources Inc.","EOG Resources","$163,695","$0","$163,695","2020","20201008","environment-related offenses","environmental violation","","","state","agency action","Colorado Oil & Gas Conservation Commission","civil","","","","","","Colorado","","","","","","USA","Texas","publicly traded","EOG","oil and gas","oil & gas","https://cogcc.state.co.us/documents/reg/Enforcement/2020_4Q_HB1356_Report.pdf",""
"EOG Resources, Inc.","EOG Resources","$7,000","$0","$7,000","2014","20140519","environment-related offenses","environmental violation","","","state","agency action","Louisiana Department of Environmental Quality","civil","","","","","","Louisiana","","","","","","USA","Texas","publicly traded","EOG","oil and gas","oil & gas","https://deq.louisiana.gov/assets/docs/General/Settlement_Agreements/2014/EOG_Final.pdf",""
"EOG Resources, Inc.","EOG Resources","$11,603","$0","$11,603","2016","20160308","environment-related offenses","environmental violation","","oil & gas violation","state","agency action","Railroad Commission of Texas","civil","","","","","","Texas","","","","","","USA","Texas","publicly traded","EOG","oil and gas","oil & gas","https://rrc.texas.gov/media/32730/signed-order-3816.pdf",""
"EOG Resources, Inc.","EOG Resources","$15,000","$0","$15,000","2019","20190605","environment-related offenses","environmental violation","","Air","state","agency action","Wyoming Department of Environmental Quality","civil","","","","","","Wyoming","","","","","","USA","Texas","publicly traded","EOG","oil and gas","oil & gas","https://drive.google.com/file/d/1lPVZlN6_S747HTA0WOvrP21bf-EO9d16/view","Penalty includes a $10,000 supplemental environmental project"
"EOG RESOURCES INC","EOG Resources","$11,475","$0","$11,475","2014","20140625","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wyoming","WRIGHT","NORTH BUCK DRAW","82732","211111","211111: Crude Petroleum and Natural Gas Extraction","USA","Texas","publicly traded","EOG","oil and gas","oil & gas","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
