"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Statoil ASA","Equinor","$10,500,000","$0","$10,500,000","2006","20061013","competition-related offenses","Foreign Corrupt Practices Act","","Statoil ASA, headquartered in Norway, acknowledged making bribe payments to an Iranian official in order to secure valuable oil and gas rights in Iran in violation of the anti-bribery and accounting provisions of the Foreign Corrupt Practices Act. It  agreed to pay a $10.5 million penalty and to enter into a three-year deferred prosecution. ","federal","agency action","Justice Department Criminal Division","criminal","deferred prosecution agreement","","","","","","","","","","","Norway","","publicly traded","EQNR","oil and gas","oil & gas","https://www.justice.gov/archive/opa/pr/2006/October/06_crm_700.html",""
"Statoil Exploration (US) Inc.","Equinor","$30,000","$0","$30,000","2000","20000207","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","Norway","","publicly traded","EQNR","oil and gas","oil & gas","https://www.bsee.gov/site-page/2000-civil-penalties",""
"Statoil Gulf of Mexico LLC","Equinor","$35,000","$0","$35,000","2016","20160523","environment-related offenses","environmental violation","offshore drilling violation","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","Norway","","publicly traded","EQNR","oil and gas","oil & gas","https://www.bsee.gov/sites/bsee.gov/files/summary-of-civil-penalties-paid//cy2016-cp-paid.pdf",""
"Statoil USA E&P","Equinor","$20,000","$0","$20,000","2016","20160707","environment-related offenses","environmental violation","offshore drilling violation","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","Norway","","publicly traded","EQNR","oil and gas","oil & gas","https://www.bsee.gov/sites/bsee.gov/files/summary-of-civil-penalties-paid//cy2016-cp-paid.pdf",""
"Statoil ASA","Equinor","$4,000,000","$0","$4,000,000","2017","20171114","financial offenses","investor protection violation","securities issuance or trading violation","The Commodity Futures Trading Commission issued an Order filing and settling charges against Statoil ASA (Statoil), an international energy company headquartered in Stavanger, Norway. The CFTC Order found that from as early as October 2011 through November 2011, Statoil attempted to manipulate the Argus Far East Index (FEI) in order to benefit Statoil's physical and financial positions.","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","Norway","","publicly traded","EQNR","oil and gas","oil & gas","http://www.cftc.gov/PressRoom/PressReleases/pr7643-17",""
"Statoil Oil & Gas","Equinor","$1,989,560","$0","$1,989,560","2015","20150305","government-contracting-related offenses","federal leasing royalty violation","","mineral trespass","federal","agency action","U.S. Attorney-District of North Dakota","civil","","","","","","North Dakota","","","","","","Norway","","publicly traded","EQNR","oil and gas","oil & gas","https://www.justice.gov/usao-nd/pr/settlement-trespass-claims-against-statoil-oil-gas-lp-and-statoil-oil-gas-services-inc",""
"Statoil, ASA","Equinor","$10,500,000","$0","$10,500,000","2006","20061013","financial offenses","investor protection violation","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","Norway","","publicly traded","EQNR","oil and gas","oil & gas","https://www.sec.gov/litigation/admin/2006/34-54599.pdf",""
"Statoil Oil & Gas LP","Equinor","$40,850","$0","$40,850","2017","20170519","environment-related offenses","environmental violation","","air quality violation","state","agency action","Montana Department of Environmental Quality","civil","","","","","","Montana","","","","","","Norway","","publicly traded","EQNR","oil and gas","oil & gas","Contained in data received from the agency on November 30, 2020 in response to an open records request.",""
"Statoil Oil & Gas","Equinor","$81,800","$0","$81,800","2014","20140211","environment-related offenses","environmental violation","","air pollution violation","state","agency action","North Dakota Department of Health-Environmental Section","civil","","","","","","North Dakota","","","","","","Norway","","publicly traded","EQNR","oil and gas","oil & gas","Contained in data received from the agency on November 3, 2020 in response to an open records request.",""
"Statoil USA Onshore Properties, Inc.","Equinor","$131,805","$0","$131,805","2015","20151109","environment-related offenses","environmental violation","","","state","agency action","Ohio Environmental Protection Agency","civil","","","","","","Ohio","","","","","","Norway","","publicly traded","EQNR","oil and gas","oil & gas","http://edocpub.epa.ohio.gov/publicportal/ViewDocument.aspx?docid=354690","Settlement included a $75,000 Supplemental Environmental Project."
