"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Gulf Chemical and Metallurgical Corporation","Eramet Group","$2,750,000","$0","$2,750,000","2010","20100527","environment-related offenses","environmental violation","","On May 27, 2010, Gulf Chemical was charged in a state indictment with 11 counts of unpermitted discharges to the waters of the state in volation of the Texas Water Code. The corporation pled guilty to all counts and was sentenced to a $2.75 million criminal penalty and is required to make modifications to its wastewater treatment plant, that will bring it into compliance with its permit.","federal","agency action","Environmental Protection Agency","criminal","","","","","","Texas","Freeport","","","","","France","","publicly traded","","mining and minerals","mining","http://cfpub.epa.gov/compliance/criminal_prosecution/index.cfm?action=3&prosecution_summary_id=2043&searchParams=M5%2C%3A%2FXT%2A%5CCYZ%40O%3B%20W_%2AYN5%5E%3EK99%2A%29W%3CU%3FV%23DH%5BZ8%277TRPH%3BJQH%229%3FD%3C%26Z%40CY%26%0AM7EFH%21%25%21%3A%23%3DV%40%3A%2A_%3AB8%2A%5DR%3BB%25%5E9%5B2D%22I2JU65NEY7M%21-U%40%2B8%22J%29Y%23%24LNJ%40DX%24%0A%2F5YJ%3EP%27O_K04_G%5C%3E%290M8-%0A",""
"GULF CHEMICAL & METALLURGICAL CORPORATION","Eramet Group","$5,700","$0","$5,700","2010","20101026","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","FREEPORT","302 MIDWAY ROAD","77542","331423","331423: Secondary Smelting, Refining, and Alloying of Copper","France","","publicly traded","","mining and minerals","mining","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GULF CHEMICAL & METALLURGICAL CORP.","Eramet Group","$28,350","$0","$28,350","2009","20091027","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","FREEPORT","302 MIDWAY ROAD","77542","331492","331492: Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)","France","","publicly traded","","mining and minerals","mining","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ERAMET MARIETTA, INC.","Eramet Group","$9,650","$0","$9,650","2008","20080104","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","MARIETTA","16705 STATE ROUTE 7","45750","331112","331112: Electrometallurgical Ferroalloy Product Manufacturing","France","","publicly traded","","mining and minerals","mining","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GULF CHEMICAL & METALLURGICAL CORPORATION","Eramet Group","$8,400","$0","$8,400","2004","20041007","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","FREEPORT","302 MIDWAY ROAD","77542","331311","331311: Alumina Refining","France","","publicly traded","","mining and minerals","mining","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Eramet Marietta Inc.","Eramet Group","$75,000","$0","$75,000","2012","20120320","environment-related offenses","environmental violation","","hazardous waste violations","state","agency action","Ohio Attorney General","civil","","","","","","Ohio","Marietta","","","","","France","","publicly traded","","mining and minerals","mining","https://www.ohioattorneygeneral.gov/Media/News-Releases/March-2012/State-Marietta-Company-Settle-Hazardous-Waste-Vio",""
"Gulf Chemical & Metallurgical Corporation","Eramet Group","$7,500,000","$0","$7,500,000","2013","20130814","environment-related offenses","environmental violation","","Texas Clean Air Act violation","state","agency action","Texas Attorney General","civil","","","","","","Texas","","","","","","France","","publicly traded","","mining and minerals","mining","Gulf Chemical's Freeport Facility to Pay $7.5 Million for ViolatingTexas Environmental Laws, Targeted News Service, August 14, 2013 (via Nexis).",""
"Gulf  Chemical  and Metallurgical Corp.","Eramet Group","$2,750,000","$0","$2,750,000","2010","20100528","environment-related offenses","environmental violation","","Gulf Chemical & Metallurgical Corp. entered into a plea agreement to pay $2.75 million and plead guilty to felony violations of the Texas Water Code by discharging waste catalysts with wastewater.","local","agency action","Travis County (TX) District Attorney","criminal","","","","","verdict","Texas","Freeport","","","","","France","","publicly traded","","mining and minerals","mining","https://www.traviscountytx.gov/images/district_attorney/docs/Press_Releases/Archives/2010/29gulfchemprsrls.pdf",""
"Eramet Marietta, Inc.","Eramet Group","$27,000","$0","$27,000","2020","20200714","environment-related offenses","environmental violation","","","state","agency action","Ohio Environmental Protection Agency","civil","","","","","","Ohio","Marietta","","","","","France","","publicly traded","","mining and minerals","mining","http://edocpub.epa.ohio.gov/publicportal/ViewDocument.aspx?docid=1374197",""
"Eramet Marietta Inc.","Eramet Group","$30,000","$0","$30,000","2018","20180621","environment-related offenses","environmental violation","","","state","agency action","Ohio Environmental Protection Agency","civil","","","","","","Ohio","Marietta","","","","","France","","publicly traded","","mining and minerals","mining","http://edocpub.epa.ohio.gov/publicportal/ViewDocument.aspx?docid=1439889","Modification of earlier Order, with additional penalty for delay in achieving compliance."
