"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"ERGON TERMINALING INC.","Ergon","$10,000","$0","$10,000","2006","20060901","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Mississippi","privately held","","oil and gas","oil & gas","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_320055031.html?nocache=6013",""
"ERGON REFINING INC","Ergon","$14,425","$0","$14,425","2008","20080324","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Mississippi","VICKSBURG","2611 HAINING RD","39180","324110","324110: Petroleum Refineries","USA","Mississippi","privately held","","oil and gas","oil & gas","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ERGON-WEST VIRGINIA, INC.","Ergon","$22,500","$0","$22,500","2007","20071029","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","West Virginia","NEWELL","9995 OHIO RIVER BLVD","26050","324110","324110: Petroleum Refineries","USA","Mississippi","privately held","","oil and gas","oil & gas","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ERGON ENTERPRICES INC.","Ergon","$10,059","$0","$10,059","2006","20060313","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Puerto Rico","CAROLINA","CALLE PARQUE DE BOMBAS FINAL SECTOR S. CIPRIAN","00979","236116","236116: New Multifamily Housing Construction (except Operative Builders)","USA","Mississippi","privately held","","oil and gas","oil & gas","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ERGON ENTREPRISES, INC.","Ergon","$6,176","$0","$6,176","2005","20050124","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Puerto Rico","CAROLINA","CALLE PARQUE DE BOMBAS FINAL SECTOR S. CIPRIAN","00985","236116","236116: New Multifamily Housing Construction (except Operative Builders)","USA","Mississippi","privately held","","oil and gas","oil & gas","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ERGON ASPHALT & EMULSIONS, INC.","Ergon","$10,000","$0","$10,000","2019","20190710","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Tennessee","PARSONS","5445 HWY 412","38363","324121","324121: Asphalt Paving Mixture and Block Manufacturing","USA","Mississippi","privately held","","oil and gas","oil & gas","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ERGON-WEST VIRGINIA, INC.","Ergon","$6,554","$0","$6,554","2020","20200127","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","West Virginia","NEWELL","9995 OHIO RIVER BLVD.","26050","324110","324110: Petroleum Refineries","USA","Mississippi","privately held","","oil and gas","oil & gas","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Ergon-West Virginia, Inc","Ergon","$155,500","$0","$155,500","2003","20030923","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","03-2003-0196","","","","","","","","","USA","Mississippi","privately held","","oil and gas","oil & gas","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"ERGON-WEST VIRGINIA, INC","Ergon","$269,200","$0","$269,200","2003","20031231","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","03-2003-0385","","","","","","","","","USA","Mississippi","privately held","","oil and gas","oil & gas","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"ERGON-WEST VIRGINIA, INC","Ergon","$7,900","$0","$7,900","2011","20110913","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","03-2011-0223","","","","","","","","","USA","Mississippi","privately held","","oil and gas","oil & gas","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
