"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"LensCrafters","EssilorLuxottica","$192,500","$0","$192,500","2011","20110620","employment-related offenses","employment discrimination","","sexual harassment","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Michigan","","","","","","France","","publicly traded","","apparel","eyewear","https://www.eeoc.gov/eeoc/newsroom/release/6-20-11a.cfm","Description field shows type of discrimination that EEOC had alleged."
"SIGNET ARMORLITE","EssilorLuxottica","$8,100","$0","$8,100","2001","20011207","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","SAN MARCOS","1001 ARMORLITE DR","92069","000000","","France","","publicly traded","","apparel","eyewear","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"OPTISOURCE INTERNATIONAL INC","EssilorLuxottica","$42,000","$0","$42,000","2015","20150617","safety-related offenses","aviation safety violation","","hazardous materials shipping","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","France","","publicly traded","","apparel","eyewear","Contained in data obtained on May 23, 2018 in response to a Freedom of Information Act request. ",""
"Optisource International","EssilorLuxottica","$170,000","$0","$170,000","2015","20150407","safety-related offenses","aviation safety violation","","hazardous materials shipping","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","France","","publicly traded","","apparel","eyewear","https://www.faa.gov/news/press_releases/news_story.cfm?newsId=18574",""
"Lenscrafters at Macy's #8932","EssilorLuxottica","$5,700","$0","$5,700","2018","20180814","employment-related offenses","wage and hour violation","","","state","agency action","Washington State Department of Labor & Industries","civil","","","","","","Washington","Tukwila","","","","","France","","publicly traded","","apparel","eyewear","Contained in data obtained on December 4, 2020 in response to an open records request to the agency.",""
"Luxottica Retail North America Inc.","EssilorLuxottica","$20,000","$0","$20,000","2015","20150301","environment-related offenses","environmental violation","","air pollution violation","state","agency action","California Air Resources Board","civil","","","","","","California","","","","","","France","","publicly traded","","apparel","eyewear","https://ww2.arb.ca.gov/luxottica-retail-north-america-inc-settlement",""
"ESSILOR OF AMERICA, INC.","EssilorLuxottica","$5,493","$0","$5,493","2007","20070928","environment-related offenses","environmental violation","","hazardous waste violation","state","agency action","Florida Department of Environmental Protection","civil","","","71627","","","Florida","","","","","","France","","publicly traded","","apparel","eyewear","Contained in a spreadsheet received from the agency on October 2, 2020 in response to an open records request. The spreadsheet included data from  the agency's Oculus database, which can be searched at https://prodenv.dep.state.fl.us/DepNexus/public/searchPortal","Case number is the designation given by the DEP's Office of General Counsel."
"LUXOTTICA GROUP","EssilorLuxottica","$15,500","$0","$15,500","2017","20170329","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Georgia","MCDONOUGH","100 & 101 GREENWOOD INDUSTRIAL BLVD.","30253","333314","333314: Optical Instrument and Lens Manufacturing","France","","publicly traded","","apparel","eyewear","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LUXOTTICA GROUP","EssilorLuxottica","$21,296","$0","$21,296","2017","20170706","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Georgia","MCDONOUGH","101 GREENWOOD INDUSTRIAL BLVD.","30253","333314","333314: Optical Instrument and Lens Manufacturing","France","","publicly traded","","apparel","eyewear","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LUXOTTICA GROUP","EssilorLuxottica","$15,520","$0","$15,520","2017","20171010","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Georgia","MCDONOUGH","101 GREENWOOD INDUSTRIAL BLVD.","30253","333314","333314: Optical Instrument and Lens Manufacturing","France","","publicly traded","","apparel","eyewear","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LUXOTTICA GROUP","EssilorLuxottica","$8,130","$0","$8,130","2018","20180508","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Georgia","MCDONOUGH","101 GREENWOOD INDUSTRIAL BLVD.","30253","333314","333314: Optical Instrument and Lens Manufacturing","France","","publicly traded","","apparel","eyewear","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LUXOTTICA GROUP","EssilorLuxottica","$19,890","$0","$19,890","2019","20190806","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Georgia","MCDONOUGH","101 GREENWOOD INDUSTRIAL PARKWAY","30253","333314","333314: Optical Instrument and Lens Manufacturing","France","","publicly traded","","apparel","eyewear","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LUXOTTICA GROUP","EssilorLuxottica","$10,423","$0","$10,423","2019","20190806","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Georgia","MCDONOUGH","101 GREENWOOD INDUSTRIAL PARKWAY","30253","333314","333314: Optical Instrument and Lens Manufacturing","France","","publicly traded","","apparel","eyewear","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LUXOTTICA GROUP","EssilorLuxottica","$15,940","$0","$15,940","2019","20190806","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Georgia","MCDONOUGH","101 GREENWOOD INDUSTRIAL PARKWAY","30253","333314","333314: Optical Instrument and Lens Manufacturing","France","","publicly traded","","apparel","eyewear","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ESSILOR OF AMERICA","EssilorLuxottica","$7,542","$0","$7,542","2021","20210414","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","SYRACUSE","2840 ERIE BLVD EAST","13224","339115","339115: Ophthalmic Goods Manufacturing","France","","publicly traded","","apparel","eyewear","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
