"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Estes Express Lines","Estes Express Lines","$15,467","$0","$15,467","2014","20140712","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1731541","","","West Virginia","Charleston","","25387","4842","4842: Specialized Freight Trucking","USA","Virginia","privately held","","freight and logistics","trucking and logistics","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Estes Express Lines","Estes Express Lines","$12,596","$0","$12,596","2010","20100821","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1581554","","","Pennsylvania","West Middlesex","","16159","484230","484230: Specialized Freight (except Used Goods) Trucking, Long-Distance","USA","Virginia","privately held","","freight and logistics","trucking and logistics","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Estes Express Lines, Inc.","Estes Express Lines","$33,522","$0","$33,522","2011","20110820","employment-related offenses","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1618267","","","Ohio","Columbus","","43223","48412","48412: General Freight Trucking, Long-Distance","USA","Virginia","privately held","","freight and logistics","trucking and logistics","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"ESTES EXPRESS LINES, INC.","Estes Express Lines","$19,480","$0","$19,480","2006","20060302","safety-related offenses","motor vehicle safety violation","","IL-2006-0268-US0769","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Virginia","RICHMOND","","","","","USA","Virginia","privately held","","freight and logistics","trucking and logistics","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2006-pdf","Year is fiscal year. Date is closing date."
"ESTES EXPRESS LINES","Estes Express Lines","$7,600","$0","$7,600","2014","20141110","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Virginia","privately held","","freight and logistics","trucking and logistics","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"ESTES EXPRESS LINES, INC.","Estes Express Lines","$6,500","$0","$6,500","2010","20100420","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","WEST MIDDLESEX","64 STEFANAK DRIVE","16159","488490","488490: Other Support Activities for Road Transportation","USA","Virginia","privately held","","freight and logistics","trucking and logistics","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ESTES EXPRESS LINES","Estes Express Lines","$5,000","$0","$5,000","2002","20020620","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","HOUSTON","7345 ROUND HOUSE RD","77078","000000","","USA","Virginia","privately held","","freight and logistics","trucking and logistics","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Estes Express    (DBA Estes West)","Estes Express Lines","$50,600","$0","$50,600","2013","20131001","environment-related offenses","environmental violation","","air pollution violation","state","agency action","California Air Resources Board","civil","","","","","","California","","","","","","USA","Virginia","privately held","","freight and logistics","trucking and logistics","https://ww2.arb.ca.gov/estes-express-settlement",""
"ESTES EXPRESS LINES","Estes Express Lines","$6,741","$0","$6,741","2010","20100518","environment-related offenses","environmental violation","","hazardous waste violation","state","agency action","Florida Department of Environmental Protection","civil","","","101555","","","Florida","","","","","","USA","Virginia","privately held","","freight and logistics","trucking and logistics","Contained in a spreadsheet received from the agency on October 2, 2020 in response to an open records request. The spreadsheet included data from  the agency's Oculus database, which can be searched at https://prodenv.dep.state.fl.us/DepNexus/public/searchPortal","Case number is the designation given by the DEP's Office of General Counsel."
"ESTES EXPRESS LINES","Estes Express Lines","$8,000","$0","$8,000","2009","20091221","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Massachusetts","SEEKONK","10 INDUSTRIAL COURT","02771","488490","488490: Other Support Activities for Road Transportation","USA","Virginia","privately held","","freight and logistics","trucking and logistics","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ESTES EXPRESS LINES","Estes Express Lines","$7,480","$0","$7,480","2011","20110309","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","MIAMI","7000 NW 60TH ST.","33166","488490","488490: Other Support Activities for Road Transportation","USA","Virginia","privately held","","freight and logistics","trucking and logistics","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ESTES EXPRESS LINES, INCORPORATED","Estes Express Lines","$6,300","$0","$6,300","2011","20110706","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","North Carolina","ABERDEEN","12550 HIGHWAY 15-501 SOUTH","28315","484121","484121: General Freight Trucking, Long-Distance, Truckload","USA","Virginia","privately held","","freight and logistics","trucking and logistics","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ESTES EXPRESS LINES","Estes Express Lines","$6,120","$0","$6,120","2012","20120120","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","EAST SYRACUSE","7200 SCHUYLER ROAD","13057","484110","484110: General Freight Trucking, Local","USA","Virginia","privately held","","freight and logistics","trucking and logistics","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ESTES EXPRESS LINES","Estes Express Lines","$7,000","$0","$7,000","2014","20141014","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","MC COOK","8700 JOLIET ROAD","60525","488490","488490: Other Support Activities for Road Transportation","USA","Virginia","privately held","","freight and logistics","trucking and logistics","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ESTES EXPRESS LINES, INC.","Estes Express Lines","$11,340","$0","$11,340","2015","20150914","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","SAN JOSE","1634 S. 7TH ST.","95112","484121","484121: General Freight Trucking, Long-Distance, Truckload","USA","Virginia","privately held","","freight and logistics","trucking and logistics","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ESTES EXPRESS LINES, INC.","Estes Express Lines","$6,791","$0","$6,791","2017","20170828","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","West Virginia","CHARLESTON","505 35TH STREET WEST","25387","492210","492210: Local Messengers and Local Delivery","USA","Virginia","privately held","","freight and logistics","trucking and logistics","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
