"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Eurofins Lancaster Laboratories Inc","Eurofins Scientific","$19,779","$0","$19,779","2014","20140331","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1716047","","","Pennsylvania","Lancaster","","17601","541712","541712: Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)","Luxembourg","","publicly traded","","healthcare services","medical testing","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Eurofins Lancaster Laboratories Environmental LLC","Eurofins Scientific","$135,742","$0","$135,742","2019","20190205","government-contracting-related offenses","False Claims Act and related","","","federal","agency action","U.S. Attorney-Eastern District of Pennsylvania","civil","","","","","","Pennsylvania","Lancaster","","","","","Luxembourg","","publicly traded","","healthcare services","medical testing","https://www.justice.gov/usao-edpa/pr/eurofins-lancaster-laboratories-environmental-pay-135742-resolve-false-claims",""
"Eurofins Lancaster Laboratories, Inc.","Eurofins Scientific","$15,600","$0","$15,600","2013","20130716","financial offenses","tax violations","","failure to pay out-of-state business registration fee","state","agency action","Connecticut Attorney General","civil","","","","","","Connecticut","","","","","","Luxembourg","","publicly traded","","healthcare services","medical testing","https://portal.ct.gov/AG/Press-Releases-Archived/2013-Press-Releases/Merrill--Jepsen-Collect-13-Million-in-Penalties-from-Companies-Transacting-Business-in-Connecticut-W",""
"Boston Heart Diagnostics Corporation","Eurofins Scientific","$26,670,000","$0","$26,670,000","2019","20191209","government-contracting-related offenses","False Claims Act and related","kickbacks and bribery","Boston Heart Diagnostics Corporation agreed to pay $26.67 million to resolve False Claims Act allegations involving payments for patient referrals in violation of the Anti-Kickback Statute and the Stark Law and claims otherwise improperly billed to federal health care programs for laboratory testing.","federal","agency action","U.S. Attorney-Eastern District of California","civil","","","","","","","","","","","","Luxembourg","","publicly traded","","healthcare services","medical testing","https://www.justice.gov/usao-edca/pr/laboratory-pay-2667-million-settle-allegations-kickbacks-physicians",""
"Eurofins MWG Operon, Inc.","Eurofins Scientific","$33,700","$0","$33,700","2013","20130524","environment-related offenses","environmental violation","","Hazardous Waste","state","agency action","Alabama Department of Environmental Management","civil","","","13-099-CHW","","","Alabama","","","","","","Luxembourg","","publicly traded","","healthcare services","medical testing","http://adem.alabama.gov/compInfo/2013orders.pdf",""
"EUROFINS SPECTRUM ANALYTICAL LLC","Eurofins Scientific","$17,250","$0","$17,250","2018","20180111","environment-related offenses","environmental violation","","","state","agency action","Massachusetts Executive Office of Energy and Environmental Affairs","civil","","","","","","Massachusetts","Agawam","","","","","Luxembourg","","publicly traded","","healthcare services","medical testing","https://eeaonline.eea.state.ma.us/Portal/#!/search/enforcements/results?FacilityName=EUROFINS SPECTRUM ANALYTICAL LLC","Captured from records in EEA database with basic enforcement information; may not include full details of penalties."
"EUROFINS SPECTRUM ANALYTICAL LLC","Eurofins Scientific","$6,000","$0","$6,000","2012","20120820","environment-related offenses","environmental violation","","","state","agency action","Massachusetts Executive Office of Energy and Environmental Affairs","civil","","","","","","Massachusetts","Agawam","","","","","Luxembourg","","publicly traded","","healthcare services","medical testing","https://eeaonline.eea.state.ma.us/Portal/#!/search/enforcements/results?FacilityName=EUROFINS SPECTRUM ANALYTICAL LLC","Captured from records in EEA database with basic enforcement information; may not include full details of penalties."
"Eurofins, QC","Eurofins Scientific","$600,000","$0","$600,000","2018","20180305","environment-related offenses","environmental violation","","water testing violations","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","Southampton","","","","","Luxembourg","","publicly traded","","healthcare services","medical testing","https://www.ahs.dep.pa.gov/NewsRoomPublic/SearchResults.aspx?id=21404&typeid=1",""
"EUROFINS TESTING TESTAMERICA, INC.","Eurofins Scientific","$11,703","$0","$11,703","2020","20201027","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","BUFFALO","10 HAZELWOOD DRIVE","14228","541380","541380: Testing Laboratories","Luxembourg","","publicly traded","","healthcare services","medical testing","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Eurofins Product Safety Labs Inc. (SB)","Eurofins Scientific","$64,350","$0","$64,350","2015","20150923","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","02-2014-7106","","","","","","","","","Luxembourg","","publicly traded","","healthcare services","medical testing","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"EUROFINS SCIENTIFIC, INC D/B/A EUROFINS NUTRITIONA","Eurofins Scientific","$14,000","$0","$14,000","2014","20141203","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","07-2015-0035","","","Iowa","DES MOINES","2200 RITTENHOUSE ST STE 150","50321","","","Luxembourg","","publicly traded","","healthcare services","medical testing","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
