"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"DEGUSSA CORPORATION","Evonik Industries","$10,001","$0","$10,001","2004","20041216","employment-related offenses","benefit plan administrator violation","","Deficient Filer","federal","agency action","Employee Benefits Security Administration","civil","","","","","","New Jersey","","","","","","Germany","","publicly traded","","chemicals","chemicals","Included in a dataset downloaded at https://enforcedata.dol.gov/views/data_summary.php","Company is plan administrator. Penalty amount reported in range of $10,001 to $50,000. "
"Degussa Corporation","Evonik Industries","$7,500","$0","$7,500","2000","20000504","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","chemicals","chemicals","Taken from the Federal Railroad Administration's FY2000 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Degussa Corporation","Evonik Industries","$5,000","$0","$5,000","2008","20080523","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","chemicals","chemicals","Taken from the Federal Railroad Administration's FY2008 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Degussa-Huls AG","Evonik Industries","$13,000,000","$0","$13,000,000","2000","20000505","competition-related offenses","price-fixing or anti-competitive practices","","Two German pharmaceutical manufacturers--Merck KgaA and Degussa-Huls AG--and two U.S. pharmaceutical companies--Nepera Inc. and Reilly Industries Inc.--agreed to plead guilty and pay criminal antitrust fines totaling $33 million for participating in two separate worldwide conspiracies to suppress and eliminate competition in the vitamin industry.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","Germany","","publicly traded","","chemicals","chemicals","https://www.justice.gov/archive/atr/public/press_releases/2000/4684.htm",""
"Degussa U.K. Holdings Ltd.","Evonik Industries","$1,500,000","$0","$1,500,000","2004","20040920","competition-related offenses","price-fixing or anti-competitive practices","","Degussa U.K. Holdings Ltd., an international chemical producer based in Britain, agreed to plead guilty and to pay a $1.5 million fine for its participation in a criminal conspiracy that suppressed competition in the world markets for organic peroxides.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","Germany","","publicly traded","","chemicals","chemicals","https://www.justice.gov/archive/atr/public/press_releases/2004/205482.htm",""
"Evonik Corporation","Evonik Industries","$5,000","$0","$5,000","2016","20160317","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","chemicals","chemicals","https://www.fra.dot.gov/Elib/Document/16831","Year is fiscal year."
"Evonik Corporation","Evonik Industries","$5,000","$0","$5,000","2016","20160512","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","chemicals","chemicals","https://www.fra.dot.gov/Elib/Document/16831","Year is fiscal year."
"Evonik Corporation","Evonik Industries","$5,000","$0","$5,000","2015","20150513","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L17311#p1_z5_gD_lEA",""
"Evonik Corporation","Evonik Industries","$5,000","$0","$5,000","2013","20131030","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L16190#p1_z5_gD_lEA",""
"EVONIK CYRO LLC","Evonik Industries","$5,000","$0","$5,000","2014","20140711","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L16190#p1_z5_gD_lEA",""
