"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Exxon Chemical Americas","Exxon Mobil","$9,000","$0","$9,000","2000","20000623","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Texas","publicly traded","NYSE: XOM","oil and gas","oil & gas","Taken from the Federal Railroad Administration's FY2000 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Exxon Mobil","Exxon Mobil","$2,000,000","$0","$2,000,000","2017","20170720","financial offenses","economic sanction violation","","Violation of Ukraine-Related Sanctions Regulations","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","USA","Texas","publicly traded","NYSE: XOM","oil and gas","oil & gas","https://www.treasury.gov/resource-center/sanctions/CivPen/Documents/20170720_exxonmobil.pdf",""
"Exxon Mobil","Exxon Mobil","$40,000","$0","$40,000","2009","20090729","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","publicly traded","NYSE: XOM","oil and gas","oil & gas","https://www.bsee.gov/sites/bsee.gov/files/summary-of-civil-penalties-paid/safety/cp-paid-2009-webpage.pdf",""
"Exxon Mobil","Exxon Mobil","$35,000","$0","$35,000","2008","20080114","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","publicly traded","NYSE: XOM","oil and gas","oil & gas","https://www.bsee.gov/site-page/2008-civil-penalties",""
"Exxon Mobil","Exxon Mobil","$30,000","$0","$30,000","2008","20080229","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","publicly traded","NYSE: XOM","oil and gas","oil & gas","https://www.bsee.gov/site-page/2008-civil-penalties",""
"Exxon Mobil","Exxon Mobil","$20,000","$0","$20,000","2009","20091112","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","publicly traded","NYSE: XOM","oil and gas","oil & gas","https://www.bsee.gov/sites/bsee.gov/files/summary-of-civil-penalties-paid/safety/cp-paid-2009-webpage.pdf",""
"EXXON MOBIL","Exxon Mobil","$7,400","$0","$7,400","2009","20090810","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Texas","publicly traded","NYSE: XOM","oil and gas","oil & gas","https://www.fra.dot.gov/Elib/Document/282","Year is fiscal year."
"Exxon Mobil","Exxon Mobil","$5,000","$0","$5,000","2000","20001002","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","publicly traded","NYSE: XOM","oil and gas","oil & gas","https://www.bsee.gov/site-page/2000-civil-penalties",""
"Exxon Mobil Corp","Exxon Mobil","$50,000","$0","$50,000","2003","20030404","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","USA","Texas","publicly traded","NYSE: XOM","oil and gas","oil & gas","https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/04042003.pdf",""
"Exxon Mobil Corporation","Exxon Mobil","$11,200,000","$0","$11,200,000","2001","20011213","environment-related offenses","environmental violation","","The company agreed to pay a civil penalty of $8.2 million and spend $3 million on an environmental project to settle violations relating to alleged mismanagement of benzene-contaminated waste at Port Mobil, a major petroleum storage and distribution terminal on Authur Kill at Staten Island, New York.","federal","agency action","Justice Department Environment and Natural Resources Division","civil","","","","","","New York","","","","","","USA","Texas","publicly traded","NYSE: XOM","oil and gas","oil & gas","https://yosemite.epa.gov/opa/admpress.nsf/0/3BF48E43351E730D85256B2100644BB0?OpenDocument",""
