"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Zenith Insurance Co.","Fairfax Financial Holdings","$180,000","$0","$180,000","2006","20060124","employment-related offenses","employment discrimination","","race","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","California","Woodland Hills","","","","","Canada","","publicly traded","FRFHF","financial services","insurance","https://web.archive.org/web/20090813021104/http://eeoc.gov/litigation/settlements/settlement01-06.html",""
"First Mercury Insurance Co.","Fairfax Financial Holdings","$330,000","$0","$330,000","2012","20120126","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Insurance","civil","","","","","","California","","","","","","Canada","","publicly traded","FRFHF","financial services","insurance","https://legaldocs.insurance.ca.gov/publicdocs/SearchBasic",""
"North River Insurance Co.","Fairfax Financial Holdings","$62,700","$0","$62,700","2012","20121005","consumer-protection-related offenses","insurance violation","","Market Conduct Examination","state","agency action","Colorado Division of Insurance","civil","","","","","","Colorado","","","","","","Canada","","publicly traded","FRFHF","financial services","insurance","https://drive.google.com/file/d/0B_UoCf17OVmWTndWLXhGM1JSbmc/view",""
"United States Fire Insurance Co.","Fairfax Financial Holdings","$111,500","$0","$111,500","2012","20121005","consumer-protection-related offenses","insurance violation","","Market Conduct Examination","state","agency action","Colorado Division of Insurance","civil","","","","","","Colorado","","","","","","Canada","","publicly traded","FRFHF","financial services","insurance","https://drive.google.com/file/d/0B_UoCf17OVmWLVEzRnJ6QkFHbmc/view",""
"United States Fire Insurance Co.","Fairfax Financial Holdings","$10,000","$0","$10,000","2014","20140324","consumer-protection-related offenses","insurance violation","","","state","agency action","Delaware Department of Insurance","civil","","","","","","Delaware","","","","","","Canada","","publicly traded","FRFHF","financial services","insurance","https://insurance.delaware.gov/wp-content/uploads/sites/15/2017/01/unitedstatesfireinsuranceco.pdf",""
"ZENITH INSURANCE COMPANY","Fairfax Financial Holdings","$6,850","$0","$6,850","2001","20010101","consumer-protection-related offenses","insurance violation","","","state","agency action","Florida Office of Financial Regulation","civil","","","","","","Florida","","","","","","Canada","","publicly traded","FRFHF","financial services","insurance","https://www.floir.com/siteDocuments/zenith_co.pdf",""
"Seneca Insurance Co.","Fairfax Financial Holdings","$5,000","$0","$5,000","2014","20141126","consumer-protection-related offenses","insurance violation","","","state","agency action","Kansas Insurance Department","civil","","","","","","Kansas","","","","","","Canada","","publicly traded","FRFHF","financial services","insurance","https://insurance.ks.gov/department/LegalIssues/orders/2014/Seneca.pdf",""
"Crum & Forster Indemnity Co.","Fairfax Financial Holdings","$20,000","$0","$20,000","2018","20180927","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2018-09-027","","","Maryland","","","","","","Canada","","publicly traded","FRFHF","financial services","insurance","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"United States Fire Insurance Co.","Fairfax Financial Holdings","$7,500","$0","$7,500","2018","20180927","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2018-09-026","","","Maryland","","","","","","Canada","","publicly traded","FRFHF","financial services","insurance","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"United States Fire Insurance Co.","Fairfax Financial Holdings","$10,000","$0","$10,000","2014","20141222","consumer-protection-related offenses","insurance violation","","","state","agency action","Minnesota Department of Commerce","civil","","","","","","Minnesota","","","","","","Canada","","publicly traded","FRFHF","financial services","insurance","https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={B97A8A26-BBC5-45EA-AFBB-137A0AE0BDAC}",""
"Zenith Insurance Co.","Fairfax Financial Holdings","$93,842","$0","$93,842","2012","20120906","consumer-protection-related offenses","insurance violation","","","state","agency action","Missouri Department of Insurance","civil","","","","","","Missouri","","","","","","Canada","","publicly traded","FRFHF","financial services","insurance","https://insurance.mo.gov/Contribute%20Documents/ZenithInsuranceCo.pdf",""
"United States Fire Insurance Co.","Fairfax Financial Holdings","$23,500","$0","$23,500","2015","20150529","consumer-protection-related offenses","insurance violation","","","state","agency action","Missouri Department of Insurance","civil","","","","","","Missouri","","","","","","Canada","","publicly traded","FRFHF","financial services","insurance","https://insurance.mo.gov/Contribute%20Documents/UnitedStatesFireMC.pdf",""
