"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Fed Ex  Home Delivery","FedEx","$253,308","$0","$253,308","2008","20080116","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","01-CA-43283-001","","","Massachusetts","Northboro","","01532","492210","492210: Local Messengers and Local Delivery","USA","Tennessee","publicly traded","FDX","freight and logistics","package delivery","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Federal Express Ground Package System, Inc","FedEx","$35,453","$0","$35,453","2015","20150325","employment-related offenses","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1752024","","","California","Fairfield","","94534","492110","492110: Couriers","USA","Tennessee","publicly traded","FDX","freight and logistics","package delivery","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"FEDERAL EXPRESS","FedEx","$300,000","$0","$300,000","2012","20120925","safety-related offenses","aviation safety violation","","RECORDS/RPTS ","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","USA","Tennessee","publicly traded","FDX","freight and logistics","package delivery","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"FEDERAL EXPRESS CORP","FedEx","$9,000","$0","$9,000","2013","20130331","safety-related offenses","aviation safety violation","","HAZ MAT","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","USA","Tennessee","publicly traded","FDX","freight and logistics","package delivery","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"FEDERAL EXPRESS CORP","FedEx","$8,000","$0","$8,000","2009","20090210","safety-related offenses","aviation safety violation","","HAZ MAT ","federal","agency action","Federal Aviation Administration","civil","","","2008NM700199 ","","","","","","","","","USA","Tennessee","publicly traded","FDX","freight and logistics","package delivery","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"FEDERAL EXPRESS CORP","FedEx","$5,500","$0","$5,500","2009","20090205","safety-related offenses","aviation safety violation","","HAZ MAT ","federal","agency action","Federal Aviation Administration","civil","","","2008NM700178 ","","","","","","","","","USA","Tennessee","publicly traded","FDX","freight and logistics","package delivery","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"FEDERAL EXPRESS CORP","FedEx","$37,000","$0","$37,000","2001","20010618","safety-related offenses","aviation safety violation","","HAZ MAT ","federal","agency action","Federal Aviation Administration","civil","","","2000WP730250 ","","","","","","","","","USA","Tennessee","publicly traded","FDX","freight and logistics","package delivery","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"FEDERAL EXPRESS CORP","FedEx","$35,000","$0","$35,000","2001","20010709","safety-related offenses","aviation safety violation","","HAZ MAT ","federal","agency action","Federal Aviation Administration","civil","","","1998SO760229 ","","","","","","","","","USA","Tennessee","publicly traded","FDX","freight and logistics","package delivery","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"FEDERAL EXPRESS CORP","FedEx","$13,500","$0","$13,500","2001","20010406","safety-related offenses","aviation safety violation","","DRUG TESTING ","federal","agency action","Federal Aviation Administration","civil","","","2000SO950004 ","","","","","","","","","USA","Tennessee","publicly traded","FDX","freight and logistics","package delivery","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"FEDERAL EXPRESS CORP","FedEx","$12,500","$0","$12,500","2001","20010606","safety-related offenses","aviation safety violation","","HAZ MAT ","federal","agency action","Federal Aviation Administration","civil","","","2000NM710255 ","","","","","","","","","USA","Tennessee","publicly traded","FDX","freight and logistics","package delivery","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
