"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Ferguson Enterprises, Inc.","Ferguson PLC","$400,010","$0","$400,010","2013","20130816","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","07-CA-052306","","","Michigan","Detroit","","","","","United Kingdom","","publicly traded","","building materials","building materials","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.","Penalty amount is backpay calculation by NLRB; records show that amount was not paid as of 3/30/2017."
"Ferguson Enterprises, Inc. d/b/a EPPCO, a Ferguson Enterprise","Ferguson PLC","$6,624","$0","$6,624","2002","20020201","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","34-CA-09849-001","","","Connecticut","Newington","","06111","221122","221122: Electric Power Distribution","United Kingdom","","publicly traded","","building materials","building materials","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"FERGUSON ENTERPRISES INC","Ferguson PLC","$31,600","$0","$31,600","2009","20091113","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Michigan","DETROIT","12121 LIVERNOIS AVE","48204","237110","237110: Water and Sewer Line and Related Structures Construction","United Kingdom","","publicly traded","","building materials","building materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"FERGUSON FIRE&FABRICATION INC DBA LINCOLN PRODUCTS","Ferguson PLC","$16,200","$0","$16,200","2010","20100602","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","INDUSTRY","18825 SAN JOSE AVENUE","91748","561910","561910: Packaging and Labeling Services","United Kingdom","","publicly traded","","building materials","building materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"FERGUSON FIRE AND FABRICATION INC","Ferguson PLC","$8,500","$0","$8,500","2008","20080416","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Minnesota","MINNEAPOLIS","401 HARDING STREET NE","55413","332996","332996: Fabricated Pipe and Pipe Fitting Manufacturing","United Kingdom","","publicly traded","","building materials","building materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"FERGUSON ENTERPRISES INC","Ferguson PLC","$9,750","$0","$9,750","2007","20070405","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Michigan","DETROIT","19645 SAWYER","48228","237110","237110: Water and Sewer Line and Related Structures Construction","United Kingdom","","publicly traded","","building materials","building materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"FERGUSON ENTERPRISES INC","Ferguson PLC","$11,620","$0","$11,620","2007","20070508","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Michigan","DETROIT","8 MILE RD BETWEEN VANDYKE & HOOVER","48234","237110","237110: Water and Sewer Line and Related Structures Construction","United Kingdom","","publicly traded","","building materials","building materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"FERGUSON ENTERPRISES INC","Ferguson PLC","$8,000","$0","$8,000","2006","20060112","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Michigan","DETROIT","2457 & 2465 WOODWARD BLVD","48226","236220","236220: Commercial and Institutional Building Construction","United Kingdom","","publicly traded","","building materials","building materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"FERGUSON ENTERPRISES INC","Ferguson PLC","$5,600","$0","$5,600","2005","20050510","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Michigan","GIBRALTER","27790 BURNHAM","48173","237120","237120: Oil and Gas Pipeline and Related Structures Construction","United Kingdom","","publicly traded","","building materials","building materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"FERGUSON ENTERPRISES, INC.","Ferguson PLC","$6,077","$0","$6,077","2003","20030612","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","North Carolina","GREENVILLE","3108 S. MEMORIAL DR.","27834","423720","423720: Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers","United Kingdom","","publicly traded","","building materials","building materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"FERGUSON ENTERPRISES INC","Ferguson PLC","$6,250","$0","$6,250","2001","20011203","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Michigan","DETROIT","2001 ST ANTOINE","48226","000000","","United Kingdom","","publicly traded","","building materials","building materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"FERGUSON ENTERPRISES INC DBA FERGUSON #607","Ferguson PLC","$5,185","$0","$5,185","2003","20031120","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","HOLLYWOOD","1156 N. MCCADDEN PL.","90038","423720","423720: Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers","United Kingdom","","publicly traded","","building materials","building materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
