"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"GLOBE SPECIALTY METALS","Ferroglobe","$14,625","$0","$14,625","2009","20090728","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","West Virginia","ALLOY","ROUTE 60, EAST","25002","331112","331112: Electrometallurgical Ferroalloy Product Manufacturing","United Kingdom","","publicly traded","GSM","metals","metals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"WEST VIRGINIA ALLOYS, INC.","Ferroglobe","$14,000","$0","$14,000","2006","20060713","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","West Virginia","ALLOY","ROUTE 60","25002","331112","331112: Electrometallurgical Ferroalloy Product Manufacturing","United Kingdom","","publicly traded","GSM","metals","metals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GLOBE METALLURGICAL INC.","Ferroglobe","$8,550","$0","$8,550","2004","20040728","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","SELMA","2401 OLD MONTGOMERY HWY.","36703","331419","331419: Primary Smelting and Refining of Nonferrous Metal (except Copper and Aluminum)","United Kingdom","","publicly traded","GSM","metals","metals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GLOBE METALLURGICAL INC.","Ferroglobe","$32,000","$0","$32,000","2004","20040528","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","SELMA","2401 OLD MONTGOMERY HWY.","36703","331419","331419: Primary Smelting and Refining of Nonferrous Metal (except Copper and Aluminum)","United Kingdom","","publicly traded","GSM","metals","metals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GLOBE METALLURGICAL, INC.","Ferroglobe","$9,120","$0","$9,120","2005","20050624","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","BEVERLY","COUNTY ROAD 32","45715","331112","331112: Electrometallurgical Ferroalloy Product Manufacturing","United Kingdom","","publicly traded","GSM","metals","metals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Globe Metallurgical, Inc.","Ferroglobe","$35,000","$0","$35,000","2010","20101229","environment-related offenses","environmental violation","","Air Program","state","agency action","Alabama Department of Environmental Management","civil","","","11-037-CAP","","","Alabama","","","","","","United Kingdom","","publicly traded","GSM","metals","metals","http://adem.alabama.gov/compInfo/2011orders.pdf",""
"Globe Metallurgical, Inc.","Ferroglobe","$10,000","$0","$10,000","2007","20070517","environment-related offenses","environmental violation","","Air","state","agency action","Alabama Department of Environmental Management","civil","","","07-111-CAP","","","Alabama","","","","","","United Kingdom","","publicly traded","GSM","metals","metals","http://adem.alabama.gov/compInfo/2007orders.pdf",""
"Globe Metallurgical, Inc.","Ferroglobe","$6,000","$0","$6,000","2002","20021009","environment-related offenses","environmental violation","","Air","state","agency action","Alabama Department of Environmental Management","civil","","","03-006-CAP       ","","","Alabama","","","","","","United Kingdom","","publicly traded","GSM","metals","metals","List of FY2003 ADEM Administrative Orders obtained via an open records request on October 5, 2020.",""
"ALDEN RESOURCES, LLC","Ferroglobe","$175,000","$0","$175,000","2019","20191216","environment-related offenses","environmental violation","","water pollution violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","DOW -33973","","","Kentucky","","","","","","United Kingdom","","publicly traded","GSM","metals","metals","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"ALDEN RESOURCES LLC","Ferroglobe","$6,100","$0","$6,100","2008","20080818","environment-related offenses","environmental violation","","mining violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","PAC -29355","","","Kentucky","","","","","","United Kingdom","","publicly traded","GSM","metals","metals","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"WEST VIRGINIA ALLOYS, INC.","Ferroglobe","$60,000","$0","$60,000","2011","20111115","environment-related offenses","environmental violation","","air pollution violation","state","agency action","West Virginia Department of Environmental Protection","civil","","","","","","West Virginia","","","","","","United Kingdom","","publicly traded","GSM","metals","metals","https://documents.dep.wv.gov/AppXtender",""
