"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Fincantieri Marine Group LLC","Fincantieri","$6,750","$0","$6,750","2012","20121109","safety-related offenses","motor vehicle safety violation","","","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Wisconsin","STURGEON BAY","","","","","Italy","","publicly traded","","heavy equipment","shipbuilding","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2013-pdf",""
"FINCANTIERI MARINE GROUP LLC","Fincantieri","$8,000","$0","$8,000","2012","20120413","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","STURGEON BAY","605 N THIRD AVENUE","54235","336611","336611: Ship Building and Repairing","Italy","","publicly traded","","heavy equipment","shipbuilding","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"FINCANTIERI MARINE GROUP LLC","Fincantieri","$6,000","$0","$6,000","2012","20120413","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","STURGEON BAY","605 N THIRD AVENUE","54235","336611","336611: Ship Building and Repairing","Italy","","publicly traded","","heavy equipment","shipbuilding","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"FINCANTIERI MARINE GROUP LLC","Fincantieri","$5,610","$0","$5,610","2014","20140225","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","STURGEON BAY","605 N THIRD AVENUE","54235","336611","336611: Ship Building and Repairing","Italy","","publicly traded","","heavy equipment","shipbuilding","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"FINCANTIERI MARINE GROUP, LLC","Fincantieri","$5,512","$0","$5,512","2014","20140520","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","MARINETTE","1600 ELY STREET","54143","336611","336611: Ship Building and Repairing","Italy","","publicly traded","","heavy equipment","shipbuilding","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"FINCANTIERI MARINE GROUP, LLC","Fincantieri","$8,000","$0","$8,000","2016","20160325","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","MARINETTE","1600 ELY STREET","54143","336611","336611: Ship Building and Repairing","Italy","","publicly traded","","heavy equipment","shipbuilding","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"FINCANTIERI MARINE GROUP, LLC","Fincantieri","$10,000","$0","$10,000","2017","20170418","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","MARINETTE","1600 ELY STREET","54143","336611","336611: Ship Building and Repairing","Italy","","publicly traded","","heavy equipment","shipbuilding","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"FINCANTIERI MARINE GROUP, LLC","Fincantieri","$9,999","$0","$9,999","2018","20180328","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","MARINETTE","1600 ELY STREET","54143","336611","336611: Ship Building and Repairing","Italy","","publicly traded","","heavy equipment","shipbuilding","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"FINCANTIERI BAY SHIPBUILDING","Fincantieri","$16,482","$0","$16,482","2018","20180612","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","STURGEON BAY","605 N THIRD AVENUE","54235","336611","336611: Ship Building and Repairing","Italy","","publicly traded","","heavy equipment","shipbuilding","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"FINCANTIERI MARINE GROUP, LLC","Fincantieri","$10,420","$0","$10,420","2019","20190312","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","STURGEON BAY","605 N THIRD AVENUE","54235","336611","336611: Ship Building and Repairing","Italy","","publicly traded","","heavy equipment","shipbuilding","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
