"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Flowserve Corporation","Flowserve","$6,574,225","$0","$6,574,225","2008","20080221","competition-related offenses","Foreign Corrupt Practices Act","","Flowserve settled allegations that from 2001 through 2003 two of its subsidiaries entered into a total of twenty contracts in which $646,488 in kickback payments were made and another $173,758 were authorized in connection with sales of industrial equipment to Iraqi government entities under the U.N. Oil for Food Program.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","Texas","publicly traded","FLS","industrial equipment","industrial equipment","https://www.sec.gov/litigation/litreleases/2008/lr20461.htm",""
"Flowserve Corporation","Flowserve","$4,000,000","$0","$4,000,000","2008","20080221","competition-related offenses","kickbacks and bribery","","Flowserve Corporation agreed to pay a $4 million penalty as part of an agreement with the U.S. government regarding charges brought in connection with an ongoing investigation related to the United Nations Oil for Food program.","federal","agency action","Justice Department Criminal Division","criminal","deferred prosecution agreement","","","","","","","","","","","USA","Texas","publicly traded","FLS","industrial equipment","industrial equipment","https://www.justice.gov/archive/opa/pr/2008/February/08_crm_132.html",""
"Flowserve Corporation","Flowserve","$487,908","$0","$487,908","2003","20030530","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","06-CA-32958-001","","","Pennsylvania","Williamsport","","17701","339999","339999: All Other Miscellaneous Manufacturing","USA","Texas","publicly traded","FLS","industrial equipment","industrial equipment","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Flowserve Corporation","Flowserve","$350,000","$0","$350,000","2005","20050324","financial offenses","investor protection violation","","Flowserve Corporation, a manufacturer of precision-engineered flow control equipment headquartered in Irving, Texas, agreed to pay $350,000 to settle allegations of violating Regulation FD and Section 13(a) prohibitions against selectively disclosing material nonpublic information to certain persons -- securities analysts, broker-dealers, investment advisers and institutional investors -- before disclosing the same information to the public.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","Texas","publicly traded","FLS","industrial equipment","industrial equipment","https://www.sec.gov/news/press/2005-41.htm",""
"FLOWSERVE CORPORATION","Flowserve","$68,796","$0","$68,796","2003","20031215","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","09-CA-39005-001","","","Ohio","Dayton","","45404","333911","333911: Pump and Pumping Equipment Manufacturing","USA","Texas","publicly traded","FLS","industrial equipment","industrial equipment","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Flowserve Corporation","Flowserve","$10,173","$0","$10,173","2012","20120412","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1588079","","","Texas","Irving","","75039","333911","333911: Pump and Pumping Equipment Manufacturing","USA","Texas","publicly traded","FLS","industrial equipment","industrial equipment","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Flowserve Australia Pty. Ltd. (Australia)","Flowserve","$5,000","$0","$5,000","2011","20110928","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","USA","Texas","publicly traded","FLS","industrial equipment","industrial equipment","http://efoia.bis.doc.gov/index.php/component/docman/doc_view/621-e2229?Itemid=",""
"Flowserve B.V. (Netherlands)","Flowserve","$310,000","$0","$310,000","2011","20110928","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","USA","Texas","publicly traded","FLS","industrial equipment","industrial equipment","http://efoia.bis.doc.gov/index.php/component/docman/doc_view/627-e2235?Itemid=",""
"Flowserve Canada Corp. (Canada)","Flowserve","$25,000","$0","$25,000","2011","20110928","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","USA","Texas","publicly traded","FLS","industrial equipment","industrial equipment","http://efoia.bis.doc.gov/index.php/component/docman/doc_view/622-e2230?Itemid=",""
"Flowserve GB Ltd. (United Kingdom)","Flowserve","$405,000","$0","$405,000","2011","20110928","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","USA","Texas","publicly traded","FLS","industrial equipment","industrial equipment","http://efoia.bis.doc.gov/index.php/component/docman/doc_view/630-e2238?Itemid=",""
"Flowserve Hamburg GmbH (Germany)","Flowserve","$125,000","$0","$125,000","2011","20110928","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","USA","Texas","publicly traded","FLS","industrial equipment","industrial equipment","http://efoia.bis.doc.gov/index.php/component/docman/doc_view/625-e2233?Itemid=",""
"Flowserve Pompes S.A.S. (Arnage, France)","Flowserve","$135,000","$0","$135,000","2011","20110928","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","USA","Texas","publicly traded","FLS","industrial equipment","industrial equipment","http://efoia.bis.doc.gov/index.php/component/docman/doc_view/623-e2231?Itemid=",""
"Flowserve Pte. Ltd. (Singapore)","Flowserve","$510,000","$0","$510,000","2011","20110928","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","USA","Texas","publicly traded","FLS","industrial equipment","industrial equipment","http://efoia.bis.doc.gov/index.php/component/docman/doc_view/628-e2236?Itemid=",""
"Flowserve Corporation Pump Division","Flowserve","$1,000,000","$0","$1,000,000","2005","20050204","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","22-CA-25250-001","","","New Jersey","Phillipsburg","","08865","333911","333911: Pump and Pumping Equipment Manufacturing","USA","Texas","publicly traded","FLS","industrial equipment","industrial equipment","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Flowserve S.A.S. France (Thiers, France)","Flowserve","$210,000","$0","$210,000","2011","20110928","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","USA","Texas","publicly traded","FLS","industrial equipment","industrial equipment","http://efoia.bis.doc.gov/index.php/component/docman/doc_view/624-e2232?Itemid=",""
"Flowserve Spain S.L. (Spain)","Flowserve","$20,000","$0","$20,000","2011","20110928","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","USA","Texas","publicly traded","FLS","industrial equipment","industrial equipment","http://efoia.bis.doc.gov/index.php/component/docman/doc_view/629-e2237?Itemid=",""
"Flowserve Corporation (United States)","Flowserve","$725,000","$0","$725,000","2011","20110928","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","USA","Texas","publicly traded","FLS","industrial equipment","industrial equipment","http://efoia.bis.doc.gov/index.php/component/docman/doc_view/620-e2228?Itemid=",""
"FLOWSERVE","Flowserve","$5,263","$0","$5,263","2009","20091103","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Nebraska","HASTINGS","1341 W 2ND ST","68901","333911","333911: Pump and Pumping Equipment Manufacturing","USA","Texas","publicly traded","FLS","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"FLOWSERVE","Flowserve","$7,500","$0","$7,500","2009","20091029","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Nebraska","HASTINGS","1341 W 2ND ST","68901","333911","333911: Pump and Pumping Equipment Manufacturing","USA","Texas","publicly traded","FLS","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"FLOWSERVE CORPORATION","Flowserve","$5,000","$0","$5,000","2007","20070907","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","DAYTON","635 N. IRWIN STREET","45403","331513","331513: Steel Foundries (except Investment)","USA","Texas","publicly traded","FLS","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
