"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Fluor-B&W Portsmouth, LLC","Fluor","$243,750","$0","$243,750","2015","20150129","safety-related offenses","nuclear safety violation","","On January 29, 2015, the U.S. Department of Energy's (DOE) Office of Enforcement issued a Preliminary Notice of Violation (NEA-2015-01) to Fluor-B&W Portsmouth, LLC, for violations of 10 C.F.R. Parts 820, 830, and 835 associated with the improper alteration of radiation protection records at DOE's Portsmouth Gaseous Diffusion Plant.","federal","agency action","Energy Department Office of Enforcement","civil","","","","","","","","","","","","USA","Texas","publicly traded","NYSE: FLR","construction and engineering","construction & engineering","http://energy.gov/sites/prod/files/2015/01/f19/1-29-15-FBP-PNOV-NEA-2015-01.pdf",""
"Fluor-B&W Portsmouth, LLC","Fluor","$150,000","$0","$150,000","2014","20140708","safety-related offenses","nuclear safety violation","","On July 8, 2014, the U.S. Department of Energy (DOE) Office of Independent Enterprise Assessments' Office of Enforcement issued a Preliminary Notice of Violation (WEA-2014-02) to Fluor-B&W Portsmouth, LLC, for violations of 10 C.F.R. 851 associated with the tip-over of a 60-ton hydraulic crane that occurred at DOE's Portsmouth Gaseous Diffusion Plant. Penalty took the form of a contract fee reduction.","federal","agency action","Energy Department Office of Enforcement","civil","","","","","","","","","","","","USA","Texas","publicly traded","NYSE: FLR","construction and engineering","construction & engineering","http://energy.gov/sites/prod/files/2014/07/f17/WEA-2014-02.pdf",""
"Fluor-B&W Portsmouth, LLC","Fluor","$50,000","$0","$50,000","2015","20150312","safety-related offenses","nuclear safety violation","","On March 12, 2015, the U.S. Department of Energy's (DOE) Office of Enforcement issued a Consent Order (WCO-2015-01) to Fluor-B&W Portsmouth, LLC for deficiencies in the recognition, handling, and disposal of asbestos containing materials and worker exposure monitoring for asbestos at DOEs Portsmouth Gaseous Diffusion Plant. The contractor agreed to the Consent Order.","federal","agency action","Energy Department Office of Enforcement","civil","","","","","","","","","","","","USA","Texas","publicly traded","NYSE: FLR","construction and engineering","construction & engineering","http://energy.gov/sites/prod/files/2015/03/f20/FBP%20Consent%20Order%20033115.pdf",""
"FLUOR-B&W PORTSMOUTH, LLC","Fluor","$42,514","$0","$42,514","2015","20150206","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","09-CA-123624","","","Ohio","PIKETON","","","","","USA","Texas","publicly traded","NYSE: FLR","construction and engineering","construction & engineering","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.",""
"Fluor Hanford Inc.","Fluor","$4,000,000","$0","$4,000,000","2011","20110617","competition-related offenses","kickbacks and bribery","nuclear safety violation","Fluor Hanford Inc., a wholly-owned subsidiary of Fluor Federal Services Inc. and Fluor Corporation, agreed to pay $4 million to resolve allegations that it knowingly submitted false claims and paid and received kickbacks relating to a contract to operate and manage mixed radioactive waste at the Department of Energy's Hanford Nuclear Site in Hanford, Washington.","federal","agency action","Energy Department referral to the Justice Department","civil","","","","","","","","","","","","USA","Texas","publicly traded","NYSE: FLR","construction and engineering","construction & engineering","https://www.justice.gov/opa/pr/texas-based-fluor-corporation-pay-us-4-million-resolve-false-claims-act-and-anti-kickback-act",""
"Fluor Hanford LLC","Fluor","$1,100,000","$0","$1,100,000","2013","20130403","government-contracting-related offenses","False Claims Act and related","","Fluor Hanford LLC agreed to pay $1.1 million to settle allegations that Fluor violated the False Claims Act by using federal funds for lobbying.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Texas","publicly traded","NYSE: FLR","construction and engineering","construction & engineering","https://www.justice.gov/opa/pr/fluor-hanford-agrees-pay-11-million-resolve-allegations-improper-lobbying",""
"Fluor Constructors International Inc.","Fluor","$20,000","$0","$20,000","2000","20000602","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","07-CA-41888-001","","","Michigan","Dearborn","","48126","236220","236220: Commercial and Institutional Building Construction","USA","Texas","publicly traded","NYSE: FLR","construction and engineering","construction & engineering","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Fluor Daniel","Fluor","$267,074","$0","$267,074","2004","20040512","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","15-CA-13708-001","","","Louisiana","HAHNVILLE","","70057","237990","237990: Other Heavy and Civil Engineering Construction","USA","Texas","publicly traded","NYSE: FLR","construction and engineering","construction & engineering","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Fluor-Daniel, Inc.","Fluor","$10,342,578","$0","$10,342,578","2010","20100422","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","28-CA-12750-001","","","California","Irvine","","92730","237130","237130: Power and Communication Line and Related Structures Construction","USA","Texas","publicly traded","NYSE: FLR","construction and engineering","construction & engineering","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Fluor Federal Services","Fluor","$100,000","$0","$100,000","2000","20000725","safety-related offenses","nuclear safety violation","","On July 25, 2000, the U. S. Department of Energy issued a Consent Order (EA-2000-10) to Fluor Federal Services for quality problems with the procurement of safety class piping for the W-314 Project at the Tank Farm Waste Remediation System at DOE's Hanford site and deficiencies in the contractor's procurement quality assurance program.  The contractor agreed to the Consent Order.","federal","agency action","Energy Department Office of Enforcement","civil","","","","","","","","","","","","USA","Texas","publicly traded","NYSE: FLR","construction and engineering","construction & engineering","https://energy.gov/sites/prod/files/2013/08/f2/ea-2000-10R01.pdf",""
