"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Arguello Inc.","Freeport-McMoRan","$20,000","$0","$20,000","2008","20080408","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Arizona","publicly traded","FCX","mining and minerals","mining","https://www.bsee.gov/site-page/2008-civil-penalties",""
"CLIMAX MOLYBDENUM","Freeport-McMoRan","$15,000","$0","$15,000","2009","20090123","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Arizona","publicly traded","FCX","mining and minerals","mining","https://www.fra.dot.gov/Elib/Document/282","Year is fiscal year."
"Freeport-McMoRan Sulphur LLC","Freeport-McMoRan","$17,500","$0","$17,500","2001","20010505","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Arizona","publicly traded","FCX","mining and minerals","mining","https://www.bsee.gov/site-page/2001-civil-penalties",""
"Freeport-McMoRan Corporation","Freeport-McMoRan","$6,800,000","$0","$6,800,000","2012","20120424","environment-related offenses","environmental violation","mining violation","The Department of Justice and the Department of the Interior announced that Freeport-McMoRan Corporation and Freeport-McMoRan Morenci Inc. agreed to pay $6.8 million to settle federal and state natural resource damages claims related to the Morenci copper mine in southeastern Arizona.","federal","agency action","Justice Department multiagency referral","civil","","","","","","Arizona","","","","","","USA","Arizona","publicly traded","FCX","mining and minerals","mining","http://www.justice.gov/opa/pr/freeport-mcmoran-corp-and-freeport-mcmoran-morenci-inc-will-pay-68-million-damages-injuries",""
"Freeport McMoran Copper and Gold, Inc.","Freeport-McMoRan","$50,000","$0","$50,000","2011","20110321","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","28-CA-23227-001","","","Arizona","Phoenix","","85004","212234","212234: Copper Ore and Nickel Ore Mining","USA","Arizona","publicly traded","FCX","mining and minerals","mining","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Freeport-McMoRan Energy LLC","Freeport-McMoRan","$50,000","$0","$50,000","2007","20070910","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Arizona","publicly traded","FCX","mining and minerals","mining","https://www.bsee.gov/site-page/2007-civil-penalties",""
"Freeport-McMoRan Energy LLC","Freeport-McMoRan","$20,000","$0","$20,000","2012","20121019","environment-related offenses","environmental violation","offshore drilling violation","During a BSEE inspection, inspectors discovered an open hole, created by missing grating in the wellbay around the riser stack. The open hole was not properly barricaded to protect personnel from entering the hazardous area.  October 18, 2011 ","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Arizona","publicly traded","FCX","mining and minerals","mining","https://www.bsee.gov/sites/bsee.gov/files/summary-of-civil-penalties-paid/safety/cp-paid-2012.pdf",""
"Freeport-McMoran Morenci Inc.","Freeport-McMoRan","$70,000","$0","$70,000","2011","20111103","safety-related offenses","workplace safety or health violation","mining violation","The U.S. Department of Labor's Mine Safety and Health Administration announced today that the Federal Mine Safety and Health Review Commission has upheld two civil penalties issued to Freeport-McMoran Morenci Inc. in Greenlee County, Ariz., in the Sept. 1, 2008, death of a miner. Raymond Saldana, a 67-year-old contractor consultant, had been working on a belt replacement project at the surface copper mine's Number 6 bedding plant when he fell nearly 30 feet to his death through an opening on an elevated walkway. The 4-by-5-foot hole, created by the removal of two steel gratings, was marked off only by a 3.5-inch-wide yellow caution tape affixed to one side of the opening.","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Arizona","","","","","","USA","Arizona","publicly traded","FCX","mining and minerals","mining","https://web.archive.org/web/20120925144613/http://www.msha.gov/MEDIA/PRESS/2011/NR111103.asp",""
"Freeport-McMoRan Oil & Gas LLC","Freeport-McMoRan","$10,000","$0","$10,000","2016","20161206","environment-related offenses","environmental violation","offshore drilling violation","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Arizona","publicly traded","FCX","mining and minerals","mining","https://www.bsee.gov/sites/bsee.gov/files/summary-of-civil-penalties-paid//cy2016-cp-paid.pdf",""
"McMoRan Oil & Gas","Freeport-McMoRan","$15,000","$0","$15,000","2009","20090901","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Arizona","publicly traded","FCX","mining and minerals","mining","https://www.bsee.gov/sites/bsee.gov/files/summary-of-civil-penalties-paid/safety/cp-paid-2009-webpage.pdf",""
