"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"GATX Corp.","GATX","$15,000","$0","$15,000","2007","20070330","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Illinois","publicly traded","GMT","miscellaneous services","railcar leasing","Taken from the Federal Railroad Administration's FY2007 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"GATX Corp.","GATX","$9,300","$0","$9,300","2007","20070131","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Illinois","publicly traded","GMT","miscellaneous services","railcar leasing","Taken from the Federal Railroad Administration's FY2007 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"GATX Corp.","GATX","$6,200","$0","$6,200","2007","20070131","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Illinois","publicly traded","GMT","miscellaneous services","railcar leasing","Taken from the Federal Railroad Administration's FY2007 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"GATX Corporation","GATX","$14,500","$0","$14,500","2009","20090812","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Illinois","publicly traded","GMT","miscellaneous services","railcar leasing","https://www.fra.dot.gov/Elib/Document/282","Year is fiscal year."
"GATX Corporation","GATX","$8,400","$0","$8,400","2010","20100825","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Illinois","publicly traded","GMT","miscellaneous services","railcar leasing","https://www.fra.dot.gov/eLib/details/L01493#p1_z5_gD_lEA",""
"GATX Corporation","GATX","$7,000","$0","$7,000","2011","20110530","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Illinois","publicly traded","GMT","miscellaneous services","railcar leasing","https://www.fra.dot.gov/eLib/details/L01494#p1_z5_gD_lEA",""
"GATX Corporation","GATX","$6,000","$0","$6,000","2013","20130426","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Illinois","publicly traded","GMT","miscellaneous services","railcar leasing","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"GATX LLC","GATX","$15,505","$0","$15,505","2005","20050410","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1388909","","","Georgia","Powder Springs","","30127","811111","811111: General Automotive Repair","USA","Illinois","publicly traded","GMT","miscellaneous services","railcar leasing","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"GATX Logistics, Inc.","GATX","$28,949","$0","$28,949","2002","20020326","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","03-CA-23064-001","","","New York","Liverpool","","13090","453998","453998: All Other Miscellaneous Store Retailers (except Tobacco Stores)","USA","Illinois","publicly traded","GMT","miscellaneous services","railcar leasing","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"GATX Rail Corporation","GATX","$10,500","$0","$10,500","2009","20091210","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Illinois","publicly traded","GMT","miscellaneous services","railcar leasing","https://www.fra.dot.gov/eLib/details/L01493#p1_z5_gD_lEA",""
"GATX Rail Corporation","GATX","$8,000","$0","$8,000","2013","20130426","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Illinois","publicly traded","GMT","miscellaneous services","railcar leasing","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"GATX Rail Corporation","GATX","$6,000","$0","$6,000","2013","20130426","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Illinois","publicly traded","GMT","miscellaneous services","railcar leasing","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"GATX TERMINAL INC.","GATX","$15,000","$0","$15,000","2009","20090812","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Illinois","publicly traded","GMT","miscellaneous services","railcar leasing","https://www.fra.dot.gov/Elib/Document/282","Year is fiscal year."
"GATX CORPORATION","GATX","$10,000","$0","$10,000","2010","20100316","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Louisiana","CAMP MINDEN","1421 BRAVO STREET","71058","488210","488210: Support Activities for Rail Transportation","USA","Illinois","publicly traded","GMT","miscellaneous services","railcar leasing","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GATX RAIL CORPORATION","GATX","$10,500","$0","$10,500","2008","20080229","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","HEARNE","1401 WEST BROWN STREET","77859","488210","488210: Support Activities for Rail Transportation","USA","Illinois","publicly traded","GMT","miscellaneous services","railcar leasing","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GATX Corporation","GATX","$6,500","$0","$6,500","2015","20150114","environment-related offenses","environmental violation","","Air Quality Act","state","agency action","Georgia Environmental Protection Division","civil","","","EPD-AQC-6775","","","Georgia","","","","","","USA","Illinois","publicly traded","GMT","miscellaneous services","railcar leasing","Contained in a spreadsheet obtained from the agency on October 7, 2020 in response to an open records request. The spreadsheet contains cases from the enforcement database accessible at https://enfo.gaepd.org/Orders/Search",""
"GATX Corporation","GATX","$12,000","$0","$12,000","2019","20190514","environment-related offenses","environmental violation","","air pollution","local","agency action","South Coast (CA) Air Quality Management District ","civil","","","","","","California","","","","","","USA","Illinois","publicly traded","GMT","miscellaneous services","railcar leasing","http://www.aqmd.gov/docs/default-source/Agendas/Governing-Board/2019/2019-jul12-014.pdf?sfvrsn=2",""
"GATX RAIL CORPORATION","GATX","$15,840","$0","$15,840","2014","20140827","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","HEARNE","1401 WEST BROWN STREET","77859","488210","488210: Support Activities for Rail Transportation","USA","Illinois","publicly traded","GMT","miscellaneous services","railcar leasing","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GATX CORPORATION","GATX","$8,870","$0","$8,870","2015","20150512","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","COLTON","20878 SLOVER AVENUE","92324","532411","532411: Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing","USA","Illinois","publicly traded","GMT","miscellaneous services","railcar leasing","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
