"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Lotus","Geely","$82,000","$0","$82,000","2013","20130522","safety-related offenses","motor vehicle safety violation","","Importation of 51 noncompliant vehicles (outside an exemption). 49 USC 30112(a), 49 CFR 571.208 S14.7","federal","agency action","National Highway Traffic Safety Administration","civil","","","","","","","","","","","","China","","privately held","","motor vehicles","automobiles","https://www.nhtsa.gov/laws-regulations/civil-penalty-settlement-amounts",""
"Volvo","Geely","$17,600","$0","$17,600","2000","20000629","safety-related offenses","motor vehicle safety violation","","Failure to notify NHTSA of service campaigns","federal","agency action","National Highway Traffic Safety Administration","civil","","","","","","","","","","","","China","","privately held","","motor vehicles","automobiles","https://one.nhtsa.gov/Laws-&-Regulations/Civil_Penalties_1999%E2%80%932012",""
"VOLVO CARS OF NORTHERN AMERICA, LLC","Geely","$5,325","$0","$5,325","2000","20001102","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","RUTHERFORD","300 HOWMEDICA WAY","07070","000000","","China","","privately held","","motor vehicles","automobiles","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Volvo","Geely","$1,454,288","$0","$1,454,288","2015","20151201","environment-related offenses","fuel economy (CAFE) violation","","Import Passenger Car: 2014","federal","agency action","National Highway Traffic Safety Administration","civil","","","","","","","","","","","","China","","privately held","","motor vehicles","automobiles","https://one.nhtsa.gov/cafe_pic/CAFE_PIC_Fines_LIVE.html",""
"Volvo","Geely","$835,500","$0","$835,500","2015","20151201","environment-related offenses","fuel economy (CAFE) violation","","Light Truck: 2014","federal","agency action","National Highway Traffic Safety Administration","civil","","","","","","","","","","","","China","","privately held","","motor vehicles","automobiles","https://one.nhtsa.gov/cafe_pic/CAFE_PIC_Fines_LIVE.html",""
"Volvo","Geely","$298,573","$0","$298,573","2015","20150201","environment-related offenses","fuel economy (CAFE) violation","","Light Truck: 2013","federal","agency action","National Highway Traffic Safety Administration","civil","","","","","","","","","","","","China","","privately held","","motor vehicles","automobiles","https://one.nhtsa.gov/cafe_pic/CAFE_PIC_Fines_LIVE.html",""
"Volvo","Geely","$4,627,920","$0","$4,627,920","2014","20141201","environment-related offenses","fuel economy (CAFE) violation","","Import Passenger Car: 2013","federal","agency action","National Highway Traffic Safety Administration","civil","","","","","","","","","","","","China","","privately held","","motor vehicles","automobiles","https://one.nhtsa.gov/cafe_pic/CAFE_PIC_Fines_LIVE.html",""
"Volvo","Geely","$4,609,000","$0","$4,609,000","2014","20140501","environment-related offenses","fuel economy (CAFE) violation","","Import Passenger Car: 2012","federal","agency action","National Highway Traffic Safety Administration","civil","","","","","","","","","","","","China","","privately held","","motor vehicles","automobiles","https://one.nhtsa.gov/cafe_pic/CAFE_PIC_Fines_LIVE.html",""
"Volvo","Geely","$534,380","$0","$534,380","2014","20140501","environment-related offenses","fuel economy (CAFE) violation","","Light Truck: 2012","federal","agency action","National Highway Traffic Safety Administration","civil","","","","","","","","","","","","China","","privately held","","motor vehicles","automobiles","https://one.nhtsa.gov/cafe_pic/CAFE_PIC_Fines_LIVE.html",""
"Volvo","Geely","$2,143,394","$0","$2,143,394","2013","20130201","environment-related offenses","fuel economy (CAFE) violation","","Import Passenger Car: 2011","federal","agency action","National Highway Traffic Safety Administration","civil","","","","","","","","","","","","China","","privately held","","motor vehicles","automobiles","https://one.nhtsa.gov/cafe_pic/CAFE_PIC_Fines_LIVE.html",""
"Volvo","Geely","$2,091,408","$0","$2,091,408","2013","20130201","environment-related offenses","fuel economy (CAFE) violation","","Light Truck: 2011","federal","agency action","National Highway Traffic Safety Administration","civil","","","","","","","","","","","","China","","privately held","","motor vehicles","automobiles","https://one.nhtsa.gov/cafe_pic/CAFE_PIC_Fines_LIVE.html",""
"Volvo","Geely","$757,086","$0","$757,086","2012","20120101","environment-related offenses","fuel economy (CAFE) violation","","Light Truck: 2010","federal","agency action","National Highway Traffic Safety Administration","civil","","","","","","","","","","","","China","","privately held","","motor vehicles","automobiles","https://one.nhtsa.gov/cafe_pic/CAFE_PIC_Fines_LIVE.html",""
"Lotus","Geely","$35,745","$0","$35,745","2003","20030601","environment-related offenses","fuel economy (CAFE) violation","","Import Passenger Car: 2001","federal","agency action","National Highway Traffic Safety Administration","civil","","","","","","","","","","","","China","","privately held","","motor vehicles","automobiles","https://one.nhtsa.gov/cafe_pic/CAFE_PIC_Fines_LIVE.html",""
"Lotus","Geely","$43,758","$0","$43,758","2002","20020401","environment-related offenses","fuel economy (CAFE) violation","","Import Passenger Car: 2000","federal","agency action","National Highway Traffic Safety Administration","civil","","","","","","","","","","","","China","","privately held","","motor vehicles","automobiles","https://one.nhtsa.gov/cafe_pic/CAFE_PIC_Fines_LIVE.html",""
"Lotus","Geely","$51,909","$0","$51,909","2001","20011201","environment-related offenses","fuel economy (CAFE) violation","","Import Passenger Car: 1999","federal","agency action","National Highway Traffic Safety Administration","civil","","","","","","","","","","","","China","","privately held","","motor vehicles","automobiles","https://one.nhtsa.gov/cafe_pic/CAFE_PIC_Fines_LIVE.html",""
"Lotus","Geely","$34,782","$0","$34,782","2000","20000601","environment-related offenses","fuel economy (CAFE) violation","","Import Passenger Car: 1998","federal","agency action","National Highway Traffic Safety Administration","civil","","","","","","","","","","","","China","","privately held","","motor vehicles","automobiles","https://one.nhtsa.gov/cafe_pic/CAFE_PIC_Fines_LIVE.html",""
"Volvo Cars of North America","Geely","$104,000","$0","$104,000","2000","20000526","environment-related offenses","environmental violation","","air pollution violation","state","agency action","California Air Resources Board","civil","","","","","","California","","","","","","China","","privately held","","motor vehicles","automobiles","https://ww2.arb.ca.gov/volvo-settlement-2000",""
