"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Colorite Specialty Resins","Genstar Capital","$2,300,000","$0","$2,300,000","2008","20080819","environment-related offenses","environmental violation","","Colorite Specialty Resins agreed to perform corrective measures at its Burlington, N.J., manufacturing facility to reduce harmful emissions of vinyl chloride to resolve alleged violations of federal and state environmental laws. Colorite agreed to pay a $1.3 million civil penalty to be split between the United States and the State of New Jersey and to perform two federal environment projects valued at over $1 million.","federal","agency action","Justice Department Environment and Natural Resources Division","civil","","","","","","New Jersey","Burlington","","","","","USA","California","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.justice.gov/archive/opa/pr/2008/August/08-enrd-732.html",""
"TEKNI-PLEX, INC.","Genstar Capital","$8,970","$0","$8,970","2007","20070206","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","BRANCHBURG","201 INDUSTRIAL PKWY","08876","326140","326140: Polystyrene Foam Product Manufacturing","USA","California","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TEKNI-PLEX INC DBA DOLCO PACKAGING","Genstar Capital","$9,945","$0","$9,945","2006","20061114","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","FULLERTON","2300 RAYMER AVE","92833","326121","326121: Unlaminated Plastics Profile Shape Manufacturing","USA","California","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TEKNI-PLEX TRISEAL","Genstar Capital","$6,750","$0","$6,750","2005","20050629","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","FLEMINGTON","112 CHURCH STREET EXTENSION","08822","326121","326121: Unlaminated Plastics Profile Shape Manufacturing","USA","California","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Institutional Shareholder Services Inc.","Genstar Capital","$300,000","$0","$300,000","2013","20130523","financial offenses","investor protection violation","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","California","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.sec.gov/litigation/admin/2013/ia-3611.pdf",""
"Colorite Specialty Resins","Genstar Capital","$650,000","$650,000","$0","2008","20080819","environment-related offenses","environmental violation","","Colorite agreed to pay $650,000 to New Jersey and $650,000 to the federal government to resolve violations relating to vinyl chloride emissions. The settlement was also announced by the Justice Department; see the Violation Tracker entry at https://violationtracker.goodjobsfirst.org/violation-tracker/nj-colorite-specialty-resins","state","agency action","New Jersey Attorney General","civil","","","","","","New Jersey","","","","","","USA","California","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.nj.gov/oag/newsreleases08/pr20080819b.html",""
"2-10 HOME BUYERS WARRANTY OF VIRGINIA INC","Genstar Capital","$12,000","$0","$12,000","2002","20020711","consumer-protection-related offenses","insurance violation","","","state","agency action","Virginia Bureau of Insurance","civil","","","INS-2002-00171","","","Virginia","","","","","","USA","California","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://scc.virginia.gov/docketsearch/DOCS/gdy01!.PDF",""
"Tekni-Plex, Inc.","Genstar Capital","$64,500","$0","$64,500","2013","20130726","environment-related offenses","environmental violation","","pesticide violation","state","agency action","California Department of Pesticide Regulation","civil","","","","","","California","","","","","","USA","California","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Contained in data obtained from the agency on October 6, 2020 in response to an open records request. ",""
"Dolco Packaging","Genstar Capital","$11,118","$0","$11,118","2011","20110712","environment-related offenses","environmental violation","","Air Quality Act","state","agency action","Georgia Environmental Protection Division","civil","","","EPD-AQC-6407","","","Georgia","","","","","","USA","California","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Contained in a spreadsheet obtained from the agency on October 7, 2020 in response to an open records request. The spreadsheet contains cases from the enforcement database accessible at https://enfo.gaepd.org/Orders/Search",""
"Dolco Packaging","Genstar Capital","$10,911","$0","$10,911","2007","20071005","environment-related offenses","environmental violation","","Air Quality Act","state","agency action","Georgia Environmental Protection Division","civil","","","EPD-AQC-5709","","","Georgia","","","","","","USA","California","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Contained in a spreadsheet obtained from the agency on October 7, 2020 in response to an open records request. The spreadsheet contains cases from the enforcement database accessible at https://enfo.gaepd.org/Orders/Search",""
