"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Cornell Abraxas Group, Inc., d/b/a Abraxas Pittsburgh School","GEO Group","$32,126","$0","$32,126","2009","20090319","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","06-CA-36087-001","","","Pennsylvania","Pittsburgh","","15206","922140","922140: Correctional Institutions","USA","Florida","publicly traded","GEO","miscellaneous services","private prisons","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Cornell Companies, Inc.","GEO Group","$77,338","$0","$77,338","2008","20080524","employment-related offenses","wage and hour violation","Service Contract Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1496721","","","Pennsylvania","Philipsburg","","16866","922140","922140: Correctional Institutions","USA","Florida","publicly traded","GEO","miscellaneous services","private prisons","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Cornell Companies, Inc.","GEO Group","$33,099","$0","$33,099","2005","20050701","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1408315","","","California","Anaheim","","92805","9610","","USA","Florida","publicly traded","GEO","miscellaneous services","private prisons","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Cornell Companies, Inc.","GEO Group","$9,840","$0","$9,840","2005","20050217","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","19-CA-29228-001","","","Alaska","Anchorage","","99501","561612","561612: Security Guards and Patrol Services","USA","Florida","publicly traded","GEO","miscellaneous services","private prisons","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Cornell Companies (Donald Wyatt)","GEO Group","$5,000","$0","$5,000","2007","20070719","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","01-CA-43978-001","","","Rhode Island","Central Falls","","02863","922140","922140: Correctional Institutions","USA","Florida","publicly traded","GEO","miscellaneous services","private prisons","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Correctional Services Corporation","GEO Group","$69,042","$0","$69,042","2009","20091101","employment-related offenses","wage and hour violation","Service Contract Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1552532","","","Texas","Pearsall","","78061","922140","922140: Correctional Institutions","USA","Florida","publicly traded","GEO","miscellaneous services","private prisons","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Correctional Services Corporation","GEO Group","$28,516","$0","$28,516","2003","20030725","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","02-CA-35198-001","","","New York","Bronx","","10458","624190","624190: Other Individual and Family Services","USA","Florida","publicly traded","GEO","miscellaneous services","private prisons","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"GEO Group","GEO Group","$13,600","$0","$13,600","2013","20131220","safety-related offenses","workplace safety or health violation","","corporate-wide settlement agreement","federal","agency action","Occupational Safety & Health Administration corporate-wide settlements","civil","","","","","","","","","","","","USA","Florida","publicly traded","GEO","miscellaneous services","private prisons","https://www.osha.gov/pls/oshaweb/owadisp.show_document?p_table=CWSA&p_id=2275",""
"GEO Group, Inc.","GEO Group","$249,307","$0","$249,307","2006","20060930","employment-related offenses","wage and hour violation","Service Contract Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1432770","","","California","Taft","","93268","922140","922140: Correctional Institutions","USA","Florida","publicly traded","GEO","miscellaneous services","private prisons","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"GEO Group, Inc.","GEO Group","$140,000","$0","$140,000","2013","20130429","employment-related offenses","employment discrimination","","sexual harassment","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Arizona","","","","","","USA","Florida","publicly traded","GEO","miscellaneous services","private prisons","https://www.eeoc.gov/eeoc/newsroom/release/4-29-13.cfm","Description field shows type of discrimination that EEOC had alleged."
