"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Gilbane Building Company","Gilbane","$1,100,000","$0","$1,100,000","2015","20150318","government-contracting-related offenses","False Claims Act and related","","Gilbane Building Company agreed to pay the United States $1.1 million to resolve allegations that W.G. Mills Incorporated -- a company with which Gilbane merged in November 2010 -- violated the False Claims Act by creating a front company, Veterans Constructors Incorporated, in order to be awarded a Coast Guard contract that was designated for Service Disabled Veteran Owned Small Businesses.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Rhode Island","privately held","","construction and engineering","construction & engineering","https://www.justice.gov/opa/pr/gilbane-building-company-pay-11-million-resolve-false-claims-allegations",""
"GILBANE BUILDING COMPANY","Gilbane","$5,000","$0","$5,000","2009","20090818","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Massachusetts","NEWTON","808 BEACON STREET","02459","236220","236220: Commercial and Institutional Building Construction","USA","Rhode Island","privately held","","construction and engineering","construction & engineering","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GILBANE BUILDING COMPANY","Gilbane","$5,250","$0","$5,250","2004","20040220","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","STATE COLLEGE","332 EAST PARK AVENUE, SUITE 1","16803","236220","236220: Commercial and Institutional Building Construction","USA","Rhode Island","privately held","","construction and engineering","construction & engineering","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Gilbane Building Company","Gilbane","$62,600","$0","$62,600","2019","20190329","environment-related offenses","environmental violation","","sediment control violation","state","agency action","Maryland Department of the Environment","civil","","","","","","Maryland","","","","","","USA","Rhode Island","privately held","","construction and engineering","construction & engineering","https://mde.maryland.gov/Pages/enf_comp_2019_2.aspx",""
"GILBANE BUILDING CO.","Gilbane","$12,934","$0","$12,934","2017","20171011","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","CLEVELAND","2300 CHESTER AVE.","44115","236220","236220: Commercial and Institutional Building Construction","USA","Rhode Island","privately held","","construction and engineering","construction & engineering","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GILBANE BUILDING COMPANY","Gilbane","$7,295","$0","$7,295","2018","20180403","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Virginia","RICHMOND","275 N 9TH STREET","23225","236220","236220: Commercial and Institutional Building Construction","USA","Rhode Island","privately held","","construction and engineering","construction & engineering","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GILBANE BUILDING COMPANY","Gilbane","$20,300","$0","$20,300","2018","20180523","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","North Carolina","CHARLOTTE","620 SOUTH TRYON STREET","28202","236220","236220: Commercial and Institutional Building Construction","USA","Rhode Island","privately held","","construction and engineering","construction & engineering","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GILBANE BUILDING COMPANY","Gilbane","$6,319","$0","$6,319","2021","20210817","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Nevada","RENO","6995 LONGLEY LANE","89511","236220","236220: Commercial and Institutional Building Construction","USA","Rhode Island","privately held","","construction and engineering","construction & engineering","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GILBANE BUILDING COMPANY","Gilbane","$14,502","$0","$14,502","2021","20210727","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","PHILADELPHIA","700 RAMONA AVE","19120","236220","236220: Commercial and Institutional Building Construction","USA","Rhode Island","privately held","","construction and engineering","construction & engineering","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Gilbane Building Co","Gilbane","$46,750","$0","$46,750","2004","20041116","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","01-2004-7031","","","Connecticut","GLASTONBURY","208A NEW LONDON TURNPIKE","06033","","","USA","Rhode Island","privately held","","construction and engineering","construction & engineering","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"GILBANE BUILDING COMPANY","Gilbane","$12,500","$0","$12,500","2015","20150304","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","01-2014-2523","","","Massachusetts","NORTH READING","19 SHERMAN ROAD","01864","","","USA","Rhode Island","privately held","","construction and engineering","construction & engineering","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
