"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Givaudan Fragrances Corp.","Givaudan","$14,365","$0","$14,365","2008","20080819","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","22-CA-28414-001","","","New Jersey","East Hanover","","07936","325998","325998: All Other Miscellaneous Chemical Product and Preparation Manufacturing","Switzerland","","publicly traded","","miscellaneous manufacturing","flavorings","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Givaudan Fragrances Corporation","Givaudan","$5,457","$0","$5,457","2009","20090120","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","22-CA-28656-001","","","New Jersey","East Hanover","","07936","325998","325998: All Other Miscellaneous Chemical Product and Preparation Manufacturing","Switzerland","","publicly traded","","miscellaneous manufacturing","flavorings","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"GIVAUDAN FLAVORS CORPORATION","Givaudan","$13,500","$0","$13,500","2012","20121105","environment-related offenses","environmental violation","","air quality violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","DAQ -110071","","","Kentucky","","","","","","Switzerland","","publicly traded","","miscellaneous manufacturing","flavorings","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"GIVAUDAN FLAVORS CORP","Givaudan","$5,400","$0","$5,400","2019","20190130","environment-related offenses","environmental violation","","air quality violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","25219-NEA180001","","","New Jersey","","","","","","Switzerland","","publicly traded","","miscellaneous manufacturing","flavorings","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"GIVAUDAN FLAVORS CORP","Givaudan","$15,000","$0","$15,000","2018","20180504","environment-related offenses","environmental violation","","air quality violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","25219-PEA180001","","","New Jersey","","","","","","Switzerland","","publicly traded","","miscellaneous manufacturing","flavorings","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"GIVAUDAN FLAVORS CORP","Givaudan","$15,000","$0","$15,000","2018","20180110","environment-related offenses","environmental violation","","air quality violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","25219-PEA170005","","","New Jersey","","","","","","Switzerland","","publicly traded","","miscellaneous manufacturing","flavorings","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"GIVAUDAN FLAVORS CORP","Givaudan","$5,000","$0","$5,000","2017","20171129","environment-related offenses","environmental violation","","air quality violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","25219-PEA170003","","","New Jersey","","","","","","Switzerland","","publicly traded","","miscellaneous manufacturing","flavorings","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"GIVAUDAN FLAVORS CORP","Givaudan","$12,000","$0","$12,000","2015","20150528","environment-related offenses","environmental violation","","water quality violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","46368-NEA150001","","","New Jersey","","","","","","Switzerland","","publicly traded","","miscellaneous manufacturing","flavorings","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"GIVAUDAN FLAVORS CORP","Givaudan","$18,000","$0","$18,000","2010","20101210","environment-related offenses","environmental violation","","air quality violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","25219-NEA100001","","","New Jersey","","","","","","Switzerland","","publicly traded","","miscellaneous manufacturing","flavorings","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"GIVAUDAN FLAVORS CORPORATION","Givaudan","$33,850","$0","$33,850","2016","20160920","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","ITASCA","880 W. THORNDALE AVENUE","60143","311942","311942: Spice and Extract Manufacturing","Switzerland","","publicly traded","","miscellaneous manufacturing","flavorings","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
