"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Signal Peak Energy LLC","Global Mining Holding","$75,000","$0","$75,000","2020","20200818","environment-related offenses","environmental violation","","Strip and Underground Mine Administrative Penalty","state","agency action","Montana Department of Environmental Quality","civil","","","","","","Montana","","","","","","USA","Montana","privately held","","mining and minerals","coal mining","Contained in data received from the agency on November 30, 2020 in response to an open records request.",""
"Signal Peak Energy LLC","Global Mining Holding","$36,475","$0","$36,475","2014","20141008","environment-related offenses","environmental violation","","","state","agency action","Montana Department of Environmental Quality","civil","","","","","","Montana","","","","","","USA","Montana","privately held","","mining and minerals","coal mining","Contained in data received from the agency on November 30, 2020 in response to an open records request.",""
"Signal Peak Energy, LLC","Global Mining Holding","$26,538","$0","$26,538","2012","20121105","environment-related offenses","environmental violation","","Strip and Underground Mine Administrative Penalty","state","agency action","Montana Department of Environmental Quality","civil","","","","","","Montana","","","","","","USA","Montana","privately held","","mining and minerals","coal mining","Contained in data received from the agency on November 30, 2020 in response to an open records request.",""
"Signal Peak Energy, LLC","Global Mining Holding","$5,900","$0","$5,900","2012","20121026","environment-related offenses","environmental violation","","Strip and Underground Mine Administrative Penalty","state","agency action","Montana Department of Environmental Quality","civil","","","","","","Montana","","","","","","USA","Montana","privately held","","mining and minerals","coal mining","Contained in data received from the agency on November 30, 2020 in response to an open records request.",""
"Signal Peak Energy, LLC","Global Mining Holding","$1,000,000","$0","$1,000,000","2021","20211007","safety-related offenses","workplace safety or health violation","mining violation","Signal Peak Energy, LLC, which operates an underground coal mine near Roundup, admitted to criminal charges that it willfully violated health and safety standards and agreed to pay a $1 million fine and be put on probation.","federal","agency action","U.S. Attorney-District of Montana","criminal","","","","","","Montana","","","","","","USA","Montana","privately held","","mining and minerals","coal mining","https://www.justice.gov/usao-mt/pr/signal-peak-energy-admits-violating-health-safety-regulations-roundup-area-coal-mine",""
"Signal Peak Energy LLC","Global Mining Holding","$9,500","$0","$9,500","2009","20091229","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Montana","Roundup","","","","","USA","Montana","privately held","","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Signal Peak Energy LLC","Global Mining Holding","$52,500","$0","$52,500","2010","20100616","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Montana","Roundup","","","","","USA","Montana","privately held","","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Signal Peak Energy LLC","Global Mining Holding","$16,000","$0","$16,000","2010","20100203","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Montana","Roundup","","","","","USA","Montana","privately held","","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Signal Peak Energy LLC","Global Mining Holding","$6,000","$0","$6,000","2010","20101116","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Montana","Roundup","","","","","USA","Montana","privately held","","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Signal Peak Energy LLC","Global Mining Holding","$5,100","$0","$5,100","2010","20100521","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Montana","Roundup","","","","","USA","Montana","privately held","","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
