"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Goldman Sachs","Goldman Sachs","$5,060,000,000","$0","$5,060,000,000","2016","20160411","financial offenses","toxic securities abuses","","The Justice Department, along with federal and state partners, announced a $5.06 billion settlement with Goldman Sachs related to Goldman's conduct in the packaging, securitization, marketing, sale and issuance of residential mortgage-backed securities between 2005 and 2007. The resolution required Goldman to pay $2.385 billion in a civil penalty under the Financial Institutions Reform, Recovery and Enforcement Act and also required the bank to provide $1.8 billion in other relief, including relief to underwater homeowners, distressed borrowers and affected communities, in the form of loan forgiveness and financing for affordable housing. Goldman was also to pay $875 million to resolve claims by other federal entities and state claims.","federal","agency action","Justice Department multiagency referral","civil","","","","","","","","","","","","USA","New York","publicly traded","NYSE: GS","financial services","banking & securities","https://www.justice.gov/opa/pr/goldman-sachs-agrees-pay-more-5-billion-connection-its-sale-residential-mortgage-backed",""
"Goldman Sachs","Goldman Sachs","$330,000,000","$0","$330,000,000","2013","20130116","consumer-protection-related offenses","mortgage abuses","","Goldman Sachs and Morgan Stanley reached agreements in principle with the Federal Reserve Board to pay a total of $557 million in cash payments and other assistance to help mortgage borrowers. The Fed did not announce how the amount would be divided between the two companies but the Wall Street Journal reported on January 17, 2013 that Goldman's share would be $330 million. ","federal","agency action","Federal Reserve","civil","","","","","","","","","","","","USA","New York","publicly traded","NYSE: GS","financial services","banking & securities","http://www.federalreserve.gov/newsevents/press/bcreg/20130116a.htm",""
"Goldman Sachs","Goldman Sachs","$120,000,000","$0","$120,000,000","2016","20161221","competition-related offenses","foreign exchange market manipulation","","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","USA","New York","publicly traded","NYSE: GS","financial services","banking & securities","http://www.cftc.gov/PressRoom/PressReleases/pr7505-16",""
"Goldman Sachs","Goldman Sachs","$9,305,382","$0","$9,305,382","2003","20030904","financial offenses","investor protection violation","securities issuance or trading violation","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","New York","publicly traded","NYSE: GS","financial services","banking & securities","https://www.sec.gov/news/press/2003-107.htm",""
"Goldman Sachs","Goldman Sachs","$1,500,000","$0","$1,500,000","2012","20121207","financial offenses","investor protection violation","financial institution supervision failures","The U.S. Commodity Futures Trading Commission announced that Goldman Sachs was ordered to pay a $1.5 million civil monetary penalty to settle CFTC charges that it failed to diligently supervise its employees.","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","USA","New York","publicly traded","NYSE: GS","financial services","banking & securities","http://www.cftc.gov/PressRoom/PressReleases/pr6450-12",""
"Goldman Sachs & Co.","Goldman Sachs","$3,150,000,000","$0","$3,150,000,000","2014","20140822","financial offenses","toxic securities abuses","","The Federal Housing Finance Agency announced a settlement with Goldman Sachs concerning alleged violations of federal and state securities laws in connection with private-label mortgage-backed securities purchased by Fannie Mae and Freddie Mac between 2005 and 2007.","federal","agency action","Federal Housing Finance Agency","civil","","","","","","","","","","","","USA","New York","publicly traded","NYSE: GS","financial services","banking & securities","http://www.fhfa.gov/Media/PublicAffairs/Pages/FHFA-Announces-Settlement-with-Goldman-Sachs.aspx",""
"Goldman Sachs & Co.","Goldman Sachs","$550,000,000","$0","$550,000,000","2010","20100715","financial offenses","toxic securities abuses","investor protection violation","The Securities and Exchange Commission announced that Goldman, Sachs & Co. agreed to  pay $550 million and reform its business practices to settle SEC charges that Goldman misled investors in a subprime mortgage product just as the U.S. housing market was starting to collapse.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","New York","publicly traded","NYSE: GS","financial services","banking & securities","https://www.sec.gov/news/press/2010/2010-123.htm",""
"Goldman Sachs & Co.","Goldman Sachs","$22,000,000","$0","$22,000,000","2012","20120412","financial offenses","investor protection violation","financial institution supervision failures","The Securities and Exchange Commission announced that Goldman Sachs settled allegations that it lacked adequate policies and procedures to address the risk that during weekly ""huddles,"" the firm's analysts could share material, nonpublic information about upcoming research changes. Huddles were a practice where Goldman's stock research analysts met to provide their best trading ideas to firm traders and later passed them on to a select group of top clients.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","New York","publicly traded","NYSE: GS","financial services","banking & securities","https://www.sec.gov/News/PressRelease/Detail/PressRelease/1365171488258",""
"Goldman Sachs & Co.","Goldman Sachs","$15,000,000","$0","$15,000,000","2016","20160114","financial offenses","investor protection violation","securities issuance or trading violation","The Securities and Exchange Commission announced that Goldman, Sachs & Co. agreed to pay $15 million to settle charges that its securities lending practices violated federal regulations.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","New York","publicly traded","NYSE: GS","financial services","banking & securities","https://www.sec.gov/news/pressrelease/2016-9.html",""
"Goldman Sachs & Co.","Goldman Sachs","$12,000,000","$0","$12,000,000","2012","20120927","miscellaneous offenses","illicit political contributions","","The Securities and Exchange Commission announced that Goldman, Sachs and one of its former investment bankers settled alleged pay-to-play violations involving undisclosed campaign contributions to then-Massachusetts state treasurer Timothy P. Cahill while he was a candidate for governor.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","New York","publicly traded","NYSE: GS","financial services","banking & securities","https://www.sec.gov/News/PressRelease/Detail/PressRelease/1365171485032",""
