"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Golub Corporation","Golub","$5,280","$0","$5,280","2007","20071213","employment-related offenses","wage and hour violation","child labor or youth employment violation","child labor penalties included","federal","agency action","Labor Department Wage and Hour Division","civil","","","1500571","","","New York","Troy","","12180","4451","4451: Grocery Stores","USA","New York","privately held","","retailing","retail-supermarkets","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Golub Corporation d/b/a Price Chopper","Golub","$8,140","$0","$8,140","2007","20070806","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","03-CA-26140-001","","","New York","Ogdensburg","","13669","445110","445110: Supermarkets and Other Grocery (except Convenience) Stores","USA","New York","privately held","","retailing","retail-supermarkets","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Price Chopper Operating Co. of Pennsylvania","Golub","$5,693","$0","$5,693","2017","20170825","employment-related offenses","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1829834","","","Pennsylvania","Kingston","180 West Side Mall","18704","445110","445110: Supermarkets and Other Grocery (except Convenience) Stores","USA","New York","privately held","","retailing","retail-supermarkets","May 1, 2018 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Golub Corporation","Golub","$6,500,000","$0","$6,500,000","2017","20171005","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","District of Massachusetts","14-cv-30136","Davine et al v. The Golub Corporation et al","settlement","","","","","","","USA","New York","privately held","","retailing","retail-supermarkets","https://www.law360.com/articles/949999/price-chopper-reaches-6-5m-deal-with-managers-in-ot-suit",""
"Golub Corporation","Golub","$10,000","$0","$10,000","2006","20060905","consumer-protection-related offenses","consumer protection violation","","","state","agency action","Vermont Attorney General","civil","","","","","","Vermont","","","","","","USA","New York","privately held","","retailing","retail-supermarkets","Attorney General Sorrell Settles Consumer Protection Claims with Price Chopper, US States News, September 5, 2006 (via Nexis).",""
"Price Chopper","Golub","$100,000","$0","$100,000","2013","20130226","consumer-protection-related offenses","consumer protection violation","","","state","agency action","New York Attorney General","civil","","","","","","New York","","","","","","USA","New York","privately held","","retailing","retail-supermarkets","https://web.archive.org/web/20150906102549/http://www.ag.ny.gov/press-release/ag-schneiderman-secures-agreement-price-chopper-end-deceptive-advertising-practices",""
"The Golub Corp.","Golub","$74,000","$0","$74,000","2016","20160822","environment-related offenses","environmental violation","","","state","agency action","New York Department of Environmental Conservation","civil","","","","","","New York","","","","","","USA","New York","privately held","","retailing","retail-supermarkets","https://web.archive.org/web/20201124071642/https://www.dec.ny.gov/docs/regions_pdf/thegolubcorporder.pdf",""
"PRICE CHOPPER #214","Golub","$6,000","$0","$6,000","2011","20110316","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","FULTON","12 WEST FIRST STREET SOUTH","13069","445110","445110: Supermarkets and Other Grocery (except Convenience) Stores","USA","New York","privately held","","retailing","retail-supermarkets","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GOLUB CORPORATION","Golub","$5,000","$0","$5,000","2011","20110728","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","SCHENECTADY","501 DUANESBURG RD.","12306","493110","493110: General Warehousing and Storage","USA","New York","privately held","","retailing","retail-supermarkets","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"THE GOLUB CORPORATION","Golub","$6,750","$0","$6,750","2012","20120718","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","SCHENECTADY","501 DUANESBURG RD.","12306","493110","493110: General Warehousing and Storage","USA","New York","privately held","","retailing","retail-supermarkets","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GOLUB CORPORATION","Golub","$7,000","$0","$7,000","2012","20121126","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Hampshire","LINCOLN","10 LUMBER YARD RD.","03251","445110","445110: Supermarkets and Other Grocery (except Convenience) Stores","USA","New York","privately held","","retailing","retail-supermarkets","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"PRICE CHOPPER","Golub","$14,400","$0","$14,400","2013","20131120","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Missouri","EXCELSIOR SPRINGS","1645 KEARNEY RD","64024","445110","445110: Supermarkets and Other Grocery (except Convenience) Stores","USA","New York","privately held","","retailing","retail-supermarkets","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"PRICE CHOPPER OPERATING CO. OF MASSACHUSETTS, INC.","Golub","$8,470","$0","$8,470","2014","20141203","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Massachusetts","PITTSFIELD","555 HUBBARD AVENUEBOX 550","01201","445110","445110: Supermarkets and Other Grocery (except Convenience) Stores","USA","New York","privately held","","retailing","retail-supermarkets","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"PRICE CHOPPER OPERATING CO., INC. (STORE #133)","Golub","$9,054","$0","$9,054","2016","20161205","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","ALBANY","911 CENTRAL AVE","12206","445110","445110: Supermarkets and Other Grocery (except Convenience) Stores","USA","New York","privately held","","retailing","retail-supermarkets","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"THE GOLUB CORPORATION","Golub","$7,853","$0","$7,853","2017","20171012","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","SCHENECTADY","501 DUANESBURG RD.ROTTERDAM FREEZER","12306","493120","493120: Refrigerated Warehousing and Storage","USA","New York","privately held","","retailing","retail-supermarkets","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
