"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Cooper Tire & Rubber Company","Goodyear Tire & Rubber","$60,000","$0","$60,000","2008","20080609","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","16-CA-24044-001","","","Arkansas","Arkansas","","71854","326211","326211: Tire Manufacturing (except Retreading)","USA","Ohio","publicly traded","GT","automotive parts","automotive parts-tires","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Cooper Tire & Rubber Company","Goodyear Tire & Rubber","$15,364","$0","$15,364","2003","20030414","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","26-CA-20773-001","","","Mississippi","Tupelo","","38801","326211","326211: Tire Manufacturing (except Retreading)","USA","Ohio","publicly traded","GT","automotive parts","automotive parts-tires","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Dunlop Tire","Goodyear Tire & Rubber","$5,000","$0","$5,000","2003","20031204","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","10-CA-31451-001","","","Alabama","Madison","","35824","326211","326211: Tire Manufacturing (except Retreading)","USA","Ohio","publicly traded","GT","automotive parts","automotive parts-tires","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Goodyear Tire & Rubber","Goodyear Tire & Rubber","$40,000","$0","$40,000","2010","20100302","employment-related offenses","employment discrimination","Uniformed Services Employment and Reemployment Rights Act","The Justice Department reached a settlement, in the form of a consent decree, with the Goodyear Tire & Rubber Company resolving its lawsuit alleging  that the company violated the Uniformed Services Employment and Reemployment Rights Act of 1994 by failing to promptly reemploy an individual following his military service.","federal","agency action","Justice Department Civil Rights Division","civil","","","","","","","","","","","","USA","Ohio","publicly traded","GT","automotive parts","automotive parts-tires","https://www.justice.gov/opa/pr/justice-department-settlement-goodyear-tire-rubber-co-secures-40000-oklahoma-army-reservist",""
"Goodyear Tire & Rubber","Goodyear Tire & Rubber","$14,000","$0","$14,000","2010","20101118","safety-related offenses","workplace safety or health violation","","corporate-wide settlement agreement","federal","agency action","Occupational Safety & Health Administration corporate-wide settlements","civil","","","","","","","","","","","","USA","Ohio","publicly traded","GT","automotive parts","automotive parts-tires","https://www.osha.gov/pls/oshaweb/owadisp.show_document?p_table=CWSA&p_id=2137",""
"Goodyear Tire & Rubber Co.","Goodyear Tire & Rubber","$16,000,000","$0","$16,000,000","2015","20150224","competition-related offenses","Foreign Corrupt Practices Act","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","Ohio","publicly traded","GT","automotive parts","automotive parts-tires","https://www.sec.gov/news/pressrelease/2015-38.html",""
"Goodyear Tire & Rubber Company","Goodyear Tire & Rubber","$925,000","$0","$925,000","2006","20061219","employment-related offenses","employment discrimination","","gender","federal","agency action","Office of Federal Contract Compliance Programs","civil","","","","","","Virginia","Danville","","","","","USA","Ohio","publicly traded","GT","automotive parts","automotive parts-tires","FOIA523","Source document obtained through a Freedom of Information Act request to the agency."
"Goodyear Tire & Rubber Company","Goodyear Tire & Rubber","$100,000","$0","$100,000","2004","20041028","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","10-CA-34417-001","","","Georgia","Forest Park","","30297","336413","336413: Other Aircraft Parts and Auxiliary Equipment Manufacturing","USA","Ohio","publicly traded","GT","automotive parts","automotive parts-tires","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"GOODYEAR TIRE & RUBBER COMPANY","Goodyear Tire & Rubber","$5,560","$0","$5,560","2006","20060731","safety-related offenses","motor vehicle safety violation","","OH-2006-0136-US0702","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Ohio","AKRON","","","","","USA","Ohio","publicly traded","GT","automotive parts","automotive parts-tires","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2006-pdf","Year is fiscal year. Date is closing date."
"The Goodyear Tire & Rubber Co.","Goodyear Tire & Rubber","$5,000","$0","$5,000","2009","20090818","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Ohio","publicly traded","GT","automotive parts","automotive parts-tires","https://www.fra.dot.gov/Elib/Document/282","Year is fiscal year."
