"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Great Dane LP","Great Dane LLC","$19,999","$0","$19,999","2004","20041118","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","25-CA-28850-001","","","Indiana","Brazil","","47834-7638","336120","336120: Heavy Duty Truck Manufacturing","USA","Georgia","privately held","","motor vehicles","commercial truck trailers","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"GREAT DANE TRAILERS INC","Great Dane LLC","$9,104","$0","$9,104","2005","20050706","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Indiana","BRAZIL","2664 EAST US HWY 40","47834","336212","336212: Truck Trailer Manufacturing","USA","Georgia","privately held","","motor vehicles","commercial truck trailers","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GREAT DANE TRAILERS","Great Dane LLC","$17,438","$0","$17,438","2005","20051004","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Georgia","SAVANNAH","600 EAST LATHROP AVENUE","31402","336212","336212: Truck Trailer Manufacturing","USA","Georgia","privately held","","motor vehicles","commercial truck trailers","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GREAT DANE LTD. PARTNERSHIP","Great Dane LLC","$13,450","$0","$13,450","2000","20000718","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","KEWANEE","2006 KENTVILLE ROAD","61443","000000","","USA","Georgia","privately held","","motor vehicles","commercial truck trailers","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Great Dane Trailers","Great Dane LLC","$7,500","$0","$7,500","2007","20070424","environment-related offenses","environmental violation","","Hazardous Waste Management Act","state","agency action","Georgia Environmental Protection Division","civil","","","EPD-HW-1679","","","Georgia","","","","","","USA","Georgia","privately held","","motor vehicles","commercial truck trailers","Contained in a spreadsheet obtained from the agency on October 7, 2020 in response to an open records request. The spreadsheet contains cases from the enforcement database accessible at https://enfo.gaepd.org/Orders/Search",""
"GREAT DANE LP d/b/a GREAT DANE TRAILERS INC","Great Dane LLC","$18,000","$0","$18,000","2016","20161221","environment-related offenses","environmental violation","","air quality violation","state","agency action","Illinois Environmental Protection Agency","civil","","","16-CH-90","","","Illinois","","","","","","USA","Georgia","privately held","","motor vehicles","commercial truck trailers","Contained in data received from the agency on October 15, 2020 in response to an open records request. The data is a spreadsheet version of the entries contained in the search engine at http://www.epa.state.il.us/cgi-bin/en/orders/orders.pl",""
"GREAT DANE LTD PARTNERSHIP","Great Dane LLC","$24,000","$0","$24,000","2002","20020607","environment-related offenses","environmental violation","","air pollution violation","state","agency action","Indiana Department of Environmental Management","civil","","","","","","Indiana","Brazil","","","","","USA","Georgia","privately held","","motor vehicles","commercial truck trailers","http://www.in.gov/idem/oe/cause/AO/10073-A.htm",""
"Great Dane Limited Partnership","Great Dane LLC","$32,500","$0","$32,500","2006","20060419","environment-related offenses","environmental violation","","hazardous waste violation","state","agency action","Nebraska Department of Environmental Quality","civil","","","","","","Nebraska","","","","","","USA","Georgia","privately held","","motor vehicles","commercial truck trailers","http://deq.ne.gov/Press.nsf/Judicial_2006.xsp",""
"Great Dane Trailers","Great Dane LLC","$5,378","$0","$5,378","2018","20181116","environment-related offenses","environmental violation","","solid waste violation","state","agency action","Tennessee Department of Environment & Conservation","civil","","","HWM18-0013","","","Tennessee","","","","","","USA","Georgia","privately held","","motor vehicles","commercial truck trailers","Contained in data received from the agency on January 25, 2021 in response to an open records request. The data was a spreadsheet compilation of information in the search engine at http://tdec.tn.gov:8080/pls/enf_reports/f?p=9001:710::::::",""
"GREAT DANE TRAILERS LP","Great Dane LLC","$7,414","$0","$7,414","2010","20100827","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Virginia","RICHMOND","2702 DEEPWATER TERMINAL ROAD","23234","423110","423110: Automobile and Other Motor Vehicle Merchant Wholesalers","USA","Georgia","privately held","","motor vehicles","commercial truck trailers","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GREAT DANE TRAILERS LIMITED PARTNERSHIP","Great Dane LLC","$6,375","$0","$6,375","2012","20120104","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Indiana","TERRE HAUTE","4955 NORTH 13 STREET","47805","336212","336212: Truck Trailer Manufacturing","USA","Georgia","privately held","","motor vehicles","commercial truck trailers","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GREAT DANE TRAILERS","Great Dane LLC","$8,798","$0","$8,798","2012","20121126","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Georgia","STATESBORO","177 GATEWAY BOULEVARD","30458","336212","336212: Truck Trailer Manufacturing","USA","Georgia","privately held","","motor vehicles","commercial truck trailers","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GREAT DANE LIMITED PARTNERSHIP","Great Dane LLC","$8,925","$0","$8,925","2013","20130205","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","DANVILLE","70 STRICK ROAD","17821","336212","336212: Truck Trailer Manufacturing","USA","Georgia","privately held","","motor vehicles","commercial truck trailers","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GREAT DANE LTD. PARTNERSHIP","Great Dane LLC","$21,000","$0","$21,000","2015","20150124","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","KEWANEE","2006 KENTVILLE RD","61443","336212","336212: Truck Trailer Manufacturing","USA","Georgia","privately held","","motor vehicles","commercial truck trailers","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GREAT DANE LTD. PARTNERSHIP","Great Dane LLC","$5,000","$0","$5,000","2015","20150202","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","KEWANEE","2006 KENTVILLE ROAD","61443","336212","336212: Truck Trailer Manufacturing","USA","Georgia","privately held","","motor vehicles","commercial truck trailers","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GREAT DANE LIMITED PARTNERSHIP","Great Dane LLC","$10,725","$0","$10,725","2015","20151009","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","MOUNT JOY","1155 FOUR STAR DRIVE","17552","336212","336212: Truck Trailer Manufacturing","USA","Georgia","privately held","","motor vehicles","commercial truck trailers","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GREAT DANE LIMITED PARTNERSHIP","Great Dane LLC","$6,300","$0","$6,300","2016","20160218","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Georgia","STATESBORO","177 GATEWAY BOULEVARD","30458","336212","336212: Truck Trailer Manufacturing","USA","Georgia","privately held","","motor vehicles","commercial truck trailers","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GREAT DANE LTD. PARTNERSHIP","Great Dane LLC","$12,600","$0","$12,600","2016","20160304","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","KEWANEE","2006 KENTVILLE RD","61443","336212","336212: Truck Trailer Manufacturing","USA","Georgia","privately held","","motor vehicles","commercial truck trailers","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GREAT DANE TRAILERS LTD","Great Dane LLC","$7,000","$0","$7,000","2016","20160328","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","ELYSBURG","207 PROGRESS ROAD","17824","336212","336212: Truck Trailer Manufacturing","USA","Georgia","privately held","","motor vehicles","commercial truck trailers","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GREAT DANE LIMITED PARTNERSHIP","Great Dane LLC","$6,300","$0","$6,300","2016","20160322","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Georgia","STATESBORO","177 GATEWAY BOULEVARD","30458","336212","336212: Truck Trailer Manufacturing","USA","Georgia","privately held","","motor vehicles","commercial truck trailers","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GREAT DANE LIMITED PARTNERSHIP","Great Dane LLC","$5,079","$0","$5,079","2017","20170208","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","DANVILLE","70 STRICK ROAD","17821","336212","336212: Truck Trailer Manufacturing","USA","Georgia","privately held","","motor vehicles","commercial truck trailers","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GREAT DANE TRAILERS","Great Dane LLC","$5,000","$0","$5,000","2018","20180117","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Indiana","BRAZIL","2264 EAST US HIGHWAY 40","47834","336212","336212: Truck Trailer Manufacturing","USA","Georgia","privately held","","motor vehicles","commercial truck trailers","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GREAT DANE TRAILERS","Great Dane LLC","$6,000","$0","$6,000","2018","20180130","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Arkansas","JONESBORO","2800 GREAT DANE DR","72401","336212","336212: Truck Trailer Manufacturing","USA","Georgia","privately held","","motor vehicles","commercial truck trailers","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GREAT DANE LLC","Great Dane LLC","$12,934","$0","$12,934","2018","20180215","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Georgia","STATESBORO","177 GATEWAY BLVD","30458","336212","336212: Truck Trailer Manufacturing","USA","Georgia","privately held","","motor vehicles","commercial truck trailers","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GREAT DANE LLC","Great Dane LLC","$5,500","$0","$5,500","2018","20181018","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Indiana","TERRE HAUTE","4949 NORTH 13TH STREET","47805","336212","336212: Truck Trailer Manufacturing","USA","Georgia","privately held","","motor vehicles","commercial truck trailers","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GREAT DANE - WAYNE PLANT","Great Dane LLC","$9,928","$0","$9,928","2019","20190710","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Nebraska","WAYNE","1200 N. CENTENNIAL RD","68787","336212","336212: Truck Trailer Manufacturing","USA","Georgia","privately held","","motor vehicles","commercial truck trailers","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GREAT DANE - WAYNE PLANT","Great Dane LLC","$52,406","$0","$52,406","2019","20190710","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Nebraska","WAYNE","1200 N. CENTENNIAL RD.","68787","336212","336212: Truck Trailer Manufacturing","USA","Georgia","privately held","","motor vehicles","commercial truck trailers","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GREAT DANE TRAILERS","Great Dane LLC","$13,494","$0","$13,494","2019","20191002","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Arkansas","JONESBORO","2800 GREAT DANE DR","72401","336212","336212: Truck Trailer Manufacturing","USA","Georgia","privately held","","motor vehicles","commercial truck trailers","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GREAT DANE LTD. PARTNERSHIP","Great Dane LLC","$10,390","$0","$10,390","2020","20200923","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","KEWANEE","2006 KENTVILLE ROAD","61443","336212","336212: Truck Trailer Manufacturing","USA","Georgia","privately held","","motor vehicles","commercial truck trailers","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GREAT DANE LLC","Great Dane LLC","$11,867","$0","$11,867","2021","20210603","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","KEWANEE","2006 KENTVILLE ROAD","61443","336212","336212: Truck Trailer Manufacturing","USA","Georgia","privately held","","motor vehicles","commercial truck trailers","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
