"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Celite Corporation","Groupe Bruxelles Lambert","$100,000","$0","$100,000","2009","20090928","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","31-CA-28618-001","","","California","Lompoc","","93436","212399","212399: All Other Nonmetallic Mineral Mining","Belgium","","publicly traded","","diversified","holding company","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Celite Corporation","Groupe Bruxelles Lambert","$15,000","$0","$15,000","2009","20090928","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","31-CA-28393-001","","","California","Lompoc","","93436","213115","213115: Support Activities for Nonmetallic Minerals (except Fuels)","Belgium","","publicly traded","","diversified","holding company","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Imerys Fused Minerals Greeneville, Inc.","Groupe Bruxelles Lambert","$21,682","$0","$21,682","2014","20140608","employment-related offenses","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1722732","","","Tennessee","Greeneville","","37744","32799","32799: All Other Nonmetallic Mineral Product Manufacturing","Belgium","","publicly traded","","diversified","holding company","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Kentucky/Tennessee Clay","Groupe Bruxelles Lambert","$40,000","$0","$40,000","2003","20030508","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","11-CA-19746-001","","","South Carolina","Langley","","29834","212324","212324: Kaolin and Ball Clay Mining","Belgium","","publicly traded","","diversified","holding company","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Kentucky Tennessee Clay Company","Groupe Bruxelles Lambert","$175,000","$0","$175,000","2006","20061129","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","11-CA-18925-001","","","South Carolina","Langley","","29834","212399","212399: All Other Nonmetallic Mineral Mining","Belgium","","publicly traded","","diversified","holding company","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"IMERYS","Groupe Bruxelles Lambert","$10,000","$0","$10,000","2003","20030707","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Maine","HINCKLEY","SAPPI, ROUTE 202","04944","325181","325181: Alkalies and Chlorine Manufacturing","Belgium","","publicly traded","","diversified","holding company","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"World Minerals, Inc.","Groupe Bruxelles Lambert","$7,911","$0","$7,911","2007","20070130","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1450141","","","Utah","Milford","","84751","212399","212399: All Other Nonmetallic Mineral Mining","Belgium","","publicly traded","","diversified","holding company","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Imerys Steelcasting USA, Inc.","Groupe Bruxelles Lambert","$7,783","$0","$7,783","2019","20190526","employment-related offenses","labor relations violation","","","federal","agency action","National Labor Relations Board","civil","","","03-CA-226073","","","New York","Niagara Falls","","","","","Belgium","","publicly traded","","diversified","holding company","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/28/2020.",""
"Imerys Carbonates USA, Inc.","Groupe Bruxelles Lambert","$30,000","$0","$30,000","2019","20190626","environment-related offenses","environmental violation","","Air Program","state","agency action","Alabama Department of Environmental Management","civil","","","19-083-CAP","","","Alabama","","","","","","Belgium","","publicly traded","","diversified","holding company","http://adem.alabama.gov/compInfo/2019orders.pdf",""
"Imerys Carbonates LLC","Groupe Bruxelles Lambert","$5,000","$0","$5,000","2003","20030918","environment-related offenses","environmental violation","","Air","state","agency action","Alabama Department of Environmental Management","civil","","","03-144-CAP","","","Alabama","","","","","","Belgium","","publicly traded","","diversified","holding company","List of FY2003 ADEM Administrative Orders obtained via an open records request on October 5, 2020.",""
