"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Mission Foods","Gruma","$10,308","$0","$10,308","2002","20020820","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","28-CA-17393-001","","","Arizona","Tempe","","85283","311830","311830: Tortilla Manufacturing","Mexico","","publicly traded","","food products","food products","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Mission Foods","Gruma","$10,308","$0","$10,308","2002","20020819","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","28-CA-17379-001","","","Arizona","Tempe","","85283","311830","311830: Tortilla Manufacturing","Mexico","","publicly traded","","food products","food products","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Mission Foods","Gruma","$100,262","$0","$100,262","2016","20160127","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","04-CA-150907","","","Pennsylvania","Mountain Top","","","","","Mexico","","publicly traded","","food products","food products","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.",""
"Mission Foods Tempe, a Division of Gruma Corporation","Gruma","$10,000","$0","$10,000","2001","20010808","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","28-CA-17142-001","","","Arizona","Tempe","","85283","311211","311211: Flour Milling","Mexico","","publicly traded","","food products","food products","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"MISSION FOODS","Gruma","$7,320","$0","$7,320","2009","20090414","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Colorado","PUEBLO","2110 SANTA FE DRIVE","81006","311211","311211: Flour Milling","Mexico","","publicly traded","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GRUMA CORP. DBA MISSION FOODS CORP.","Gruma","$9,500","$0","$9,500","2008","20080813","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Colorado","PUEBLO","2110 SOUTH SANTA FE DRIVE","81006","311830","311830: Tortilla Manufacturing","Mexico","","publicly traded","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GRUMA CORPORATION DBA MISSION FOODS","Gruma","$9,980","$0","$9,980","2006","20060726","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","HAYWARD","23423 CABOT BLVD","94545","311211","311211: Flour Milling","Mexico","","publicly traded","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MISSION FOODS CORPORATION","Gruma","$5,000","$0","$5,000","2000","20000302","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Colorado","PUEBLO","2110 SANTA FE DR.","81006","000000","","Mexico","","publicly traded","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Mission Foods","Gruma","$32,000","$0","$32,000","2020","20200116","employment-related offenses","labor relations violation","","","federal","agency action","National Labor Relations Board","civil","","","04-CA-235330","","","Pennsylvania","Mountain Top","","","","","Mexico","","publicly traded","","food products","food products","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/28/2020.",""
"Gruma Corporation d/b/a Mission Foods","Gruma","$25,370","$0","$25,370","2019","20190905","employment-related offenses","labor relations violation","","","federal","agency action","National Labor Relations Board","civil","","","04-CA-199438","","","Pennsylvania","Mountain Top","","","","","Mexico","","publicly traded","","food products","food products","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/28/2020.",""
