"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Asarco, LLC and Silver Bell Mining, LLC","Grupo Mexico","$850,000","$0","$850,000","2005","20051118","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","28-CA-20348-001","","","Arizona","Tucson","","85705","212234","212234: Copper Ore and Nickel Ore Mining","Mexico","","publicly traded","","mining and minerals","mining","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Asarco, Inc., Copper Group","Grupo Mexico","$185,000","$0","$185,000","2005","20051020","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","28-CA-20409-001","","","Arizona","Tucson","","85705","212234","212234: Copper Ore and Nickel Ore Mining","Mexico","","publicly traded","","mining and minerals","mining","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Asarco Group of Mexico","Grupo Mexico","$25,000","$0","$25,000","2007","20070525","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","28-CA-20651-001","","","Arizona","Sahuarita","","85629","212234","212234: Copper Ore and Nickel Ore Mining","Mexico","","publicly traded","","mining and minerals","mining","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"ASARCO","Grupo Mexico","$163,500,000","$0","$163,500,000","2015","20151103","environment-related offenses","environmental violation","","The Department of Justice and the Environmental Protection Agency announced a settlement with ASARCO requiring the company to spend $150 million to install new equipment and pollution control technology to reduce emissions of toxic heavy metals at a large smelter located in Hayden, Arizona. The company also agreed to fund local environmental projects valued at $8 million, replace a diesel locomotive with a cleaner model for $1 million, and pay a $4.5 million civil penalty.","federal","agency action","Environmental Protection Agency","civil","","","","","","","","","","","","Mexico","","publicly traded","","mining and minerals","mining","https://www.justice.gov/opa/pr/us-epa-requires-asarco-cut-toxic-emissions-103-year-old-arizona-copper-smelter",""
"ASARCO Inc.","Grupo Mexico","$8,000","$0","$8,000","2008","20080328","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Mexico","","publicly traded","","mining and minerals","mining","Taken from the Federal Railroad Administration's FY2008 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"ASARCO Inc.","Grupo Mexico","$6,000","$0","$6,000","2005","20050427","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Mexico","","publicly traded","","mining and minerals","mining","Taken from the Federal Railroad Administration's FY2005 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Asarco LLC","Grupo Mexico","$146,614","$0","$146,614","2013","20130919","environment-related offenses","environmental violation","","The U.S. Environmental Protection Agency announced that it fined Asarco LLC $30,900 for using buildings contaminated with PCBs and improper management of PCB waste. The company will also spend $115,714 to reduce PCBs at their copper smelter located in Hayden, Ariz.","federal","agency action","Environmental Protection Agency","civil","","","","","","Arizona","Hayden","","","","","Mexico","","publicly traded","","mining and minerals","mining","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/2d134e6ee7e24e4f85257beb0058e870.html",""
"Asarco LLC","Grupo Mexico","$24,013","$0","$24,013","2009","20090915","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","28-CA-22410-001","","","Arizona","Tucson","","85711","212234","212234: Copper Ore and Nickel Ore Mining","Mexico","","publicly traded","","mining and minerals","mining","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Asarco LLC","Grupo Mexico","$7,600","$0","$7,600","2016","20160415","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Mexico","","publicly traded","","mining and minerals","mining","https://www.fra.dot.gov/Elib/Document/16831","Year is fiscal year."
"ASARCO Inc. Amarillo Copper Refinery","Grupo Mexico","$5,500","$0","$5,500","2001","20010321","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","16-CA-20547-001","","","Texas","Amarillo","","79120","331525","331525: Copper Foundries (except Die-Casting)","Mexico","","publicly traded","","mining and minerals","mining","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
