"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Advance America Cash Advance Centers, Inc.","Grupo Salinas","$70,717","$0","$70,717","2006","20060104","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1399967","","","Nebraska","Omaha","","68107","522291","522291: Consumer Lending","Mexico","","privately held","","diversified","diversified","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Advance America, Cash Advance Centers, Inc.","Grupo Salinas","$24,662","$0","$24,662","2004","20040904","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1367988","","","Nebraska","Omaha","","68025","522291","522291: Consumer Lending","Mexico","","privately held","","diversified","diversified","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Advance America, Cash Advance Centers, Inc.","Grupo Salinas","$14,590","$0","$14,590","2004","20041002","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1316643","","","Nebraska","Omaha","","68114","522291","522291: Consumer Lending","Mexico","","privately held","","diversified","diversified","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Advance America, Cash Advance Centers, Inc.","Grupo Salinas","$9,160","$0","$9,160","2004","20040904","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1367986","","","Nebraska","Bellevue","","68005","522291","522291: Consumer Lending","Mexico","","privately held","","diversified","diversified","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Advance America, Cash Advance Centers, Inc.","Grupo Salinas","$7,918","$0","$7,918","2004","20040904","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1367996","","","Iowa","Council Bluffs","","51501","522291","522291: Consumer Lending","Mexico","","privately held","","diversified","diversified","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Advance America, Cash Advance Centers of California, LLC","Grupo Salinas","$297,486","$0","$297,486","2009","20090223","consumer-protection-related offenses","payday lending violation","","Advance America agreed to pay $297,486 in penalties, refunds, costs and forgiven fees in settlement of allegations it violated the California Deferred Deposit Transaction Law by collecting unauthorized fees.","state","agency action","California Department of Financial Protection and Innovation","civil","","","","","","California","","","","","","Mexico","","privately held","","diversified","diversified","https://dbo.ca.gov/wp-content/uploads/sites/296/2012/01/Advance-America_SA-DR.pdf",""
"Advance America, Cash Advance Centers of California, LLC","Grupo Salinas","$160,000","$0","$160,000","2018","20180312","consumer-protection-related offenses","payday lending violation","","Advance America agreed to pay $160,000 in penalties and refunds in settlement of allegations it violated the California Deferred Deposit Transaction Law by using unlicensed lead generators and collecting unauthorized fees.","state","agency action","California Department of Financial Protection and Innovation","civil","","","","","","California","","","","","","Mexico","","privately held","","diversified","diversified","https://dbo.ca.gov/wp-content/uploads/sites/296/2012/01/Advance-America-Consent-Order.pdf",""
"ADVANCE AMERICA, CASH ADVANCE","Grupo Salinas","$85,000","$0","$85,000","2009","20091005","consumer-protection-related offenses","consumer protection violation","","","state","agency action","Virginia Bureau of Financial Institutions","civil","","","BFI-2009-00342","","","Virginia","","","","","","Mexico","","privately held","","diversified","diversified","http://www.scc.virginia.gov/docketsearch/DOCS/1zty01!.PDF",""
"ADVANCE AMERICA, CASH ADVANCE,","Grupo Salinas","$100,000","$0","$100,000","2012","20120320","consumer-protection-related offenses","consumer protection violation","","","state","agency action","Virginia Bureau of Financial Institutions","civil","","","BFI-2011-00230","","","Virginia","","","","","","Mexico","","privately held","","diversified","diversified","http://www.scc.virginia.gov/docketsearch/DOCS/2mgv01!.PDF",""
"ADVANCE AMERICA, CASH ADVANCE CENTERS OF ALABAMA LLC","Grupo Salinas","$5,432","$0","$5,432","2017","20170110","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","GRAND BAY","9964 GRAND BAY WILMER RD #1","36541","522390","522390: Other Activities Related to Credit Intermediation","Mexico","","privately held","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
