"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"H & R Block","H&R Block","$257,577","$0","$257,577","2015","20151028","employment-related offenses","wage and hour violation","Service Contract Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1775197","","","Missouri","Kansas City","","64105","541213","541213: Tax Preparation Services","USA","Missouri","publicly traded","HRB","financial services","tax preparation services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"H & R Block","H&R Block","$128,872","$0","$128,872","2014","20141020","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1734799","","","Michigan","Baldwin","","49304","541213","541213: Tax Preparation Services","USA","Missouri","publicly traded","HRB","financial services","tax preparation services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"H&R Block Eastern Enterprises Inc","H&R Block","$24,928","$0","$24,928","2014","20140917","employment-related offenses","wage and hour violation","Service Contract Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1736018","","","Georgia","Augusta","","30905","541213","541213: Tax Preparation Services","USA","Missouri","publicly traded","HRB","financial services","tax preparation services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"H & R Block","H&R Block","$12,000","$0","$12,000","2003","20030415","employment-related offenses","wage and hour violation","","","state","agency action","California Labor Commissioner's Office","civil","","","35-42816","","","California","","","","","","USA","Missouri","publicly traded","HRB","financial services","tax preparation services","Contained in data obtained on August 17, 2017 in response to an open records request. ",""
"H&R Block","H&R Block","$221,400","$0","$221,400","2013","20131118","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","Central District of California","09-cv-6510","Delana L. Ugas v. H&R Block Enterprises Llc et al","settlement","","","","","","","USA","Missouri","publicly traded","HRB","financial services","tax preparation services","https://www.law360.com/articles/464818/h-r-block-puts-tax-advisers-ot-pay-action-to-bed",""
"H&R Block","H&R Block","$7,500,000","$0","$7,500,000","2012","20121108","employment-related offenses","wage and hour violation","","","state","private litigation","","civil","","Superior Court of State of California, County of Alameda","RG08366506","Alice?Williams?v.?H&R?Block?Enterprises?LLC","settlement","California","","","","","","USA","Missouri","publicly traded","HRB","financial services","tax preparation services","https://www.sec.gov/Archives/edgar/data/12659/000119312513096282/d497179d10q.htm#toc497179_10",""
"H&R Block","H&R Block","$35,000,000","$0","$35,000,000","2012","20120822","employment-related offenses","wage and hour violation","","","federal","private litigation","","civil","","Northern District of California","09-cv-3179","Lemus v. H&R Block Tax And Business Services, Inc. et al","settlement","","","","","","","USA","Missouri","publicly traded","HRB","financial services","tax preparation services","https://www.law360.com/articles/372351/judge-oks-35m-h-r-block-settlement-but-slashes-attys-fees",""
"H&R Block","H&R Block","$1,400,000","$0","$1,400,000","2010","20100525","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","Central District of California","07-cv-0236","Weisbarth et al v. H And R Block Financial Advisors Inc et al","settlement","","","","","","","USA","Missouri","publicly traded","HRB","financial services","tax preparation services","https://www.law360.com/articles/170811/judge-greenlights-h-r-block-1-4m-ot-settlement",""
"H&R Block","H&R Block","$3,300,000","$0","$3,300,000","2003","20030424","consumer-protection-related offenses","consumer protection violation","","H&R Block agreed to settle multistate litigation by providing $1 million to customers who paid for its Peace of Mind guarantee wihtout being told it was optional. It also agreed to pay $2.3 million to the states.","state","agency action","Multistate Attorneys General Case","civil","","","","","","","","","","","","USA","Missouri","publicly traded","HRB","financial services","tax preparation services","https://www.oag.ca.gov/news/press-releases/attorney-general-lockyer-announces-settlement-hr-block-reforms-companys-peace",""
"H&R Block","H&R Block","$4,850,000","$0","$4,850,000","2009","20090102","consumer-protection-related offenses","consumer protection violation","","In a settlement with the California Attorney General, H&R Block agreed to pay $4.85 million, including $2.45 million in consumer restitution, to resolve allegations that the tax-preparation company violated state and federal laws in marketing high-cost refund anticipation loans (RALs) mainly to low-income customers.","state","agency action","California Attorney General","civil","","","","","","California","","","","","","USA","Missouri","publicly traded","HRB","financial services","tax preparation services","https://www.oag.ca.gov/news/press-releases/attorney-general-brown-reaches-agreement-hr-block-prohibiting-deceptive",""
