"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"The Hain Celestial Group","Hain Celestial Group","$8,144","$0","$8,144","2003","20030910","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","22-CA-25678-001","","","New Jersey","Moonachie","","07074","311919","311919: Other Snack Food Manufacturing","USA","New York","publicly traded","HAIN","food products","food products","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"The Hain Celestial Group Inc., Terra Chips Division","Hain Celestial Group","$116,917","$0","$116,917","2005","20050201","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","22-CA-26358-001","","","New Jersey","Moonachie","","07074","311919","311919: Other Snack Food Manufacturing","USA","New York","publicly traded","HAIN","food products","food products","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"PLAINVILLE FARMS LLC","Hain Celestial Group","$7,330","$0","$7,330","2008","20080407","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","PLAINVILLE","7830 PLAINVILLE ROAD","13137","311615","311615: Poultry Processing","USA","New York","publicly traded","HAIN","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"The Hain Celestial Group Inc.","Hain Celestial Group","$50,000","$0","$50,000","2020","20200303","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","","","","USA","New York","publicly traded","HAIN","food products","food products","https://www.ams.usda.gov/press-release/usda-settles-packers-and-stockyards-case-against-hain-celestial-group-inc",""
"Hain Celestial Group, Inc.","Hain Celestial Group","$18,835","$0","$18,835","2011","20111228","environment-related offenses","environmental violation","","pesticide violation","state","agency action","California Department of Pesticide Regulation","civil","","","","","","California","","","","","","USA","New York","publicly traded","HAIN","food products","food products","Contained in data obtained from the agency on October 6, 2020 in response to an open records request. ",""
"CELESTIAL SEASONINGS","Hain Celestial Group","$6,300","$0","$6,300","2010","20101021","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Colorado","BOULDER","6325 SPINE RD.","80301","311920","311920: Coffee and Tea Manufacturing","USA","New York","publicly traded","HAIN","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"RUDI'S ORGANIC BAKERY, INC.","Hain Celestial Group","$13,150","$0","$13,150","2010","20101123","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Colorado","BOULDER","3300 WALNUT STREET, UNIT C","80301","311812","311812: Commercial Bakeries","USA","New York","publicly traded","HAIN","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"RUDI'S ORGANIC BAKERY, INC.","Hain Celestial Group","$7,574","$0","$7,574","2012","20121203","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Colorado","BOULDER","3300 WALNUT STREET, UNIT C","80301","311812","311812: Commercial Bakeries","USA","New York","publicly traded","HAIN","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CELESTIAL SEASONINGS","Hain Celestial Group","$6,000","$0","$6,000","2017","20171113","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Colorado","BOULDER","4600 SLEEPYTIME DR","80301","311920","311920: Coffee and Tea Manufacturing","USA","New York","publicly traded","HAIN","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"THE HAIN CELESTIAL GROUP, INC.","Hain Celestial Group","$7,104","$0","$7,104","2019","20191219","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","MOUNTVILLE","3775 HEMPLAND RD,","17554","311211","311211: Flour Milling","USA","New York","publicly traded","HAIN","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
