"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Bentonite Performance Minerals LLC","Halliburton","$814,700","$0","$814,700","2013","20130514","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","27-CA-020596","","","Wyoming","Colony","","","","","USA","Texas","publicly traded","HAL","oilfield services and supplies","oilfield services","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.",""
"Halliburton","Halliburton","$18,293,557","$0","$18,293,557","2015","20150922","employment-related offenses","wage and hour violation","Fair Labor Standards Act","Oil and gas service provider Halliburton agreed to pay $18,293,557 to 1,016 employees nationwide after Wage and Hour Division Investigators found that the company incorrectly categorized employees in 28 job positions as exempt from overtime.","federal","agency action","Labor Department Wage and Hour Division","civil","","","","","","","","","","","","USA","Texas","publicly traded","HAL","oilfield services and supplies","oilfield services","https://www.dol.gov/newsroom/releases/whd/whd20150922-0",""
"Halliburton Co.","Halliburton","$7,500,000","$0","$7,500,000","2004","20040803","financial offenses","accounting fraud or deficiencies","","Halliburton Co. agreed to pay $7.5 million to settle allegations that it failed to disclose a 1998 change to its accounting practice, and as a result the company's public statements regarding its income in 1998 and 1999 were materially misleading.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","Texas","publicly traded","HAL","oilfield services and supplies","oilfield services","https://www.sec.gov/news/press/2004-104.htm",""
"Halliburton Inc.","Halliburton","$130,854","$0","$130,854","2013","20131216","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1708448","","","New Mexico","Hobbs","","88240","213112","213112: Support Activities for Oil and Gas Operations","USA","Texas","publicly traded","HAL","oilfield services and supplies","oilfield services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Halliburton Energy Services","Halliburton","$18,435","$0","$18,435","2011","20110218","employment-related offenses","employment discrimination","","race","federal","agency action","Office of Federal Contract Compliance Programs","civil","","","","","","","","","","","","USA","Texas","publicly traded","HAL","oilfield services and supplies","oilfield services","https://www.dol.gov/ofccp/foia/files/HES_Bakersfield_Redacted.pdf",""
"HALLIBURTON ENERGY SERVICES INC","Halliburton","$19,470","$0","$19,470","2008","20080703","safety-related offenses","motor vehicle safety violation","","WY-2008-0022-US0141","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Texas","HOUSTON","","","","","USA","Texas","publicly traded","HAL","oilfield services and supplies","oilfield services","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2008-pdf","Year is fiscal year. Date is closing date."
"HALLIBURTON ENERGY SERVICES INC","Halliburton","$10,890","$0","$10,890","2005","20050316","safety-related offenses","motor vehicle safety violation","","WY-2005-0026-US0141","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Texas","HOUSTON","","","","","USA","Texas","publicly traded","HAL","oilfield services and supplies","oilfield services","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2005-pdf","Year is fiscal year. Date is closing date."
"Halliburton Energy Services Inc.","Halliburton","$200,000","$0","$200,000","2013","20130919","environment-related offenses","environmental violation","","Halliburton Energy Services Inc. pleaded guilty to destroying evidence pertaining to the 2010 Deepwater Horizon disaster and was sentenced to the statutory maximum fine, the Justice Department announced. (The press release did not indicate the amount of the fine but it was reported elsewhere to be $200,000).","federal","agency action","Justice Department multiagency referral","civil","","","","","","","","","","","","USA","Texas","publicly traded","HAL","oilfield services and supplies","oilfield services","http://www.justice.gov/opa/pr/halliburton-pleads-guilty-destruction-evidence-connection-deepwater-horizon-disaster-and",""
"Halliburton Energy Services, Inc.","Halliburton","$25,662","$0","$25,662","2013","20130221","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1681914","","","Arkansas","Fort Smith","","72903","213111","213111: Drilling Oil and Gas Wells","USA","Texas","publicly traded","HAL","oilfield services and supplies","oilfield services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Halliburton Atlantic Limited","Halliburton","$304,706","$0","$304,706","2016","20160225","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","USA","Texas","publicly traded","HAL","oilfield services and supplies","oilfield services","https://www.treasury.gov/resource-center/sanctions/CivPen/Documents/20160225_Halliburton.pdf",""
