"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Hawaiian Airlines","Hawaiian Holdings","$100,000","$0","$100,000","2005","20051024","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","USA","Hawaii","publicly traded","HA","airlines","airlines","https://www.transportation.gov/sites/dot.gov/files/docs/2005-10-26_0.pdf",""
"HAWAIIAN AIRLINES INC","Hawaiian Holdings","$42,000","$0","$42,000","2009","20090604","safety-related offenses","aviation safety violation","","MAINTENAN CE ","federal","agency action","Federal Aviation Administration","civil","","","2008WP130027 ","","","","","","","","","USA","Hawaii","publicly traded","HA","airlines","airlines","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"HAWAIIAN AIRLINES INC","Hawaiian Holdings","$11,000","$0","$11,000","2001","20010510","safety-related offenses","aviation safety violation","","CARGO SECURITY ","federal","agency action","Federal Aviation Administration","civil","","","2000WP760038 ","","","","","","","","","USA","Hawaii","publicly traded","HA","airlines","airlines","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"HAWAIIAN AIRLINES INC","Hawaiian Holdings","$7,500","$0","$7,500","2001","20010510","safety-related offenses","aviation safety violation","","CARGO SECURITY ","federal","agency action","Federal Aviation Administration","civil","","","2000WP760075 ","","","","","","","","","USA","Hawaii","publicly traded","HA","airlines","airlines","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"HAWAIIAN AIRLINES INC","Hawaiian Holdings","$6,500","$0","$6,500","2001","20010510","safety-related offenses","aviation safety violation","","SECURITY ","federal","agency action","Federal Aviation Administration","civil","","","2000WP760192 ","","","","","","","","","USA","Hawaii","publicly traded","HA","airlines","airlines","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"HAWAIIAN AIRLINES INC","Hawaiian Holdings","$5,000","$0","$5,000","2001","20010510","safety-related offenses","aviation safety violation","","SECURITY ","federal","agency action","Federal Aviation Administration","civil","","","2000WP760146 ","","","","","","","","","USA","Hawaii","publicly traded","HA","airlines","airlines","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"HAWAIIAN AIRLINES INC","Hawaiian Holdings","$350,000","$0","$350,000","2015","20150211","safety-related offenses","aviation safety violation","","MAINTENANCE ","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","USA","Hawaii","publicly traded","HA","airlines","airlines","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"HAWAIIAN AIRLINES INC","Hawaiian Holdings","$350,000","$0","$350,000","2015","20150924","safety-related offenses","aviation safety violation","","MAINTENANCE","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","USA","Hawaii","publicly traded","HA","airlines","airlines","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"HAWAIIAN AIRLINES INC","Hawaiian Holdings","$250,000","$0","$250,000","2002","20021010","safety-related offenses","aviation safety violation","","DRUG TESTING ","federal","agency action","Federal Aviation Administration","civil","","","2001NM910061 ","","","","","","","","","USA","Hawaii","publicly traded","HA","airlines","airlines","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"HAWAIIAN AIRLINES INC","Hawaiian Holdings","$50,000","$0","$50,000","2005","20050914","safety-related offenses","aviation safety violation","","HAZ MAT ","federal","agency action","Federal Aviation Administration","civil","","","2003WP700279 ","","","","","","","","","USA","Hawaii","publicly traded","HA","airlines","airlines","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
