"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"MERCER LIME COMPANY","HBM Holdings","$27,000","$0","$27,000","2001","20010509","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Missouri","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"MERCER LIME COMPANY","HBM Holdings","$16,000","$0","$16,000","2001","20010509","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Missouri","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"Mississippi Lime Co.","HBM Holdings","$40,000","$0","$40,000","2010","20100702","environment-related offenses","environmental violation","","air pollution violation","state","agency action","Missouri Department of Natural Resources","civil","","","","","","Missouri","","","","","","USA","Missouri","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Contained in data received from the agency on October 20, 2020 in response to an open records request.",""
"MISSISSIPPI LIME COMPANY","HBM Holdings","$13,260","$0","$13,260","2019","20190323","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Mississippi","VICKSBURG","1543 HAINING RD","39183","811118","811118: Other Automotive Mechanical and Electrical Repair and Maintenance","USA","Missouri","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MISSISSIPPI LIME COMPANY","HBM Holdings","$18,021","$0","$18,021","2021","20210916","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","BRILLIANT","306 COUNTRY ROAD 7E","43913","221112","221112: Fossil Fuel Electric Power Generation","USA","Missouri","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Mississippi Lime Company","HBM Holdings","$12,000","$0","$12,000","2002","20020422","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Missouri","Genievieve","","","","","USA","Missouri","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Mississippi Lime Company","HBM Holdings","$5,000","$0","$5,000","2000","20000822","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Illinois","Alton","","","","","USA","Missouri","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Mississippi Lime Company","HBM Holdings","$5,080","$0","$5,080","2010","20101201","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Missouri","Genievieve","","","","","USA","Missouri","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Mercer Lime Company","HBM Holdings","$7,578","$0","$7,578","2008","20080205","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Pennsylvania","Forestville","","","","","USA","Missouri","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Mississippi Lime Company","HBM Holdings","$7,578","$0","$7,578","2008","20081203","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Missouri","Genievieve","","","","","USA","Missouri","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
