"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Hecla Mining Company","Hecla Mining","$263,400,000","$0","$263,400,000","2011","20110613","environment-related offenses","environmental violation","","A settlement has been reached with Hecla Mining Company to resolve one of the largest cases ever filed under the Superfund statute. Under the settlement, Hecla will pay $263.4 million plus interest to the United States, the Coeur d'Alene Tribe and the state of Idaho to resolve claims stemming from releases of wastes from its mining operations. Settlement funds will be dedicated to restoration and remediation of natural resources in the Coeur d'Alene Basin. The agreement, which was lodged in federal district court in Idaho today, brings closure to that lawsuit and establishes a strong basis for future cooperation between Hecla and the governments in the Coeur d'Alene Basin.","federal","agency action","Justice Department multiagency referral","civil","","","","","","Idaho","","","","","","USA","Idaho","publicly traded","HL","mining and minerals","mining","http://www.justice.gov/opa/pr/hecla-mining-company-pay-263-million-settlement-resolve-idaho-superfund-site-litigation-and",""
"Hecla Mining Company","Hecla Mining","$102,000","$0","$102,000","2008","20081120","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","10-2009-0015","","","","","","","","","USA","Idaho","publicly traded","HL","mining and minerals","mining","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"HECLA MINING COMPANY AND  HECLA LIMITED","Hecla Mining","$177,500","$0","$177,500","2009","20090520","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","10-2009-0143","","","","","","","","","USA","Idaho","publicly traded","HL","mining and minerals","mining","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"Hecla Limited","Hecla Mining","$600,000","$0","$600,000","2015","20150624","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","10-2012-0213","","","","","","","","","USA","Idaho","publicly traded","HL","mining and minerals","mining","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"Hecla Limited","Hecla Mining","$5,503","$0","$5,503","2007","20071214","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Idaho","Mullan","","","","","USA","Idaho","publicly traded","HL","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Hecla Limited","Hecla Mining","$5,503","$0","$5,503","2007","20071214","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Idaho","Mullan","","","","","USA","Idaho","publicly traded","HL","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Hecla Greens Creek Mining Company","Hecla Mining","$9,122","$0","$9,122","2007","20070813","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Alaska","Juneau","","","","","USA","Idaho","publicly traded","HL","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Hecla Greens Creek Mining Company","Hecla Mining","$6,200","$0","$6,200","2010","20100826","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Alaska","Juneau","","","","","USA","Idaho","publicly traded","HL","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Hecla Greens Creek Mining Company","Hecla Mining","$6,458","$0","$6,458","2010","20101025","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Alaska","Juneau","","","","","USA","Idaho","publicly traded","HL","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Hecla Limited","Hecla Mining","$14,000","$0","$14,000","2011","20111216","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Idaho","Mullan","","","","","USA","Idaho","publicly traded","HL","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
