"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Henry Schein, Inc.","Henry Schein","$1,140,260","$0","$1,140,260","2013","20131017","healthcare-related offenses","HHS civil monetary penalties","kickbacks and bribery","Henry Schein, Inc. agreed to pay $1,140,260 for allegedly violating the Civil Monetary Penalties Law provisions applicable to physician self-referrals and kickbacks. ","federal","agency action","Health & Human Services Department Office of Inspector General","civil","","","","","","","","","","","","USA","New York","publicly traded","HSIC","wholesalers","wholesalers-medical supplies","https://oig.hhs.gov/fraud/enforcement/cmp/cmp-ae.asp",""
"Henry Schein, Inc.","Henry Schein","$165,000","$0","$165,000","2007","20070831","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","USA","New York","publicly traded","HSIC","wholesalers","wholesalers-medical supplies","https://efoia.bis.doc.gov/index.php/component/docman/?task=doc_download&gid=392&Itemid=",""
"Henry Schein Practice Solutions, Inc.","Henry Schein","$250,000","$0","$250,000","2016","20160105","consumer-protection-related offenses","consumer protection violation","","Henry Schein Practice Solutions, Inc., the provider of leading office management software for dental practices, agreed to pay $250,000 to settle Federal Trade Commission charges it falsely advertised the level of encryption it provided to protect patient data.","federal","agency action","Federal Trade Commission","civil","","","","","","","","","","","","USA","New York","publicly traded","HSIC","wholesalers","wholesalers-medical supplies","https://www.ftc.gov/news-events/press-releases/2016/01/dental-practice-software-provider-settles-ftc-charges-it-misled",""
"Henry Schein Inc","Henry Schein","$12,299","$0","$12,299","2014","20140512","employment-related offenses","wage and hour violation","","overtime violation","state","agency action","Washington State Department of Labor & Industries","civil","","","88530","","","Washington","","","","","","USA","New York","publicly traded","HSIC","wholesalers","wholesalers-medical supplies","Contained in data obtained on May 15, 2017 in response to an open records request. ",""
"HENRY SCHEIN, INC","Henry Schein","$6,500","$0","$6,500","2015","20150212","safety-related offenses","aviation safety violation","","hazardous materials shipping","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","USA","New York","publicly traded","HSIC","wholesalers","wholesalers-medical supplies","Contained in data obtained on May 23, 2018 in response to a Freedom of Information Act request. ",""
"Henry Schein, Inc.","Henry Schein","$300,000","$0","$300,000","2017","20170807","competition-related offenses","price-fixing or anti-competitive practices","","","state","agency action","Texas Attorney General","civil","","","","","","Texas","","","","","","USA","New York","publicly traded","HSIC","wholesalers","wholesalers-medical supplies","https://www.texasattorneygeneral.gov/news/releases/attorney-general-paxton-reaches-agreement-second-dental-supply-distributor-over-anticompetitive",""
"Butler Animal Health Supply LLC","Henry Schein","$7,190","$0","$7,190","2016","20161123","environment-related offenses","environmental violation","","pesticide violation","state","agency action","California Department of Pesticide Regulation","civil","","","","","","California","","","","","","USA","New York","publicly traded","HSIC","wholesalers","wholesalers-medical supplies","https://www.cdpr.ca.gov/docs/mill/actions/fines.htm",""
"Butler Animal Health Supply","Henry Schein","$22,109","$0","$22,109","2007","20071227","environment-related offenses","environmental violation","","pesticide violation","state","agency action","California Department of Pesticide Regulation","civil","","","","","","California","","","","","","USA","New York","publicly traded","HSIC","wholesalers","wholesalers-medical supplies","Contained in data obtained from the agency on October 6, 2020 in response to an open records request. ",""
"Henry Schein, Inc","Henry Schein","$38,530","$0","$38,530","2006","20060407","environment-related offenses","environmental violation","","pesticide violation","state","agency action","California Department of Pesticide Regulation","civil","","","","","","California","","","","","","USA","New York","publicly traded","HSIC","wholesalers","wholesalers-medical supplies","Contained in data obtained from the agency on October 6, 2020 in response to an open records request. ",""
"Henry Schien, Inc.","Henry Schein","$500,000","$0","$500,000","2021","20211202","healthcare-related offenses","Controlled Substances Act violation","","","federal","agency action","U.S. Attorney-Southern District of West Virginia","civil","","","","","","West Virginia","","","","","","USA","New York","publicly traded","HSIC","wholesalers","wholesalers-medical supplies","https://www.justice.gov/usao-sdwv/pr/wholesale-distributor-medical-and-dental-supplies-pay-500000-resolve-controlled-0",""
"HENRY SCHEIN INC.","Henry Schein","$11,050","$0","$11,050","2013","20130206","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","DENVER","41 WEAVER ROAD","17517","423450","423450: Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers","USA","New York","publicly traded","HSIC","wholesalers","wholesalers-medical supplies","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
