"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Heritage-Crystal Clean, LLC","Heritage-Crystal Clean","$20,000","$0","$20,000","2013","20130805","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Illinois","publicly traded","HCCI","waste management and environmental services","waste management","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"Heritage-Crystal Clean, LLC","Heritage-Crystal Clean","$14,000","$0","$14,000","2013","20130805","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Illinois","publicly traded","HCCI","waste management and environmental services","waste management","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"Heritage-Crystal Clean, LLC","Heritage-Crystal Clean","$12,750","$0","$12,750","2014","20141220","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Illinois","publicly traded","HCCI","waste management and environmental services","waste management","https://www.fra.dot.gov/eLib/details/L17311#p1_z5_gD_lEA",""
"Heritage-Crystal Clean, LLC","Heritage-Crystal Clean","$12,000","$0","$12,000","2013","20130805","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Illinois","publicly traded","HCCI","waste management and environmental services","waste management","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"Heritage-Crystal Clean, LLC","Heritage-Crystal Clean","$10,250","$0","$10,250","2013","20130805","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Illinois","publicly traded","HCCI","waste management and environmental services","waste management","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"Heritage-Crystal Clean, LLC","Heritage-Crystal Clean","$9,300","$0","$9,300","2013","20130805","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Illinois","publicly traded","HCCI","waste management and environmental services","waste management","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"Heritage-Crystal Clean, LLC","Heritage-Crystal Clean","$8,500","$0","$8,500","2013","20130805","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Illinois","publicly traded","HCCI","waste management and environmental services","waste management","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"Heritage-Crystal Clean, LLC","Heritage-Crystal Clean","$7,500","$0","$7,500","2013","20130805","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Illinois","publicly traded","HCCI","waste management and environmental services","waste management","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"Heritage-Crystal Clean, LLC","Heritage-Crystal Clean","$7,000","$0","$7,000","2013","20130805","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Illinois","publicly traded","HCCI","waste management and environmental services","waste management","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"Heritage-Crystal Clean, LLC","Heritage-Crystal Clean","$5,200","$0","$5,200","2015","20150930","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Illinois","publicly traded","HCCI","waste management and environmental services","waste management","https://www.fra.dot.gov/eLib/details/L17311#p1_z5_gD_lEA",""
"International Petroleum Corporation","Heritage-Crystal Clean","$3,500,000","$0","$3,500,000","2017","20170202","environment-related offenses","environmental violation","","International Petroleum Corporation of Delaware was sentenced by United States District Court Judge Gregory M. Sleet to a $1,300,000 fine and $2,200,000 restitution to the City of Wilmington for environmental crimes, including a conspiracy to violate the Clean Water Act.","federal","agency action","Environmental Protection Agency referral to the Justice Department","criminal","","","","","","Delaware","Wilmington","","","","","USA","Illinois","publicly traded","HCCI","waste management and environmental services","waste management","https://cfpub.epa.gov/compliance/criminal_prosecution/index.cfm?action=3&prosecution_summary_id=2982&searchParams=M5%2C%3A%2FXT%2A%5CCYZ%40O%3B%20W_%2AYN5%5E%3EK99%2A%29W%3CU%3FV%23DH%5BZ8%207TRPH%3BJQH%229%3FD%3C%26Z%40CY%26%0AM7EFH%21%25%21%3A%23%3DV%40%3A%2A_%3AB8%2A%5DR%3BB%25%5E9%5B2D%22I2K565NEY7M%21-U%40%2B8%22J%29Y%23%24LNJ%40DX%24%0A%2F5YJ%3EP%27O_K04_G%5C%3E%290M8%2A%0A",""
"Heritage-Crystal Clean, LLC","Heritage-Crystal Clean","$6,750","$0","$6,750","2017","20170719","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","ZHCQ 2017-1(HMT)","","","","","","","","","USA","Illinois","publicly traded","HCCI","waste management and environmental services","waste management","https://www.fra.dot.gov/Elib/Document/17839",""
"Heritage Crystal Clean","Heritage-Crystal Clean","$20,000","$0","$20,000","2019","20191008","employment-related offenses","employment discrimination","","hostile work environment based on race, color, national origin and religion","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Indiana","Indianapolis","","","","","USA","Illinois","publicly traded","HCCI","waste management and environmental services","waste management","https://www.eeoc.gov/eeoc/newsroom/release/10-8-19a.cfm","Description field shows type of discrimination that EEOC had alleged."
"Heritage-Crystal Clean, LLC","Heritage-Crystal Clean","$8,000","$0","$8,000","2005","20050910","environment-related offenses","environmental violation","","hazardous waste violation","state","agency action","Arkansas Division of Environmental Quality","civil","","","","","","Arkansas","","","","","","USA","Illinois","publicly traded","HCCI","waste management and environmental services","waste management","https://www.adeq.state.ar.us/downloads/Communications/Enforcement_Actions/2005-09-10_Notice_of_Enforcement_Actions.pdf",""
"International Petroleum Corporation of Delaware","Heritage-Crystal Clean","$63,770","$0","$63,770","2012","20120120","environment-related offenses","environmental violation","","","state","agency action","Delaware Department of Natural Resources and Environmental Control","civil","","","","","","Delaware","Wilmington","","","","","USA","Illinois","publicly traded","HCCI","waste management and environmental services","waste management","http://www.dnrec.delaware.gov/Info/Documents/Secretary%27s%20Order%20No.%202011-WH-0049.pdf",""
"HERITAGE CRYSTAL CLEAN","Heritage-Crystal Clean","$14,551","$0","$14,551","2019","20190502","environment-related offenses","environmental violation","","hazardous waste violation","state","agency action","Florida Department of Environmental Protection","civil","","","181184","","","Florida","","","","","","USA","Illinois","publicly traded","HCCI","waste management and environmental services","waste management","Contained in a spreadsheet received from the agency on October 2, 2020 in response to an open records request. The spreadsheet included data from  the agency's Oculus database, which can be searched at https://prodenv.dep.state.fl.us/DepNexus/public/searchPortal","Case number is the designation given by the DEP's Office of General Counsel."
"INTERNATIONAL PETROLEUM CORPORATION","Heritage-Crystal Clean","$18,896","$0","$18,896","2001","20010312","environment-related offenses","environmental violation","","hazardous waste violation","state","agency action","Florida Department of Environmental Protection","civil","","","2345","","","Florida","","","","","","USA","Illinois","publicly traded","HCCI","waste management and environmental services","waste management","Contained in a spreadsheet received from the agency on October 2, 2020 in response to an open records request. The spreadsheet included data from  the agency's Oculus database, which can be searched at https://prodenv.dep.state.fl.us/DepNexus/public/searchPortal","Case number is the designation given by the DEP's Office of General Counsel."
"HERITAGE-CRYSTAL CLEAN, LLC","Heritage-Crystal Clean","$8,000","$0","$8,000","2014","20140523","environment-related offenses","environmental violation","","waste management violation","state","agency action","Illinois Environmental Protection Agency","civil","","","14-115","","","Illinois","","","","","","USA","Illinois","publicly traded","HCCI","waste management and environmental services","waste management","Contained in data received from the agency on October 15, 2020 in response to an open records request. The data is a spreadsheet version of the entries contained in the search engine at http://www.epa.state.il.us/cgi-bin/en/orders/orders.pl",""
"HERITAGE CRYSTAL CLEAN","Heritage-Crystal Clean","$10,000","$0","$10,000","2011","20110921","environment-related offenses","environmental violation","","waste management violation","state","agency action","Illinois Environmental Protection Agency","civil","","","10-CH-847","","","Illinois","","","","","","USA","Illinois","publicly traded","HCCI","waste management and environmental services","waste management","Contained in data received from the agency on October 15, 2020 in response to an open records request. The data is a spreadsheet version of the entries contained in the search engine at http://www.epa.state.il.us/cgi-bin/en/orders/orders.pl",""
