"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Hershey Foods Corporation","Hershey","$85,000","$0","$85,000","2003","20030227","consumer-protection-related offenses","privacy violation","","Mrs. Fields Cookies and Hershey Foods Corporation each agreed to settle Federal Trade Commission charges that their websites violated the Children's Online Privacy Protection Act by collecting personal information from children without first obtaining the proper parental consent.","federal","agency action","Federal Trade Commission","civil","","","","","","","","","","","","USA","Pennsylvania","publicly traded","HSY","food products","food products","https://www.ftc.gov/news-events/press-releases/2003/02/ftc-receives-largest-coppa-civil-penalties-date-settlements-mrs",""
"HERSHEY CO","Hershey","$5,799","$0","$5,799","2013","20130408","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Pennsylvania","publicly traded","HSY","food products","food products","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"HERSHEY CO","Hershey","$5,000","$0","$5,000","2005","20050511","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Pennsylvania","publicly traded","HSY","food products","food products","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"HERSHEY CHOCOLATE & CONFECTIONERY CORP.","Hershey","$88,000","$0","$88,000","2007","20070324","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","OAKDALE","1400 S. YOSEMITE AVE","95361","311320","311320: Chocolate and Confectionery Manufacturing from Cacao Beans","USA","Pennsylvania","publicly traded","HSY","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"HERSHEY CHOCOLATE & CONFECTIONERY CORP.","Hershey","$14,100","$0","$14,100","2004","20040713","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","OAKDALE","1400 S. YOSEMITE AVE","95361","311330","311330: Confectionery Manufacturing from Purchased Chocolate","USA","Pennsylvania","publicly traded","HSY","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"HERSHEY CHOCOLATE&CONFECTIONERY CORP-JOLLY RANCHER","Hershey","$10,000","$0","$10,000","2000","20001122","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Colorado","WHEAT RIDGE","5060 WARD ROAD","80033","000000","","USA","Pennsylvania","publicly traded","HSY","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Hershey Company","Hershey","$186,673","$0","$186,673","2015","20150421","consumer-protection-related offenses","consumer protection violation","","Hershey agreed to pay $186,673 to the District Attorneys of Sacramento and Yolo counties to resolve allegations about the use of misleading packaging.","local","agency action","California Multi-Jurisdiction Case","civil","","","","","settlement","California","","","","","","USA","Pennsylvania","publicly traded","HSY","food products","food products","https://yoloda.org/hershey-company-pays-186673-for-packaging-violations/",""
"MAUNA LOA MACADAMIA NUT CORP","Hershey","$8,100","$0","$8,100","2013","20130612","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Hawaii","KEAAU","16-701 MACADAMIA RD.","96749","311911","311911: Roasted Nuts and Peanut Butter Manufacturing","USA","Pennsylvania","publicly traded","HSY","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"THE HERSHEY COMPANY","Hershey","$5,613","$0","$5,613","2017","20170718","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Virginia","STUARTS DRAFT","120 HAROLD COOK DRIVE","24477","311330","311330: Confectionery Manufacturing from Purchased Chocolate","USA","Pennsylvania","publicly traded","HSY","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"HERSHEY CHOCOLATE OF VIRGINIA, INC.","Hershey","$17,816","$0","$17,816","2018","20181004","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Virginia","STUARTS DRAFT","120 HAROLD COOK DR","24477","311351","311351: Chocolate and Confectionery Manufacturing from Cacao Beans","USA","Pennsylvania","publicly traded","HSY","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"HERSHEY FOODS CORPORATION","Hershey","$13,260","$0","$13,260","2019","20190424","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","HERSHEY","925 REESE AVENUE","17033","311340","311340: Nonchocolate Confectionery Manufacturing","USA","Pennsylvania","publicly traded","HSY","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"THE HERSHEY COMPANY","Hershey","$6,394","$0","$6,394","2019","20190828","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","LANCASTER","400 RUNNING PUMP ROAD","17603","311340","311340: Nonchocolate Confectionery Manufacturing","USA","Pennsylvania","publicly traded","HSY","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MAUNA LOA MACADAMIA NUT CORPORATION","Hershey","$6,193","$0","$6,193","2020","20201020","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Hawaii","KEAAU","16-701 MACADAMIA NUT ROAD","96749","311911","311911: Roasted Nuts and Peanut Butter Manufacturing","USA","Pennsylvania","publicly traded","HSY","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"HERSHEY COMPANY REESE PLANT","Hershey","$13,653","$0","$13,653","2020","20201112","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","HERSHEY","925 REESE AVENUE","17033","311352","311352: Confectionery Manufacturing from Purchased Chocolate","USA","Pennsylvania","publicly traded","HSY","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"HERSHEY COMPANY REESE PLANT","Hershey","$13,653","$0","$13,653","2021","20210708","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","HERSHEY","925 REESE AVENUE","17033","311351","311351: Chocolate and Confectionery Manufacturing from Cacao Beans","USA","Pennsylvania","publicly traded","HSY","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
